time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:17.0,1.42196E+12,63.2,82.2,64,67.6,55.8,0,82.6,101.6,0.863,0.501,-0.305
41:17.0,1.42196E+12,51.4,78.7,64,66.1,57.2,68.4,119.8,105,0.643,0.76,0.144
41:17.0,1.42196E+12,51.4,76.9,38.3,69.2,57.2,6.2,92.1,108.4,0.721,0.379,-0.066
41:17.0,1.42196E+12,54.7,71.7,43,64.5,55.8,3.1,100.1,106.7,0.784,0.384,-0.051
41:17.0,1.42196E+12,51.4,71.7,62.4,52.3,58.7,0,101.7,147.1,0.633,0.565,0.364
41:17.1,1.42196E+12,25.2,76.9,62.4,66.1,57.2,0,101.7,99.9,0.858,0.706,0.257
41:17.1,1.42196E+12,53.1,58.1,64,52.3,60.1,0,103.4,103.3,0.696,0.393,0.589
41:17.1,1.42196E+12,53.1,12.5,55.9,69.2,66.1,0,133.3,103.3,0.652,0.374,0.276
41:17.1,1.42196E+12,51.4,66.6,60.8,67.6,27.2,0,109.9,141.7,0.648,0.379,0.403
41:17.2,1.42196E+12,31.6,51.4,36.7,73.9,57.2,0,103.4,86.6,1.034,0.745,-0.389
41:17.2,1.42196E+12,56.4,56.4,65.7,73.9,55.8,0,108.3,129.3,0.393,0.574,0.12
41:17.2,1.42196E+12,0,64.9,74,101.1,27.2,11.3,101.7,101.6,0.389,0.247,-0.1
41:17.2,1.42196E+12,53.1,66.6,65.7,44.8,52.8,0,108.3,106.7,0.565,0.437,-0.032
41:17.3,1.42196E+12,25.2,76.9,67.3,72.3,57.2,0,70.1,91.6,1.009,0.726,0.061
41:17.3,1.42196E+12,76.9,64.9,67.3,64.5,21.7,0,106.6,93.2,0.633,0.633,0.242
41:17.3,1.42196E+12,51.4,64.9,102.9,72.3,58.7,32.6,82.6,132.8,0.457,0.379,-0.002
41:17.3,1.42196E+12,53.1,66.6,59.1,70.7,58.7,0,101.7,93.2,0.613,0.384,0.11
41:17.4,1.42196E+12,28.4,71.7,70.6,72.3,21.7,0,100.1,120.5,0.472,0.379,0.364
41:17.4,1.42196E+12,80.4,51.4,87.4,72.3,57.2,0,100.1,67,1.366,0.789,0.095
41:17.4,1.42196E+12,58.1,105.3,69,73.9,44.2,0,103.4,80,0.775,0.384,-0.271
41:17.5,1.42196E+12,58.1,64.9,67.3,88.1,49.9,3.1,82.6,132.8,0.183,0.379,0.257
41:17.5,1.42196E+12,59.8,75.2,124.1,70.7,55.8,1,82.6,99.9,0.78,0.672,0.335
41:17.5,1.42196E+12,41.4,63.2,74,64.5,60.1,0,96.9,99.9,0.594,0.56,-0.027
41:17.6,1.42196E+12,87.4,51.4,97.7,73.9,57.2,7.2,103.4,596.5,0.545,0.701,0.389
41:17.6,1.42196E+12,31.6,75.2,101.2,101.1,49.9,32.6,98.5,138.1,0.477,0.384,-0.051
41:17.6,1.42196E+12,58.1,75.2,62.4,70.7,115.4,11.3,77.9,213.4,0.477,0.384,0.007
41:17.6,1.42196E+12,59.8,78.7,69,75.4,38.5,0,106.6,229.4,0.452,0.428,0.056
41:17.6,1.42196E+12,76.9,78.7,69,73.9,58.7,0,70.1,93.2,0.833,0.467,0.09
41:17.7,1.42196E+12,63.2,105.3,87.4,64.5,76.5,0,98.5,98.3,0.34,0.379,0.213
41:17.7,1.42196E+12,63.2,51.4,67.3,94.6,78,0,131.6,99.9,0.428,0.384,-0.1
