time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:17.0,1.42196E+12,18,19.4,21.5,62.7,9.6,7.8,13.6,21.5,-1.391,-1.503,-1.547
41:17.0,1.42196E+12,28.7,17.8,21.5,57.7,17.7,12.5,11.9,30,-1.395,-1.469,-1.562
41:17.0,1.42196E+12,18,16.2,21.5,61,9.6,9.4,10.2,21.5,-1.395,-1.503,-1.61
41:17.0,1.42196E+12,18,19.4,21.5,57.7,17.7,12.5,24,31.7,-1.405,-1.488,-1.576
41:17.0,1.42196E+12,13.5,19.4,19.8,56.1,17.7,10.9,18.8,28.3,-1.361,-1.498,-1.566
41:17.0,1.42196E+12,19.5,19.4,8.2,54.5,17.7,10.9,18.8,19.9,-1.41,-1.522,-1.571
41:17.1,1.42196E+12,18,17.8,19.8,57.7,17.7,20.5,18.8,19.9,-1.366,-1.503,-1.581
41:17.1,1.42196E+12,10.4,19.4,18.1,52.9,16.1,12.5,10.2,19.9,-1.386,-1.503,-1.581
41:17.1,1.42196E+12,28.7,21.1,14.8,57.7,16.1,10.9,17.1,19.9,-1.395,-1.474,-1.566
41:17.2,1.42196E+12,13.5,16.2,21.5,49.6,21,9.4,17.1,18.2,-1.391,-1.488,-1.542
41:17.2,1.42196E+12,19.5,0,28.2,51.3,16.1,10.9,15.3,8.2,-1.395,-1.498,-1.596
41:17.2,1.42196E+12,18,22.6,13.1,40,14.4,10.9,17.1,21.5,-1.376,-1.493,-1.566
41:17.3,1.42196E+12,18,22.6,9.8,48,16.1,15.7,20.5,19.9,-1.391,-1.498,-1.664
41:17.3,1.42196E+12,19.5,22.6,19.8,51.3,16.1,12.5,15.3,13.2,-1.366,-1.503,-1.581
41:17.3,1.42196E+12,16.5,22.6,19.8,46.4,19.3,1.6,10.2,18.2,-1.425,-1.513,-1.601
41:17.3,1.42196E+12,19.5,22.6,19.8,40,11.2,10.9,0,19.9,-1.395,-1.483,-1.571
41:17.3,1.42196E+12,18,17.7,19.8,38.5,9.6,12.5,25.4,19.9,-1.395,-1.503,-1.576
41:17.4,1.42196E+12,18,14.4,18.1,40,24.3,9.4,28.8,26.6,-1.405,-1.464,-1.576
41:17.4,1.42196E+12,16.5,20.9,19.8,41.6,14.4,7.8,25.4,26.6,-1.391,-1.493,-1.566
41:17.5,1.42196E+12,16.5,29.1,28.2,38.5,17.7,7.8,21.9,16.5,-1.425,-1.527,-1.576
41:17.5,1.42196E+12,41.2,20.9,21.5,40,14.4,3.1,21.9,18.2,-1.405,-1.493,-1.566
41:17.5,1.42196E+12,18,27.5,21.5,38.5,12.8,1.6,20.2,19.9,-1.405,-1.488,-1.581
41:17.5,1.42196E+12,19.5,22.6,19.8,38.5,4.8,9.4,23.6,0,-1.4,-1.503,-1.571
