time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
00:39.3,1.42E+12,30.7,27.7,26.9,25.9,9.1,17.8,22.6,33.4,-1.435,-1.449,-1.435
00:39.3,1.42E+12,21.8,30.9,22.1,22.8,15.3,17.8,22.6,23.7,-1.444,-1.439,-1.43
00:39.3,1.42E+12,20.3,26.1,33.4,29,15.3,26.8,22.6,25.3,-1.444,-1.439,-1.435
00:39.4,1.42E+12,23.2,26.1,20.5,16.6,15.3,19.3,20.9,25.3,-1.415,-1.459,-1.435
00:39.4,1.42E+12,21.8,26.1,22.1,38.5,18.3,17.8,25.8,25.3,-1.43,-1.435,-1.439
00:39.4,1.42E+12,32.2,32.5,18.9,15.1,13.7,19.3,22.6,25.3,-1.444,-1.464,-1.444
00:39.4,1.42E+12,24.7,30.9,23.7,22.8,13.7,14.8,17.7,18.9,-1.444,-1.449,-1.435
00:39.5,1.42E+12,26.2,27.7,22.1,22.8,12.2,20.8,24.2,28.5,-1.425,-1.454,-1.43
00:39.5,1.42E+12,21.8,26.1,18.9,18.2,15.3,2.9,17.7,23.7,-1.444,-1.444,-1.425
00:39.5,1.42E+12,23.2,26.1,28.5,21.3,15.3,17.8,24.2,25.3,-1.43,-1.41,-1.444
00:39.5,1.42E+12,21.8,24.6,23.7,15.1,13.7,26.8,24.2,25.3,-1.444,-1.454,-1.439
00:39.6,1.42E+12,29.2,24.6,22.1,21.3,13.7,28.3,30.8,26.9,-1.43,-1.444,-1.435
00:39.6,1.42E+12,21.8,27.7,22.1,22.8,15.3,20.8,24.2,25.3,-1.425,-1.478,-1.449
00:39.6,1.42E+12,20.3,26.1,22.1,22.8,7.6,17.8,17.7,15.7,-1.439,-1.449,-1.435
00:39.7,1.42E+12,21.8,26.1,22.1,21.3,6.1,20.8,22.6,31.8,-1.425,-1.449,-1.439
00:39.7,1.42E+12,23.2,24.6,22.1,21.3,13.7,14.8,11.2,23.7,-1.444,-1.444,-1.425
00:39.7,1.42E+12,29.2,26.1,14.1,25.9,13.7,17.8,22.6,25.3,-1.439,-1.449,-1.439
