time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
00:00.0,1.42163E+12,199.3,224.7,81.3,75.7,91.5,96.1,118.3,84.1,-1.391,-1.371,-1.332
31:46.0,1.42163E+12,175.7,190.1,95.8,94.7,128.7,117.8,144.1,89.5,-1.444,-1.371,-1.322
31:46.0,1.42163E+12,145.3,185.9,110.7,127,148,142.1,179.2,122.7,-1.41,-1.371,-1.327
31:46.1,1.42163E+12,116.2,161.2,110.7,121.5,146.1,153.6,194.2,163.5,-1.42,-1.356,-1.317
31:46.1,1.42163E+12,71.3,102.6,108.8,116.1,146.1,157.4,211.6,181.7,-1.41,-1.366,-1.366
31:46.1,1.42163E+12,49.9,62.6,97.7,79.1,142.2,163.3,202.8,213,-1.41,-1.356,-1.351
31:46.1,1.42163E+12,45,48.6,83.1,65.5,126.8,145.9,196.3,213,-1.425,-1.371,-1.327
31:46.2,1.42163E+12,40.2,43.4,67.1,58.9,86.1,140.2,166.6,200.3,-1.405,-1.366,-1.327
31:46.2,1.42163E+12,35.5,39.9,58.3,57.2,71.8,116,146.1,189.9,-1.41,-1.391,-1.322
31:46.2,1.42163E+12,35.5,41.6,53.1,40.8,64.8,94.3,130.1,118.9,-1.41,-1.366,-1.327
31:46.2,1.42163E+12,37,36.5,44.5,52.2,44.2,68.2,97.1,102.2,-1.415,-1.366,-1.322
31:46.2,1.42163E+12,35.5,33.1,41.1,52.2,39.2,43,82.1,78.7,-1.405,-1.366,-1.327
31:46.3,1.42163E+12,33.9,33.1,42.8,52.2,35.8,48,74.8,73.4,-1.41,-1.361,-1.342
31:46.3,1.42163E+12,33.9,31.4,39.4,50.6,37.5,48,67.5,69.9,-1.415,-1.361,-1.371
31:46.3,1.42163E+12,35.5,31.4,46.2,47.3,29.1,39.8,67.5,66.4,-1.41,-1.376,-1.351
31:46.4,1.42163E+12,45,29.7,37.8,37.6,29.1,36.5,62,64.7,-1.439,-1.371,-1.312
31:46.4,1.42163E+12,32.3,33.1,34.4,58.9,24.2,34.9,54.9,54.3,-1.405,-1.366,-1.322
31:46.5,1.42163E+12,32.3,26.4,34.4,49,17.7,33.2,67.5,73.4,-1.415,-1.371,-1.327
31:46.5,1.42163E+12,35.5,28,32.7,49,20.9,30,54.9,57.7,-1.41,-1.332,-1.293
31:46.5,1.42163E+12,30.7,28,37.8,47.3,20.9,30,53.1,78.7,-1.42,-1.376,-1.337
31:46.5,1.42163E+12,29.2,23,36.1,47.3,25.8,18.8,54.9,62.9,-1.405,-1.366,-1.327
31:46.5,1.42163E+12,30.7,24.7,36.1,47.3,27.5,31.6,54.9,57.7,-1.425,-1.366,-1.327
31:46.6,1.42163E+12,22.9,24.7,32.7,44.1,27.5,28.4,62,61.2,-1.444,-1.376,-1.322
31:46.6,1.42163E+12,66.3,82.3,77.7,55.5,80.7,36.5,54.9,56,-1.41,-1.371,-1.327
31:46.6,1.42163E+12,209.4,235.8,92.2,79.1,91.5,106.9,126.1,93.1,-1.41,-1.371,-1.327
31:46.6,1.42163E+12,187.4,209.4,97.7,114.3,109.8,127,146.1,75.2,-1.405,-1.366,-1.381
31:46.7,1.42163E+12,162.2,200.8,106.9,127,163.9,142.1,175,115.2,-1.454,-1.4,-1.386
31:46.7,1.42163E+12,114.4,183.8,110.7,127,155.9,147.8,194.2,149.6,-1.386,-1.356,-1.322
31:46.7,1.42163E+12,71.3,100.8,110.7,121.5,150,165.2,205,181.7,-1.444,-1.391,-1.332
31:46.7,1.42163E+12,40.2,64.3,101.4,82.6,146.1,163.3,207.2,213,-1.43,-1.371,-1.322
31:46.8,1.42163E+12,45,55.5,79.5,63.9,126.8,161.3,213.8,208.7,-1.405,-1.371,-1.327
31:46.8,1.42163E+12,43.4,45.1,75.9,62.2,87.9,145.9,179.2,202.4,-1.405,-1.366,-1.332
31:46.8,1.42163E+12,41.8,46.8,56.6,58.9,73.6,117.8,150.1,173.5,-1.405,-1.361,-1.381
31:46.9,1.42163E+12,40.2,39.9,49.7,58.9,71.8,103.3,144.1,126.5,-1.41,-1.371,-1.332
31:46.9,1.42163E+12,48.3,38.2,42.8,55.5,49.3,64.8,99,91.3,-1.4,-1.317,-1.322
31:46.9,1.42163E+12,35.5,34.8,60.1,50.6,37.5,61.4,84,78.7,-1.425,-1.366,-1.327
31:46.9,1.42163E+12,48.3,26.4,48,50.6,35.8,49.7,76.6,73.4,-1.43,-1.371,-1.317
31:47.0,1.42163E+12,15.2,34.8,37.8,49,30.8,48,69.3,69.9,-1.415,-1.366,-1.327
31:47.0,1.42163E+12,33.9,29.7,36.1,44.1,29.1,41.4,74.8,71.7,-1.41,-1.371,-1.337
31:47.0,1.42163E+12,32.3,29.7,34.4,52.2,29.1,39.8,56.6,56,-1.4,-1.371,-1.371
31:47.0,1.42163E+12,33.9,19.7,31,55.5,27.5,36.5,62,62.9,-1.405,-1.366,-1.322
31:47.1,1.42163E+12,35.5,28,31,50.6,24.2,33.2,58.4,64.7,-1.405,-1.366,-1.327
