time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
49:23.0,1.42163E+12,75.2,37.8,64,89,44.2,82.2,80.9,91.3,0.701,1.073,0.257
49:23.0,1.42163E+12,76.9,36,64,55.4,58.7,82.2,99,96.5,0.203,0.618,-0.305
49:23.0,1.42163E+12,91,36,64,87.4,66.1,83.9,72.8,66,0.555,0.701,-0.863
49:23.1,1.42163E+12,73.5,53.9,64,87.4,48.5,51.4,79.2,86.2,0.462,0.77,-1.009
49:23.1,1.42163E+12,75.2,13.5,62.4,97.3,84.1,78.7,97.3,87.9,1.205,0.555,-1.053
49:23.1,1.42163E+12,76.9,39.6,129.5,79.2,60.1,80.4,60.1,86.2,2.358,0.863,-0.74
49:23.1,1.42163E+12,76.9,43.1,70.6,95.7,63.1,51.4,71.2,84.5,1.918,0.565,0.389
49:23.1,1.42163E+12,291.9,171.5,62.4,114.2,70.5,91,80.9,98.2,2.031,0.775,-0.868
49:23.2,1.42163E+12,199.9,124.1,102.9,152.9,76.5,123.6,72.8,101.7,0.902,0.618,-0.203
49:23.2,1.42163E+12,197.8,130.1,118.7,112.5,82.6,212.4,128,481.5,0.721,0.555,-0.159
49:23.2,1.42163E+12,165.6,128.1,133.1,207.3,126.7,199.9,126.3,235.7,0.716,0.638,-0.066
49:23.3,1.42163E+12,121.7,126.1,118.7,163.8,93.3,218.7,152.9,254.9,0.217,0.848,0.149
49:23.4,1.42163E+12,71.7,85.3,129.5,152.9,91.8,255.5,151.1,272.3,0.418,0.555,-0.183
49:23.4,1.42163E+12,91,63,89.1,102.3,90.2,199.9,154.7,287.9,0.242,0.555,-0.452
49:23.4,1.42163E+12,78.7,30.8,101.2,107.4,81.1,199.9,112.5,274.6,0.56,0.731,-0.271
49:23.4,1.42163E+12,73.5,48.5,92.6,99,76.5,169.6,112.5,270.1,0.447,0.951,0.002
49:23.4,1.42163E+12,82.2,46.7,62.4,99,63.1,150.1,100.7,229.4,0.354,0.364,-0.447
49:23.4,1.42163E+12,105.3,39.6,82.4,95.7,70.5,136.7,94,167.5,0.604,1.048,-0.012
49:23.5,1.42163E+12,80.4,41.3,79,94,44.2,108.9,94,181,0.247,0.565,-0.022
49:23.5,1.42163E+12,78.7,53.9,74,92.3,67.5,107.1,85.8,99.9,0.755,0.941,-0.863
49:23.5,1.42163E+12,83.9,39.6,74,97.3,67.5,98.1,85.8,117.5,0.745,0.418,-0.902
49:23.5,1.42163E+12,76.9,30.8,69,90.7,44.2,94.5,84.1,105.2,0.96,1,-0.882
49:23.6,1.42163E+12,75.2,37.8,69,61.6,63.1,105.3,97.3,86.2,0.701,0.555,-0.066
49:23.6,1.42163E+12,75.2,16.9,51,87.4,90.2,82.2,82.5,93,0.775,0.809,0.535
49:23.6,1.42163E+12,78.7,37.8,60.8,90.7,64.6,85.7,82.5,96.5,0.54,0.78,0.755
49:23.6,1.42163E+12,76.9,13.5,64,97.3,84.1,85.7,97.3,93,0.652,0.555,-0.154
49:23.6,1.42163E+12,71.7,34.3,65.7,87.4,55.8,80.4,84.1,98.2,0.501,0.721,-0.203
49:23.7,1.42163E+12,92.7,32.5,65.7,87.4,63.1,80.4,64.8,89.6,0.755,0.677,-0.613
49:23.7,1.42163E+12,73.5,53.9,62.4,77.6,54.3,105.3,72.8,89.6,0.418,0.848,-0.882
49:23.8,1.42163E+12,51.4,32.5,101.2,105.7,44.2,99.9,77.6,87.9,1.219,0.423,-1.141
49:23.8,1.42163E+12,70,32.5,62.4,60.1,58.7,105.3,97.3,86.2,2.036,0.56,-0.946
49:23.8,1.42163E+12,71.7,32.5,64,85.8,61.6,64.9,74.4,126.5,1.977,0.565,-0.037
49:23.8,1.42163E+12,91,55.7,72.3,85.8,90.2,76.9,77.6,72.7,1.674,0.97,0.11
49:23.8,1.42163E+12,208.2,106.4,97.7,114.2,78,85.7,85.8,96.5,-0.11,0.565,1.483
49:23.9,1.42163E+12,167.6,96.7,115.2,152.9,107.4,136.7,135,159.9,0.677,0.555,-0.134
49:23.9,1.42163E+12,189.6,118.2,124.1,162,67.5,181.5,154.7,537.9,0.613,0.843,-0.115
49:23.9,1.42163E+12,123.6,116.2,129.5,165.6,101.1,214.5,102.3,233.6,0.721,0.648,-0.076
49:24.0,1.42163E+12,105.3,91,125.9,158.3,94.9,231.5,158.3,257,0.393,0.657,0.037
49:24.0,1.42163E+12,51.4,59.3,120.5,154.7,96.4,206.1,162,281.2,0.12,0.555,-0.291
49:24.1,1.42163E+12,83.9,52.1,82.4,95.7,85.6,275.7,154.7,283.5,0.276,0.897,-0.222
49:24.1,1.42163E+12,105.3,46.7,94.3,104,81.1,183.6,124.5,431.4,0.364,0.574,-0.237
49:24.1,1.42163E+12,63.2,43.1,79,100.7,72,165.6,109.1,287.9,0.442,0.951,0.007
49:24.1,1.42163E+12,75.2,41.3,75.6,94,70.5,148.1,100.7,194.8,0.736,0.745,-0.335
49:24.1,1.42163E+12,68.3,37.8,74,97.3,98,134.8,99,139.3,0.662,1.078,-0.139
49:24.1,1.42163E+12,73.5,37.8,75.6,85.8,44.2,114.4,152.9,156.1,0.296,0.745,-0.897
49:24.2,1.42163E+12,71.7,34.3,72.3,92.3,58.7,105.3,72.8,114,1.195,0.682,-0.96
49:24.2,1.42163E+12,51.4,43.1,70.6,97.3,67.5,98.1,85.8,108.7,0.604,0.936,-0.809
49:24.3,1.42163E+12,66.6,34.3,75.6,94,44.2,99.9,85.8,103.4,0.701,0.555,-0.369
49:24.3,1.42163E+12,76.9,13.5,51,89,113.8,91,84.1,82.8,0.726,1.014,0.266
49:24.3,1.42163E+12,70,34.3,67.3,89,44.2,85.7,110.8,122.9,0.565,0.731,0.472
49:24.3,1.42163E+12,76.9,32.5,65.7,87.4,78,87.4,47.6,93,1.019,0.706,0.227
49:24.3,1.42163E+12,68.3,10.1,65.7,87.4,63.1,85.7,80.9,91.3,1,0.731,0.066
49:24.4,1.42163E+12,31.6,30.8,65.7,99,69,58.1,85.8,91.3,0.457,0.55,-0.403
49:24.4,1.42163E+12,68.3,30.8,65.7,60.1,51.4,83.9,122.8,112.2,0.379,0.609,-0.687
49:24.4,1.42163E+12,64.9,13.5,64,85.8,44.2,82.2,47.6,87.9,1.063,0.975,-1.014
49:24.5,1.42163E+12,85.7,3.3,72.3,85.8,63.1,105.3,79.2,87.9,2.07,0.926,-0.843
49:24.5,1.42163E+12,58.1,32.5,74,64.8,64.6,73.5,80.9,86.2,2.261,0.467,-0.726
49:24.5,1.42163E+12,118,89.1,77.3,72.8,61.6,82.2,72.8,98.2,1.948,0.716,-0.657
49:24.5,1.42163E+12,136.7,89.1,87.4,119.3,78,78.7,76,108.7,0.701,0.74,0.374
49:24.6,1.42163E+12,127.3,98.7,89.1,126.3,67.5,107.1,94,221.1,1.078,0.96,-0.086
49:24.6,1.42163E+12,114.4,114.2,115.2,186.2,90.2,150.1,84.1,819.5,0.32,0.364,-0.232
49:24.6,1.42163E+12,103.5,92.9,96,193.8,69,152,94,274.6,0.354,0.555,-0.086
49:24.7,1.42163E+12,87.4,79.6,97.7,184.3,69,155.9,92.3,452.1,0.54,0.565,-0.046
49:24.7,1.42163E+12,76.9,59.3,72.3,133.3,78,155.9,95.7,276.8,0.599,0.975,-0.042
49:24.7,1.42163E+12,71.7,55.7,85.7,117.6,66.1,152,90.7,423.2,0.159,0.56,-0.271
49:24.8,1.42163E+12,70,41.3,49.4,110.8,90.2,155.9,85.8,452.1,0.164,0.56,-0.183
49:24.8,1.42163E+12,68.3,37.8,84,107.4,21.7,118,82.5,246.3,0.261,0.628,-0.286
49:24.8,1.42163E+12,66.6,36,69,105.7,61.6,114.4,124.5,188.9,0.584,0.98,-0.291
49:24.8,1.42163E+12,68.3,52.1,69,104,51.4,92.7,80.9,161.7,0.794,0.736,-0.413
49:24.8,1.42163E+12,64.9,0,65.7,152.9,84.1,78.7,97.3,139.3,0.359,0.555,-0.662
49:24.8,1.42163E+12,66.6,32.5,62.4,72.8,57.2,105.3,72.8,122.9,0.916,0.877,-0.799
49:24.9,1.42163E+12,66.6,39.6,64,99,61.6,78.7,72.8,156.1,0.843,0.877,-0.848
49:24.9,1.42163E+12,63.2,29,57.5,95.7,58.7,105.3,68,110.4,1.083,0.975,-0.408
49:25.0,1.42163E+12,63.2,53.9,60.8,97.3,38.5,48.1,77.6,89.6,0.677,0.565,0.139
49:25.0,1.42163E+12,63.2,0,57.5,124.5,88.7,64.9,104,101.7,0.731,0.56,0.31
49:25.0,1.42163E+12,63.2,29,67.3,140.3,44.2,73.5,97.3,96.5,0.824,0.76,0.276
49:25.0,1.42163E+12,51.4,29,59.1,95.7,58.7,75.2,61.6,99.9,1.122,0.662,-0.188
49:25.0,1.42163E+12,49.7,27.3,94.3,94,58.7,76.9,74.4,98.2,0.315,0.838,-0.188
49:25.1,1.42163E+12,25.2,16.9,59.1,133.3,60.1,73.5,50.7,84.5,0.716,0.652,-0.926
49:25.1,1.42163E+12,59.8,25.5,49.4,63.2,58.7,92.7,74.4,86.2,0.775,0.56,-1.053
49:25.1,1.42163E+12,59.8,23.8,59.1,94,57.2,64.9,66.4,98.2,1.957,0.565,-1.014
49:25.2,1.42163E+12,89.2,13.5,94.3,92.3,58.7,71.7,69.6,93,2.432,0.956,-0.462
49:25.2,1.42163E+12,56.4,25.5,62.4,94,60.1,66.6,64.8,126.5,1.625,0.569,-0.916
49:25.2,1.42163E+12,255.5,132.2,77.3,109.1,21.7,96.3,77.6,464.6,1.796,0.618,-1.029
49:25.3,1.42163E+12,242.3,161,94.3,140.3,61.6,118,124.5,171.3,-0.213,0.736,0.76
49:25.3,1.42163E+12,206.1,148.5,129.5,162,90.2,165.6,112.5,411,0.96,0.623,-0.174
49:25.3,1.42163E+12,167.6,142.3,102.9,174.9,98,197.8,142.1,1201.6,0.535,0.936,0.174
49:25.3,1.42163E+12,118,122.1,138.6,163.8,98,208.2,142.1,667.3,0.398,0.579,-0.208
49:25.3,1.42163E+12,101.7,70.3,77.3,154.7,91.8,227.2,160.1,285.7,0.271,0.56,-0.232
49:25.4,1.42163E+12,94.5,61.1,97.7,124.5,94.9,199.9,154.7,419.1,0.257,0.56,-0.34
49:25.4,1.42163E+12,75.2,53.9,87.4,105.7,82.6,225,171.2,283.5,0.389,0.96,-0.095
49:25.4,1.42163E+12,85.7,50.3,59.1,104,75,152,112.5,502.9,0.393,0.56,-0.276
49:25.5,1.42163E+12,85.7,27.3,67.3,100.7,104.3,142.4,72.8,237.8,0.54,0.555,-0.369
49:25.5,1.42163E+12,105.3,43.1,72.3,110.8,67.5,107.1,99,217,0.325,0.565,-0.1
49:25.5,1.42163E+12,105.3,27.3,101.2,97.3,69,108.9,95.7,143,0.569,0.96,-0.354
49:25.5,1.42163E+12,78.7,81.5,74,79.2,72,99.9,90.7,126.5,0.55,0.555,-0.638
49:25.6,1.42163E+12,105.3,41.3,62.4,92.3,69,78.7,87.4,115.8,0.99,1.078,-0.706
49:25.6,1.42163E+12,78.7,39.6,64,109.1,21.7,91,97.3,126.5,0.442,0.736,-0.574
49:25.6,1.42163E+12,85.7,10.1,70.6,92.3,66.1,105.3,85.8,86.2,1.048,0.902,-0.002
49:25.6,1.42163E+12,61.5,36,106.4,105.7,44.2,101.7,84.1,101.7,0.652,0.56,0.125
49:25.7,1.42163E+12,75.2,13.5,62.4,63.2,66.1,51.4,85.8,99.9,0.784,0.56,0.472
49:25.7,1.42163E+12,71.7,36,62.4,85.8,64.6,64.9,79.2,126.5,0.755,0.755,0.09
49:25.7,1.42163E+12,76.9,27.3,64,89,66.1,83.9,84.1,86.2,1.112,0.975,-0.134
49:25.7,1.42163E+12,76.9,16.9,60.8,90.7,69,71.7,82.5,93,0.491,0.584,-0.286
49:25.8,1.42163E+12,51.4,16.9,60.8,47.6,66.1,80.4,97.3,59.4,0.609,0.555,-1.024
49:25.8,1.42163E+12,73.5,16.9,60.8,60.1,61.6,105.3,77.6,91.3,1.073,0.877,-0.804
49:25.8,1.42163E+12,75.2,32.5,62.4,87.4,61.6,71.7,77.6,91.3,2.153,0.569,-1.053
49:25.9,1.42163E+12,76.9,16.9,64,87.4,66.1,76.9,79.2,62.7,2.5,0.975,-0.354
49:25.9,1.42163E+12,68.3,36,82.4,94,44.2,82.2,77.6,87.9,1.83,0.56,0.002
49:25.9,1.42163E+12,212.4,116.2,67.3,100.7,115.4,85.7,80.9,66,1.444,1.102,-0.731
49:26.0,1.42163E+12,197.8,128.1,97.7,124.5,55.8,119.9,126.3,132,-0.217,0.589,0.379
49:26.0,1.42163E+12,159.7,118.2,109.9,149.3,85.6,167.6,107.4,481.5,1.107,0.648,-0.169
49:26.0,1.42163E+12,157.8,100.6,159,167.5,91.8,199.9,136.8,935.5,0.491,0.907,0.193
49:26.1,1.42163E+12,121.7,100.6,129.5,199.6,94.9,229.3,140.3,246.3,0.784,0.672,-0.164
49:26.1,1.42163E+12,96.3,77.8,117,129.7,93.3,284.9,188.1,263.6,0.511,0.565,-0.198
49:26.1,1.42163E+12,116.2,55.7,111.7,128,91.8,0,156.5,473,0.178,0.594,-0.261
49:26.1,1.42163E+12,80.4,48.5,97.7,112.5,81.1,810.8,149.3,290.2,0.491,0.97,-0.496
49:26.1,1.42163E+12,83.9,53.9,89.1,124.5,75,627.9,121.1,287.9,0.208,0.574,-0.042
49:26.2,1.42163E+12,80.4,27.3,70.6,100.7,113.8,603.2,99,285.7,0.384,0.56,-0.276
49:26.2,1.42163E+12,76.9,37.8,94.3,100.7,67.5,505.8,100.7,188.9,0.34,0.701,-0.188
49:26.2,1.42163E+12,71.7,37.8,75.6,72.8,72,492.9,114.2,150.4,0.623,0.96,-0.198
49:26.2,1.42163E+12,71.7,53.9,85.7,72.8,73.5,499.4,94,133.8,0.369,0.56,-0.75
49:26.3,1.42163E+12,73.5,53.9,62.4,92.3,67.5,455.2,90.7,119.3,1.166,1.078,-0.804
49:26.3,1.42163E+12,71.7,53.9,64,94,44.2,473.9,95.7,106.9,0.433,0.74,-0.916
49:26.3,1.42163E+12,51.4,50.3,67.3,92.3,84.1,473.9,85.8,81.1,1.048,0.75,-0.232
49:26.4,1.42163E+12,70,53.9,96,72.8,99.5,464.5,84.1,103.4,0.55,0.555,0.452
49:26.4,1.42163E+12,70,13.5,62.4,97.3,58.7,461.4,82.5,99.9,0.936,1.112,0.628
49:26.4,1.42163E+12,68.3,108.4,62.4,90.7,63.1,461.4,61.6,98.2,0.638,0.858,0.437
49:26.4,1.42163E+12,58.1,22.1,87.4,80.9,66.1,409.5,79.2,96.5,0.574,0.726,-0.271
49:26.4,1.42163E+12,68.3,29,43,55.4,67.5,464.5,72.8,94.7,0.594,0.975,-0.051
49:26.5,1.42163E+12,64.9,46.7,87.4,85.8,90.2,452.1,80.9,94.7,0.252,0.369,-1.117
49:26.5,1.42163E+12,98.1,29,55.9,87.4,66.1,433.6,84.1,86.2,0.628,0.56,-1.053
49:26.5,1.42163E+12,68.3,27.3,64,90.7,49.9,449,97.3,117.5,1.483,0.75,-1.053
49:26.6,1.42163E+12,66.6,27.3,57.5,82.5,61.6,489.7,74.4,91.3,2.5,0.985,-0.496
49:26.6,1.42163E+12,66.6,53.9,87.4,60.1,81.1,445.9,79.2,87.9,2.031,0.565,0.266
49:26.6,1.42163E+12,214.5,146.4,62.4,102.3,115.4,531.9,72.8,126.5,2.28,0.56,-1.058
49:26.7,1.42163E+12,214.5,126.1,104.7,142.1,67.5,558.6,152.9,177.1,0.824,0.882,-0.521
49:26.7,1.42163E+12,152,114.2,117,241.3,115.4,649.4,126.3,1946,0.814,0.643,-0.174
49:26.7,1.42163E+12,107.1,110.3,122.3,171.2,91.8,704.8,152.9,270.1,0.486,0.916,0.125
49:26.7,1.42163E+12,78.7,85.3,170.5,156.5,99.5,686.1,126.3,276.8,0.814,1.087,-0.252
49:26.8,1.42163E+12,83.9,59.3,89.1,133.3,128.3,758.7,154.7,452.1,0.193,0.56,-0.31
49:26.8,1.42163E+12,80.4,75.9,101.2,114.2,51.4,708.6,182.4,439.6,0.261,0.677,-0.447
49:26.8,1.42163E+12,78.7,43.1,89.1,102.3,85.6,638.6,152.9,281.2,0.506,0.97,-0.31
49:26.9,1.42163E+12,76.9,63,84,102.3,64.6,565.4,107.4,274.6,0.804,0.657,-0.188
49:26.9,1.42163E+12,64.9,15.2,77.3,85.8,75,568.8,102.3,202.8,0.477,0.555,-0.345
49:26.9,1.42163E+12,75.2,36,75.6,99,44.2,528.6,152.9,159.9,0.403,0.75,-0.149
49:26.9,1.42163E+12,71.7,34.3,72.3,147.5,90.2,505.8,85.8,137.5,0.648,0.633,-0.609
49:26.9,1.42163E+12,64.9,32.5,69,95.7,67.5,483.4,152.9,121.1,0.77,0.951,-0.706
49:27.0,1.42163E+12,61.5,34.3,102.9,92.3,69,455.2,74.4,126.5,0.858,0.584,-1.092
49:27.0,1.42163E+12,80.4,27.3,36.7,90.7,115.4,470.8,85.8,86.2,0.78,1.102,-0.374
49:27.1,1.42163E+12,68.3,30.8,70.6,92.3,44.2,461.4,97.3,98.2,0.55,0.736,-0.061
49:27.1,1.42163E+12,68.3,30.8,65.7,90.7,133.2,489.7,84.1,93,0.799,0.975,0.481
49:27.1,1.42163E+12,68.3,16.9,77.3,89,66.1,461.4,82.5,98.2,0.472,0.584,0.457
49:27.1,1.42163E+12,44.7,20.4,64,126.3,66.1,455.2,61.6,76,0.941,1.117,0.002
49:27.2,1.42163E+12,64.9,3.3,60.8,124.5,90.2,442.8,117.6,93,0.408,0.555,-0.237
49:27.2,1.42163E+12,64.9,29,62.4,79.2,63.1,489.7,110.8,59.4,0.354,0.56,-0.672
49:27.2,1.42163E+12,98.1,27.3,62.4,87.4,63.1,452.1,56.9,89.6,0.628,0.667,-1.034
49:27.2,1.42163E+12,105.3,27.3,62.4,64.8,39.9,452.1,80.9,126.5,1.092,0.848,-0.887
49:27.2,1.42163E+12,38.2,27.3,115.2,110.8,44.2,489.7,79.2,87.9,1.874,0.565,-1.058
49:27.3,1.42163E+12,64.9,27.3,49.4,84.1,102.7,464.5,60.1,91.3,1.703,0.565,-0.418
49:27.3,1.42163E+12,87.4,50.3,129.5,117.6,66.1,430.6,76,91.3,1.684,0.745,-0.056
49:27.3,1.42163E+12,264.4,148.5,96,109.1,75,515.5,84.1,46.5,2.5,0.912,-0.784
49:27.4,1.42163E+12,220.8,148.5,124.1,133.3,81.1,531.9,89,154.2,1.048,1.019,-0.325
49:27.4,1.42163E+12,195.8,124.1,92.6,156.5,141.5,653,99,592,0.491,0.565,-0.09
49:27.4,1.42163E+12,169.6,132.2,127.7,167.5,67.5,660.3,152.9,485.8,0.452,0.736,-0.095
49:27.4,1.42163E+12,131,114.2,122.3,156.5,94.9,701.1,147.5,254.9,0.794,0.985,-0.115
49:27.5,1.42163E+12,103.5,63,129.5,142.1,90.2,701.1,147.5,279,0.286,0.584,-0.017
