time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:37.0,1.42171E+12,28.4,73.5,82.5,95.7,69,279.1,72.8,82.6,0.706,0.521,0.174
41:37.0,1.42171E+12,73.5,83.9,80.9,47.6,55.8,480.2,68,74.2,0.75,0.525,0.134
41:37.0,1.42171E+12,61.5,78.7,79.2,60.1,87.2,430.6,47.6,80.9,0.96,0.652,0.076
41:37.0,1.42171E+12,38.2,80.4,80.9,56.9,60.1,427.6,126.3,80.9,0.868,0.926,0.34
41:37.0,1.42171E+12,44.7,91,63.2,58.5,60.1,436.7,53.8,82.6,0.662,0.525,-0.066
41:37.1,1.42171E+12,70,78.7,60.1,56.9,115.4,461.4,47.6,99.7,0.75,0.525,-0.105
41:37.1,1.42171E+12,51.4,82.2,55.4,68,44.2,279.1,61.6,128,0.824,0.53,-0.115
41:37.1,1.42171E+12,39.8,83.9,85.8,58.5,60.1,430.6,63.2,167.1,0.193,0.936,1.112
41:37.1,1.42171E+12,91,105.3,60.1,71.2,66.1,489.7,66.4,84.3,0.051,0.609,-0.022
41:37.2,1.42171E+12,25.2,78.7,110.8,72.8,73.5,531.9,72.8,106.7,0.442,0.667,-0.198
41:37.2,1.42171E+12,127.3,136.7,119.3,66.4,73.5,582.4,117.6,87.7,0.227,0.525,-0.027
41:37.2,1.42171E+12,134.8,138.6,122.8,87.4,75,531.9,61.6,98,0.569,0.667,0.051
41:37.3,1.42171E+12,114.4,110.7,128,87.4,82.6,596.2,92.3,101.4,0.584,0.858,0.232
41:37.3,1.42171E+12,92.7,136.7,124.5,92.3,117,551.9,90.7,98,0.736,0.706,-0.149
41:37.3,1.42171E+12,110.7,152,92.3,90.7,79.5,545.2,92.3,77.5,0.354,0.525,0.007
41:37.3,1.42171E+12,107.1,150.1,121.1,92.3,55.8,512.3,87.4,128,0.433,0.53,0.174
41:37.4,1.42171E+12,99.9,177.5,119.3,90.7,78,551.9,84.1,80.9,0.78,0.882,0.042
41:37.4,1.42171E+12,96.3,150.1,110.8,90.7,55.8,568.8,84.1,92.8,0.369,0.521,0.086
41:37.4,1.42171E+12,105.3,127.3,112.5,87.4,52.8,525.3,85.8,94.5,0.809,1.053,0.33
41:37.5,1.42171E+12,92.7,129.2,114.2,52.2,70.5,522.1,99,101.4,0.433,0.589,0.002
41:37.5,1.42171E+12,119.9,127.3,112.5,85.8,75,492.9,64.8,96.2,0.692,0.682,-0.007
41:37.5,1.42171E+12,83.9,129.2,99,109.1,73.5,515.5,82.5,96.2,0.555,0.868,0.252
41:37.5,1.42171E+12,85.7,121.7,117.6,72.8,75,518.8,82.5,98,0.838,1.058,0.349
41:37.5,1.42171E+12,85.7,121.7,94,84.1,75,492.9,84.1,80.9,0.408,0.525,0.022
41:37.6,1.42171E+12,85.7,121.7,110.8,84.1,75,492.9,72.8,92.8,0.481,0.535,0.154
41:37.6,1.42171E+12,105.3,121.7,107.4,58.5,47.1,515.5,68,94.5,0.286,0.794,0.183
41:37.6,1.42171E+12,64.9,118,152.9,110.8,67.5,32.6,79.2,89.4,0.491,0.521,-0.027
41:37.7,1.42171E+12,105.3,118,79.2,79.2,90.2,0,87.4,99.7,0.398,0.711,-0.007
41:37.7,1.42171E+12,82.2,121.7,109.1,79.2,75,0,95.7,113.7,0.374,0.54,-0.022
41:37.7,1.42171E+12,78.7,119.9,110.8,72.8,78,0,109.1,103.2,0.701,0.882,-0.066
41:37.8,1.42171E+12,73.5,155.9,105.7,79.2,49.9,0,117.6,129.8,0.364,0.535,0.061
41:37.8,1.42171E+12,71.7,92.7,104,97.3,73.5,0,99,129.8,0.799,0.672,0.056
41:37.8,1.42171E+12,70,107.1,107.4,72.8,72,32.6,117.6,148.2,0.648,0.54,0.056
41:37.8,1.42171E+12,64.9,103.5,107.4,82.5,129.9,0,119.3,148.2,0.291,0.711,-0.061
41:37.8,1.42171E+12,76.9,68.3,115.9,77.6,75,0,119.3,129.8,0.501,0.887,0.037
41:37.9,1.42171E+12,64.9,134.8,135,60.1,102.7,0,119.3,157.6,0.002,0.335,-0.506
41:37.9,1.42171E+12,64.9,96.3,79.2,69.6,90.2,24,112.5,188.4,0.203,0.525,-0.428
41:37.9,1.42171E+12,64.9,91,147.5,69.6,67.5,565.4,110.8,139,0.506,0.706,-0.046
41:38.0,1.42171E+12,94.5,91,99,69.6,70.5,541.9,84.1,8308.6,0.98,0.628,0.193
41:38.0,1.42171E+12,103.5,99.9,66.4,80.9,69,512.3,124.5,7847.7,0.281,0.692,1.024
41:38.0,1.42171E+12,51.4,71.7,95.7,26.3,67.5,496.1,117.6,74.2,0.628,0.525,0.379
41:38.0,1.42171E+12,59.8,85.7,94,47.6,64.6,489.7,110.8,101.4,0.609,0.525,0.462
41:38.1,1.42171E+12,61.5,71.7,95.7,66.4,66.1,467.6,85.8,128,0.745,0.848,0.579
41:38.1,1.42171E+12,59.8,83.9,85.8,61.6,90.2,477.1,85.8,77.5,0.657,0.936,0.477
41:38.1,1.42171E+12,59.8,59.8,92.3,84.1,66.1,473.9,82.5,103.2,0.232,0.305,0.335
41:38.1,1.42171E+12,58.1,64.9,63.2,64.8,115.4,470.8,82.5,74.2,0.657,1.068,0.736
41:38.2,1.42171E+12,59.8,82.2,89,64.8,49.9,464.5,122.8,104.9,0.408,0.569,0.296
41:38.2,1.42171E+12,58.1,76.9,89,63.2,64.6,480.2,80.9,44.7,0.662,0.877,0.217
41:38.2,1.42171E+12,58.1,82.2,66.4,64.8,55.8,467.6,79.2,94.5,0.408,0.521,-0.286
41:38.3,1.42171E+12,58.1,82.2,56.9,61.6,64.6,467.6,84.1,74.2,0.481,0.521,-0.227
41:38.3,1.42171E+12,63.2,80.4,87.4,63.2,44.2,439.8,77.6,128,0.711,0.721,-0.203
41:38.3,1.42171E+12,54.7,80.4,79.2,47.6,63.1,418.5,89,74.2,0.921,0.868,-0.159
41:38.3,1.42171E+12,53.1,91,97.3,63.2,90.2,461.4,77.6,91.1,0.921,0.525,-0.222
41:38.4,1.42171E+12,58.1,80.4,29.3,60.1,90.2,489.7,47.6,101.4,0.872,0.525,-0.174
41:38.4,1.42171E+12,58.1,78.7,85.8,76,61.6,266.1,76,91.1,0.931,0.555,-0.154
41:38.4,1.42171E+12,78.7,78.7,84.1,52.2,55.8,489.7,68,91.1,0.662,0.824,0.232
41:38.4,1.42171E+12,41.4,78.7,124.5,61.6,61.6,418.5,47.6,87.7,1.215,0.633,0.203
41:38.5,1.42171E+12,54.7,78.7,72.8,58.5,84.1,489.7,72.8,120.8,0.78,0.521,-0.012
41:38.5,1.42171E+12,54.7,76.9,82.5,61.6,27.2,455.2,84.1,72.5,0.721,0.672,-0.095
41:38.5,1.42171E+12,56.4,76.9,77.6,61.6,141.5,489.7,76,80.9,1.024,0.941,-0.046
41:38.6,1.42171E+12,56.4,63.2,79.2,90.7,61.6,452.1,74.4,89.4,0.706,0.525,0.286
41:38.6,1.42171E+12,54.7,51.4,72.8,61.6,107.4,489.7,47.6,594.6,1.635,0.525,-0.916
41:38.6,1.42171E+12,56.4,91,90.7,61.6,49.9,467.6,109.1,144.5,0.78,0.565,0.266
41:38.7,1.42171E+12,58.1,75.2,102.3,69.6,91.8,610.2,82.5,74.2,0.056,0.882,0.002
41:38.7,1.42171E+12,108.9,114.4,135,82.5,90.2,551.9,94,87.7,0.154,0.599,0.037
41:38.7,1.42171E+12,121.7,173.5,128,95.7,67.5,558.6,100.7,85.9,0.301,1.053,0.491
41:38.7,1.42171E+12,119.9,161.7,131.5,60.1,72,572.2,133.3,99.7,0.452,0.687,-0.032
41:38.8,1.42171E+12,107.1,189.6,135,87.4,84.1,568.8,85.8,67.5,0.907,0.804,0.037
41:38.8,1.42171E+12,134.8,159.7,136.8,85.8,79.5,562,99,113.7,0.276,0.74,0.232
41:38.8,1.42171E+12,78.7,159.7,136.8,66.4,84.1,558.6,94,80.9,0.838,1.053,0.393
41:38.8,1.42171E+12,119.9,159.7,99,79.2,84.1,585.9,97.3,54.4,0.457,0.521,-0.012
41:38.9,1.42171E+12,92.7,136.7,152.9,72.8,85.6,492.9,87.4,82.6,0.525,0.692,-0.09
41:38.9,1.42171E+12,108.9,150.1,126.3,53.8,82.6,551.9,74.4,82.6,0.604,0.868,0.227
41:38.9,1.42171E+12,107.1,165.6,152.9,82.5,90.2,555.2,90.7,84.3,0.359,0.335,-0.174
41:39.0,1.42171E+12,105.3,142.4,143.9,77.6,84.1,518.8,95.7,80.9,0.521,0.525,-0.081
41:39.0,1.42171E+12,99.9,140.5,152.9,97.3,75,551.9,89,62.6,0.535,0.711,0.086
41:39.0,1.42171E+12,78.7,150.1,154.7,77.6,90.2,555.2,72.8,60.9,0.828,0.902,0.134
41:39.0,1.42171E+12,101.7,107.1,158.3,77.6,115.4,492.9,100.7,80.9,0.349,0.525,0.12
41:39.1,1.42171E+12,101.7,121.7,149.3,97.3,75,555.2,72.8,106.7,0.413,0.521,-0.056
41:39.1,1.42171E+12,101.7,132.9,213.2,66.4,79.5,568.8,69.6,77.5,0.569,0.853,0.305
41:39.1,1.42171E+12,105.3,132.9,152.9,97.3,84.1,518.8,66.4,82.6,0.506,0.535,0.13
41:39.1,1.42171E+12,148.1,150.1,126.3,90.7,81.1,572.2,85.8,89.4,0.232,0.701,0.281
41:39.2,1.42171E+12,85.7,110.7,149.3,60.1,84.1,568.8,89,84.3,0.442,0.521,-0.051
41:39.2,1.42171E+12,99.9,134.8,184.3,60.1,78,596.2,90.7,89.4,0.56,0.858,0.325
41:39.2,1.42171E+12,94.5,132.9,213.2,97.3,82.6,579,100.7,169,0.467,0.711,0.022
41:39.3,1.42171E+12,94.5,107.1,149.3,80.9,82.6,7.2,114.2,4769.8,0.755,0.877,0.286
41:39.3,1.42171E+12,76.9,127.3,131.5,79.2,115.4,0,115.9,122.6,0.423,0.525,-0.046
41:39.3,1.42171E+12,58.1,129.2,126.3,58.5,85.6,50.2,119.3,137.1,0.54,0.858,0.305
41:39.3,1.42171E+12,78.7,114.4,143.9,82.5,90.2,0,122.8,186.4,0.814,0.848,0.193
41:39.4,1.42171E+12,63.2,112.5,152.9,79.2,85.6,0,131.5,163.2,0.618,0.916,0.237
41:39.4,1.42171E+12,71.7,107.1,119.3,90.7,84.1,7.2,133.3,178.6,0.374,0.525,-0.144
41:39.4,1.42171E+12,73.5,103.5,99,69.6,87.2,0,135,212.4,0.281,0.525,-0.159
41:39.4,1.42171E+12,46.4,80.4,129.7,74.4,90.2,0,128,200.3,0.198,0.711,-0.31
41:39.5,1.42171E+12,71.7,91,126.3,71.2,82.6,11.3,128,202.3,0.315,0.853,-0.159
41:39.5,1.42171E+12,51.4,92.7,152.9,97.3,79.5,678.7,115.9,4663.9,0.257,0.525,-0.164
41:39.5,1.42171E+12,70,94.5,60.1,66.4,76.5,545.2,110.8,576.4,0.477,0.525,0.203
