time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
35:49.0,1.42111E+12,63.7,59,32.7,21.3,27.6,12.5,18.4,18.9,-1.522,-1.435,-1.366
35:49.0,1.42111E+12,60.4,60.8,29.4,22.8,17.7,12.5,18.4,26.9,-1.474,-1.425,-1.371
35:49.0,1.42111E+12,62.1,59,34.4,16.6,24.3,12.5,18.4,25.3,-1.483,-1.425,-1.351
35:49.1,1.42111E+12,57.2,62.6,26,27.5,17.7,15.7,18.4,22.1,-1.483,-1.43,-1.371
35:49.1,1.42111E+12,70.2,75.1,27.7,22.8,17.7,14.1,11.6,15.7,-1.488,-1.42,-1.356
35:49.1,1.42111E+12,50.8,62.6,27.7,22.8,12.8,23.7,11.6,23.7,-1.478,-1.449,-1.361
35:49.1,1.42111E+12,62.1,46.8,27.7,25.9,19.3,12.5,16.7,23.7,-1.483,-1.444,-1.371
35:49.2,1.42111E+12,58.8,59,29.4,22.8,24.3,6.2,8.3,18.9,-1.488,-1.425,-1.371
35:49.2,1.42111E+12,63.7,60.8,27.7,24.3,12.8,10.9,20.1,14.1,-1.478,-1.415,-1.371
35:49.2,1.42111E+12,57.2,60.8,27.7,19.7,19.3,12.5,0,22.1,-1.483,-1.425,-1.366
35:49.2,1.42111E+12,57.2,59,32.7,30.6,17.7,12.5,28.2,22.1,-1.483,-1.43,-1.347
35:49.3,1.42111E+12,58.8,60.8,27.7,21.3,19.3,22.1,23.2,20.5,-1.483,-1.449,-1.376
35:49.3,1.42111E+12,58.8,59,29.4,36.9,14.4,9.4,33.4,22.1,-1.478,-1.425,-1.376
35:49.3,1.42111E+12,60.4,45.1,27.7,22.8,25.9,20.5,24.9,18.9,-1.464,-1.425,-1.381
35:49.3,1.42111E+12,57.2,45.1,27.7,18.2,17.7,6.2,19.8,18.9,-1.488,-1.425,-1.371
35:49.4,1.42111E+12,60.4,59,27.7,22.8,12.8,12.5,26.6,15.7,-1.488,-1.405,-1.4
35:49.4,1.42111E+12,58.8,60.8,21.1,13.6,19.3,0,24.9,20.5,-1.483,-1.425,-1.366
35:49.4,1.42111E+12,55.6,60.8,24.4,18.2,25.9,23.3,24.9,22.1,-1.459,-1.415,-1.347
35:49.5,1.42111E+12,58.8,59,26,19.7,19.3,20.2,19.8,22.1,-1.459,-1.425,-1.366
35:49.5,1.42111E+12,60.4,59,26,22.8,17.7,21.8,31.6,23.7,-1.478,-1.449,-1.366
35:49.5,1.42111E+12,60.4,48.6,27.7,22.8,24.3,29.7,26.6,25.3,-1.483,-1.43,-1.371
35:49.5,1.42111E+12,58.8,59,29.4,21.3,16.1,23.3,24.9,14.1,-1.508,-1.405,-1.371
35:49.6,1.42111E+12,60.4,57.3,29.4,22.8,12.8,18.6,24.9,28.5,-1.474,-1.43,-1.371
35:49.6,1.42111E+12,58.8,60.8,21.1,15.1,19.3,3.1,21.5,22.1,-1.483,-1.425,-1.366
35:49.6,1.42111E+12,55.6,62.6,32.7,25.9,21,23.3,24.9,23.7,-1.478,-1.425,-1.366
35:49.6,1.42111E+12,60.4,67.9,29.4,25.9,17.7,21.8,24.9,22.1,-1.483,-1.391,-1.361
35:49.7,1.42111E+12,57.2,60.8,26,22.8,19.3,21.8,33.4,25.3,-1.478,-1.43,-1.366
35:49.7,1.42111E+12,60.4,45.1,27.7,27.5,19.3,21.8,24.9,20.5,-1.483,-1.449,-1.371
35:49.7,1.42111E+12,50.8,52,29.4,22.8,21,21.8,33.4,22.1,-1.488,-1.425,-1.347
35:49.7,1.42111E+12,60.4,59,26,22.8,9.6,21.8,26.6,31.8,-1.483,-1.43,-1.371
35:49.8,1.42111E+12,57.2,59,22.7,13.6,16.1,3.1,19.8,20.5,-1.483,-1.425,-1.366
35:49.8,1.42111E+12,58.8,59,27.7,22.8,19.3,34.5,24.9,33.4,-1.483,-1.43,-1.371
35:49.8,1.42111E+12,57.2,57.3,21.1,22.8,17.7,21.8,24.9,20.5,-1.474,-1.42,-1.366
35:49.9,1.42111E+12,57.2,67.9,26,22.8,16.1,21.8,28.2,20.5,-1.469,-1.464,-1.376
35:49.9,1.42111E+12,58.8,52,27.7,24.3,22.6,28.1,23.2,25.3,-1.483,-1.43,-1.371
35:49.9,1.42111E+12,57.2,66.1,27.7,22.8,17.7,21.8,26.6,23.7,-1.488,-1.425,-1.469
35:50.0,1.42111E+12,58.8,57.3,27.7,21.3,9.6,21.8,26.6,14.1,-1.478,-1.405,-1.371
35:50.0,1.42111E+12,58.8,59,27.7,22.8,17.7,21.8,24.9,25.3,-1.488,-1.435,-1.356
35:50.0,1.42111E+12,58.8,60.8,34.4,29,17.7,21.8,23.2,23.7,-1.488,-1.425,-1.371
35:50.0,1.42111E+12,44.4,60.8,26,19.7,19.3,21.8,24.9,20.5,-1.488,-1.43,-1.371
35:50.0,1.42111E+12,58.8,59,27.7,22.8,37.6,23.3,26.6,20.5,-1.478,-1.444,-1.371
35:50.1,1.42111E+12,58.8,52,27.7,25.9,19.3,21.8,24.9,22.1,-1.483,-1.449,-1.371
35:50.1,1.42111E+12,57.2,66.1,27.7,22.8,22.6,20.2,33.4,20.5,-1.483,-1.43,-1.356
35:50.1,1.42111E+12,63.7,57.3,29.4,25.9,16.1,23.3,26.6,31.8,-1.493,-1.425,-1.371
35:50.2,1.42111E+12,57.2,66.1,27.7,22.8,17.7,21.8,24.9,20.5,-1.488,-1.425,-1.342
35:50.2,1.42111E+12,58.8,60.8,37.8,29,17.7,21.8,23.2,23.7,-1.488,-1.425,-1.371
35:50.2,1.42111E+12,60.4,53.8,22.7,18.2,19.3,21.8,29.9,18.9,-1.483,-1.42,-1.366
35:50.2,1.42111E+12,58.8,60.8,27.7,38.5,22.6,21.8,26.6,23.7,-1.478,-1.444,-1.347
