time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
45:27.0,1.42171E+12,18.3,43.3,76,58.3,69.3,90.4,54.4,21.3,-1.376,-1.444,-1.478
45:27.0,1.42171E+12,16.7,41.5,77.9,56.7,67.5,65.3,58.1,19.6,-1.371,-1.405,-1.503
45:27.0,1.42171E+12,21.4,41.5,83.4,56.7,65.6,67.1,49,26.3,-1.386,-1.454,-1.498
45:27.1,1.42171E+12,21.4,43.3,79.7,64.9,65.6,48,52.6,21.3,-1.366,-1.41,-1.513
45:27.1,1.42171E+12,27.6,46.7,81.5,43.6,60.2,51.4,47.2,19.6,-1.376,-1.449,-1.493
45:27.1,1.42171E+12,9.1,46.7,79.7,59.9,69.3,60.1,58.1,18,-1.381,-1.444,-1.498
45:27.1,1.42171E+12,19.8,33,72.4,58.3,62,60.1,50.8,19.6,-1.376,-1.444,-1.508
45:27.1,1.42171E+12,22.9,43.3,81.5,59.9,67.5,60.1,52.6,22.9,-1.376,-1.449,-1.557
45:27.2,1.42171E+12,16.7,41.5,85.2,58.3,71.1,63.6,56.3,19.6,-1.356,-1.435,-1.474
45:27.2,1.42171E+12,21.4,39.8,85.2,59.9,74.8,61.8,65.5,24.6,-1.356,-1.488,-1.508
45:27.2,1.42171E+12,15.2,39.8,81.5,59.9,78.4,81.3,82.4,29.7,-1.361,-1.43,-1.498
45:27.3,1.42171E+12,10.6,31.3,79.7,50.1,80.3,90.4,99.6,39.8,-1.405,-1.405,-1.474
45:27.3,1.42171E+12,0,36.4,83.4,63.3,84,105.1,127.4,55.4,-1.381,-1.444,-1.483
45:27.3,1.42171E+12,10.6,19.6,72.4,56.7,84,120.1,131.4,82.1,-1.376,-1.444,-1.498
45:27.4,1.42171E+12,9,34.7,81.5,48.5,80.3,129.7,133.5,109.9,-1.376,-1.439,-1.547
45:27.4,1.42171E+12,9,21.3,81.5,42,84,127.7,127.4,113.7,-1.386,-1.444,-1.508
45:27.4,1.42171E+12,9,19.6,74.2,43.6,78.4,133.5,113.4,117.5,-1.386,-1.454,-1.498
45:27.4,1.42171E+12,7.5,19.6,65.2,40.4,62,112.6,105.5,98.7,-1.361,-1.439,-1.503
45:27.5,1.42171E+12,24.4,18,58,24.6,53.1,81.3,84.3,74.9,-1.386,-1.454,-1.498
45:27.5,1.42171E+12,4.5,22.9,49.2,48.5,40.7,63.6,65.5,57.1,-1.381,-1.449,-1.503
45:27.5,1.42171E+12,7.5,16.3,43.9,37.2,28.6,51.4,54.4,53.6,-1.386,-1.469,-1.483
45:27.5,1.42171E+12,4.5,14.7,40.4,37.2,26.9,46.2,49,50.2,-1.376,-1.444,-1.488
45:27.6,1.42171E+12,6,21.3,33.5,30.9,15,36.1,43.6,45,-1.376,-1.449,-1.513
45:27.6,1.42171E+12,0,13,56.2,37.2,18.4,21.1,40,39.8,-1.425,-1.459,-1.503
45:27.6,1.42171E+12,13.5,13,35.2,34,15,24.4,45.4,41.5,-1.351,-1.449,-1.493
45:27.6,1.42171E+12,3,11.4,33.5,30.9,11.6,24.4,38.2,39.8,-1.469,-1.444,-1.493
45:27.7,1.42171E+12,0,13,33.5,43.6,13.3,21.1,45.4,39.8,-1.381,-1.449,-1.537
45:27.7,1.42171E+12,17.9,11.4,21.6,32.5,5,22.7,38.2,45,-1.391,-1.425,-1.508
45:27.7,1.42171E+12,16.4,11.4,31.8,34,10,22.7,34.6,38.1,-1.371,-1.444,-1.527
45:27.7,1.42171E+12,17.9,13,35.2,34,8.3,21.1,29.3,39.8,-1.386,-1.435,-1.522
45:27.8,1.42171E+12,19.4,9.7,45.7,34,11.6,32.7,31.1,45,-1.381,-1.449,-1.498
45:27.8,1.42171E+12,16.4,8.1,30.1,42,10,3.2,34.6,36.4,-1.351,-1.425,-1.508
45:27.8,1.42171E+12,28.5,8.1,38.7,32.5,8.3,19.4,31.1,28,-1.391,-1.459,-1.493
45:27.9,1.42171E+12,16.4,13,30.1,42,6.6,17.8,24.1,34.7,-1.366,-1.405,-1.518
45:27.9,1.42171E+12,16.4,13,30.1,45.2,5,17.8,29.3,41.5,-1.391,-1.425,-1.503
45:27.9,1.42171E+12,17.9,21.3,28.4,32.5,8.3,14.5,27.6,34.7,-1.371,-1.449,-1.503
45:28.0,1.42171E+12,17.9,13,35.2,35.6,8.3,27.7,27.6,34.7,-1.381,-1.449,-1.522
45:28.0,1.42171E+12,14.9,6.5,28.4,32.5,11.6,27.7,24.1,41.5,-1.381,-1.449,-1.498
45:28.0,1.42171E+12,16.4,6.5,38.7,32.5,26.9,16.2,36.4,34.7,-1.371,-1.425,-1.508
45:28.0,1.42171E+12,4.4,9.7,47.4,30.9,28.6,41.1,47.2,36.4,-1.386,-1.444,-1.498
45:28.0,1.42171E+12,14.9,9.7,43.9,38.8,33.8,48,59.9,36.4,-1.381,-1.449,-1.503
45:28.1,1.42171E+12,14.9,0,59.8,32.5,46,65.3,59.9,33,-1.371,-1.493,-1.508
45:28.1,1.42171E+12,16.4,1.6,45.7,32.5,40.7,83.1,76.7,39.8,-1.376,-1.439,-1.522
45:28.1,1.42171E+12,16.4,13,72.4,32.5,69.3,92.2,88.1,46.7,-1.386,-1.444,-1.542
45:28.2,1.42171E+12,14.9,6.5,70.6,37.2,80.3,88.5,101.6,48.4,-1.41,-1.454,-1.503
45:28.2,1.42171E+12,14.9,6.5,87.1,38.8,85.9,114.4,111.4,48.4,-1.366,-1.459,-1.503
45:28.2,1.42171E+12,22.4,1.6,88.9,45.2,93.4,120.1,117.4,62.4,-1.371,-1.469,-1.498
45:28.3,1.42171E+12,16.4,8.1,88.9,51.7,95.2,127.7,137.6,69.5,-1.381,-1.449,-1.503
45:28.3,1.42171E+12,14.9,3.2,94.5,51.7,100.9,116.3,109.4,39.8,-1.361,-1.493,-1.508
45:28.3,1.42171E+12,16.4,1.6,88.9,59.9,84,120.1,113.4,45,-1.371,-1.439,-1.537
45:28.3,1.42171E+12,16.4,1.6,96.4,59.9,100.9,108.8,111.4,45,-1.386,-1.449,-1.527
45:28.4,1.42171E+12,13.4,8.1,92.7,56.7,97.1,105.1,109.4,48.4,-1.381,-1.449,-1.503
45:28.4,1.42171E+12,14.9,3.2,92.7,51.7,84,88.5,107.5,41.5,-1.386,-1.444,-1.503
