time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
31:46.0,1.42E+12,78.7,67.5,80.8,92.3,64.6,110.7,118.2,213.2,0.349,0.54,-0.423
31:46.0,1.42E+12,75.2,67.5,80.8,97.3,66.1,114.4,116.5,154.7,0.408,0.912,-0.53
31:46.0,1.42E+12,75.2,96.5,74.2,90.7,55.8,92.7,109.9,143.9,0.941,0.692,-0.936
31:46.0,1.42E+12,71.7,32.9,70.9,47.6,66.1,94.5,126.5,102.3,0.349,0.535,-1.092
31:46.0,1.42E+12,71.7,60.5,70.9,60.1,60.1,105.3,106.6,124.5,0.32,0.545,-0.042
31:46.0,1.42E+12,73.5,64,85.8,87.4,61.6,83.9,95.3,115.9,0.662,0.912,0.633
31:46.1,1.42E+12,92.7,60.5,70.9,82.5,58.7,82.2,101.7,152.9,0.599,0.936,0.711
31:46.1,1.42E+12,48.1,58.7,111.2,95.7,32.8,83.9,100.1,114.2,0.516,0.54,0.237
31:46.1,1.42E+12,91,53.5,37.6,84.1,90.2,75.2,100.1,87.4,0.706,1.058,-0.154
31:46.1,1.42E+12,66.6,58.7,67.7,87.4,55.8,73.5,138.4,117.6,0.31,0.569,-0.452
31:46.2,1.42E+12,68.3,55.2,66.1,152.9,66.1,75.2,92.1,105.7,0.565,0.892,-0.863
31:46.2,1.42E+12,105.3,65.8,36,90.7,60.1,73.5,96.9,105.7,1.009,0.907,-0.907
31:46.2,1.42E+12,51.4,55.2,36,84.1,60.1,94.5,70.1,110.8,2.089,0.54,-1.131
31:46.3,1.42E+12,66.6,58.7,48.5,79.2,91.8,80.4,96.9,152.9,2.265,0.726,-0.506
31:46.3,1.42E+12,210.3,160.4,141.3,90.7,55.8,68.3,106.6,95.7,0.946,0.716,-0.814
31:46.3,1.42E+12,257.7,183,94.1,152.9,60.1,87.4,90.5,112.5,-0.638,0.623,2.148
31:46.3,1.42E+12,216.6,178.8,127,151.1,82.6,123.6,131.6,136.8,0.462,0.863,0.276
31:46.4,1.42E+12,152,162.4,141.3,197.6,98,206.1,166.4,154.7,0.452,0.535,-0.11
31:46.4,1.42E+12,127.3,140.4,107.8,162,168.7,229.3,166.4,165.6,0.32,0.54,-0.09
31:46.5,1.42E+12,99.9,105.9,127,167.5,91.8,246.7,197.4,154.7,0.213,0.652,-0.227
31:46.6,1.42E+12,92.7,67.5,114.7,122.8,123.4,240.1,159.3,169.3,0.364,0.755,-0.139
31:46.6,1.42E+12,105.3,76.5,100.9,85.8,70.5,229.3,190,162,0.467,0.858,-0.139
31:46.6,1.42E+12,64.9,71.1,137.7,110.8,70.5,179.5,164.6,163.8,0.452,0.54,-0.423
31:46.7,1.42E+12,85.7,72.9,36,95.7,82.6,116.2,140.1,152.9,0.643,0.54,-0.491
31:46.7,1.42E+12,80.4,67.5,82.4,95.7,49.9,118,133.3,126.3,-0.203,0.633,-0.501
31:46.7,1.42E+12,80.4,43.1,54.8,94,78,105.3,111.5,121.1,0.325,0.78,-0.843
31:46.7,1.42E+12,105.3,60.5,77.5,99,44.2,98.1,114.8,99,0.804,0.78,-0.921
31:46.7,1.42E+12,75.2,60.5,85.8,77.6,75,94.5,108.3,109.1,0.354,0.721,-0.692
31:46.7,1.42E+12,76.9,80.1,69.3,89,75,68.3,111.5,104,0.633,1.058,-0.002
31:46.7,1.42E+12,75.2,62.2,74.2,89,44.2,80.4,119.8,97.3,0.521,0.716,0.291
31:46.7,1.42E+12,75.2,80.1,74.2,87.4,78,87.4,108.3,72.8,0.99,0.902,0.696
31:46.7,1.42E+12,76.9,51.7,74.2,85.8,66.1,85.7,106.6,97.3,0.54,0.755,0.335
31:46.8,1.42E+12,58.1,57,72.6,66.4,78,78.7,140.1,95.7,0.501,0.535,-0.222
31:46.8,1.42E+12,73.5,65.8,61.2,85.8,73.5,64.9,105,95.7,0.828,1.048,-0.609
