time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:17.0,1.42E+12,3.1620245,-7.27098,-6.9729495,10.55876763,0,0,0,0
41:17.0,1.42E+12,3.0440698,-7.69415,-6.7668285,10.6890726,0,0,0,0
41:17.0,1.42E+12,3.1597793,-7.546108,-6.7229695,10.58896926,0,0,0,0
41:17.0,1.42E+12,3.2030392,-6.831344,-6.864575,10.2004466,0,0,0,0
41:17.0,1.42E+12,2.9801528,-6.268215,-6.6618967,9.620431261,0,0,0,0
41:17.1,1.42E+12,2.7017317,-6.88643,-6.515501,9.857688654,0,0,0,0
41:17.1,1.42E+12,2.15911,-7.1389546,-5.915698,9.51955417,0,0,0,0
41:17.1,1.42E+12,2.300566,-6.909182,-5.4000206,9.065849233,0,0,0,0
41:17.1,1.42E+12,2.4956102,-7.582931,-5.147795,9.498879207,0,0,0,0
41:17.1,1.42E+12,2.3055058,-8.245154,-4.7788124,9.804844182,0,0,0,0
41:17.2,1.42E+12,2.6482928,-8.865913,-4.787195,10.41801824,0,0,0,0
41:17.2,1.42E+12,1.8827847,-9.43488,-5.792055,11.2298593,0,0,0,0
41:17.2,1.42E+12,1.1313473,-8.956475,-6.925648,11.37818049,0,0,0,0
41:17.2,1.42E+12,1.2660671,-7.892787,-7.099736,10.69136398,0,0,0,0
41:17.2,1.42E+12,2.110611,-7.461384,-6.0498195,9.835001066,0,0,0,0
41:17.3,1.42E+12,2.7496321,-7.2006264,-4.8383884,9.100521938,0,0,0,0
41:17.3,1.42E+12,2.4803421,-6.567293,-4.3483076,8.257676021,0,0,0,0
41:17.3,1.42E+12,2.1109104,-6.698271,-5.095404,8.676745878,0,0,0,0
41:17.3,1.42E+12,1.7181271,-7.307953,-5.755082,9.45933965,0,0,0,0
41:17.3,1.42E+12,1.6001724,-7.850425,-6.2325892,10.15061045,0,0,0,0
41:17.4,1.42E+12,1.8024019,-8.336614,-7.07863,11.08398792,0,0,0,0
41:17.4,1.42E+12,1.5802639,-8.514295,-7.1870046,11.25359891,0,0,0,0
41:17.4,1.42E+12,1.9438577,-8.155042,-6.7383876,10.75588956,0,0,0,0
41:17.4,1.42E+12,3.2106733,-8.604707,-8.427774,12.46502227,0,0,0,0
41:17.4,1.42E+12,3.52487,-9.191337,-7.8173437,12.57045134,0,0,0,0
41:17.5,1.42E+12,2.1821623,-8.0308,-6.800359,10.74711419,0,0,0,0
41:17.5,1.42E+12,1.8916163,-6.793024,-4.590504,8.414042683,0,0,0,0
41:17.5,1.42E+12,1.5980768,-5.3637958,-2.8605514,6.285452184,0,0,0,0
41:17.6,1.42E+12,2.571802,-5.736371,-4.6830115,7.839050611,0,0,0,0
41:17.6,1.42E+12,2.7783723,-6.3728476,-5.7145166,8.999346595,0,0,0,0
41:17.6,1.42E+12,3.480113,-6.2764482,-6.4993343,9.682269096,0,0,0,0
41:17.6,1.42E+12,3.9670506,-5.95312,-6.085146,9.391811861,0,0,0,0
41:17.6,1.42E+12,3.7908669,-5.5530024,-6.461912,9.325385472,0,0,0,0
41:17.6,1.42E+12,3.2683036,-5.7002964,-7.1259317,9.692991801,0,0,0,0
41:17.6,1.42E+12,3.0570927,-5.9586587,-6.981033,9.673998709,0,0,0,0
41:17.7,1.42E+12,3.60181,-6.0896363,-6.7668285,9.790131434,0,0,0,0
41:17.7,1.42E+12,4.013304,-5.7333775,-7.114855,9.97994931,0,0,0,0
41:17.7,1.42E+12,3.7757483,-5.7999887,-7.1657486,9.962133162,0,0,0,0
41:17.7,1.42E+12,3.6745586,-5.755082,-7.0037856,9.781429469,0,0,0,0
41:17.7,1.42E+12,3.6988082,-6.32345,-7.4321947,10.43574243,0,0,0,0
41:17.8,1.42E+12,3.591781,-6.4634094,-7.436536,10.48706916,0,0,0,0
41:17.8,1.42E+12,3.7149746,-5.949079,-7.4821906,10.25552307,0,0,0,0
41:17.8,1.42E+12,3.9957907,-5.264552,-7.314839,9.858433987,0,0,0,0
41:17.8,1.42E+12,4.1637416,-4.9581394,-7.3437285,9.790313514,0,0,0,0
41:17.9,1.42E+12,4.0098615,-5.129084,-7.305109,9.785249584,0,0,0,0
41:17.9,1.42E+12,3.5271153,-5.0374746,-7.0894074,9.384902235,0,0,0,0
41:17.9,1.42E+12,3.4158967,-5.0605264,-7.1370087,9.39223993,0,0,0,0
41:17.9,1.42E+12,3.5184333,-4.777166,-7.3682775,9.460031776,0,0,0,0
41:17.9,1.42E+12,3.7232075,-4.539011,-7.6731935,9.661407425,0,0,0,0
41:17.9,1.42E+12,3.6275566,-4.628974,-7.627389,9.631387758,2.87819975,-6.733175308,-6.459676038,9.888763545
41:18.0,1.42E+12,3.6488123,-4.529281,-7.417226,9.42568083,2.887935506,-6.678341328,-6.468561568,9.866101809
41:18.0,1.42E+12,3.617677,-4.439019,-7.4627314,9.406637896,2.89940765,-6.613238708,-6.482479626,9.840453115
