time,time_milisec,gx,gy,gz,resultant,MA_gx,Ma_gy,Ma_gz,Ma_gR
41:17.0,1.42E+12,-0.023448868,0.40075913,0.8228361,0.915541904,0,0,0,0
41:17.0,1.42E+12,0.00959244,0.567032,0.7045265,0.904419644,0,0,0,0
41:17.0,1.42E+12,-0.0937952,0.53292465,0.63098276,0.831231295,0,0,0,0
41:17.0,1.42E+12,-0.110848755,0.5009494,0.5691636,0.766279943,0,0,0,0
41:17.0,1.42E+12,0.010658237,0.381574,0.5691636,0.685317094,0,0,0,0
41:17.1,1.42E+12,-0.036239497,0.29630622,0.48602742,0.570379988,0,0,0,0
41:17.1,1.42E+12,-0.0820709,0.33893973,0.45831537,0.575906895,0,0,0,0
41:17.1,1.42E+12,-0.04476614,0.40075913,0.47643474,0.624181023,0,0,0,0
41:17.1,1.42E+12,-0.013856427,0.26752785,0.4359323,0.511664071,0,0,0,0
41:17.1,1.42E+12,0.026645726,0.26006725,0.36558598,0.449441963,0,0,0,0
41:17.2,1.42E+12,0.05542411,0.09699179,0.31655717,0.335689859,0,0,0,0
41:17.2,1.42E+12,0.02131674,0.13429682,0.24088159,0.276611604,0,0,0,0
41:17.2,1.42E+12,-0.1332313,0.30270103,0.16307494,0.368743717,0,0,0,0
41:17.2,1.42E+12,-0.20997268,0.40822026,0.112979814,0.472754424,0,0,0,0
41:17.2,1.42E+12,-0.16200967,0.43912998,0.10871663,0.480522193,0,0,0,0
41:17.3,1.42E+12,-0.1332313,0.31975457,0.12044066,0.366741758,0,0,0,0
41:17.3,1.42E+12,-0.08953201,0.21530166,0.15454803,0.279742523,0,0,0,0
41:17.3,1.42E+12,-0.073543996,0.25047457,0.190787,0.323335598,0,0,0,0
41:17.3,1.42E+12,-0.12150726,0.40395707,0.19824784,0.466098203,0,0,0,0
41:17.3,1.42E+12,-0.23448734,0.4369981,0.19611599,0.533303979,0,0,0,0
41:17.4,1.42E+12,-0.36558676,0.27818662,0.19398439,0.498669648,0,0,0,0
41:17.4,1.42E+12,-0.41035238,0.31762296,0.190787,0.552877111,0,0,0,0
41:17.4,1.42E+12,-0.3208209,0.4274054,0.2845814,0.60546511,0,0,0,0
