time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
00:39.3,1.42E+12,4.653074,3.624862,-6.7124915,8.935785601,0,0,0,0
00:39.3,1.42E+12,4.6324167,3.8963974,-6.3435087,8.768198208,0,0,0,0
00:39.3,1.42E+12,5.429659,3.9989343,-6.4717917,9.346483842,0,0,0,0
00:39.3,1.42E+12,6.0743685,3.7220101,-6.7846413,9.837818327,0,0,0,0
00:39.3,1.42E+12,6.145171,3.916306,-7.125333,10.19170985,0,0,0,0
00:39.4,1.42E+12,5.685028,4.254752,-6.9138227,9.910772032,0,0,0,0
00:39.4,1.42E+12,5.2946396,4.233646,-6.8238597,9.618837152,0,0,0,0
00:39.5,1.42E+12,5.1768346,3.852838,-6.9657645,9.495570136,0,0,0,0
00:39.5,1.42E+12,5.2105145,3.600463,-7.4530015,9.780594385,0,0,0,0
00:39.5,1.42E+12,5.307064,3.5825002,-7.3319035,9.734271669,0,0,0,0
00:39.5,1.42E+12,5.4576507,3.526816,-7.061865,9.596578533,0,0,0,0
00:39.5,1.42E+12,5.298382,3.5871406,-7.0380645,9.511823243,0,0,0,0
00:39.5,1.42E+12,5.085225,3.2578254,-7.2132,9.407613612,0,0,0,0
00:39.5,1.42E+12,5.260511,3.2958462,-7.2067633,9.511730411,0,0,0,0
00:39.5,1.42E+12,5.47741,3.324437,-7.2816076,9.699263421,0,0,0,0
00:39.6,1.42E+12,5.561385,3.65944,-7.2304144,9.828499205,0,0,0,0
00:39.6,1.42E+12,5.691165,3.587889,-7.1404514,9.810624482,0,0,0,0
00:39.6,1.42E+12,5.720654,3.969745,-7.014563,9.883767077,0,0,0,0
00:39.6,1.42E+12,5.4143906,4.2007146,-6.927594,9.744392611,0,0,0,0
00:39.6,1.42E+12,5.2771263,4.263883,-6.8536477,9.643715416,0,0,0,0
00:39.7,1.42E+12,5.2653008,4.5205994,-6.690038,9.639285238,0,0,0,0
00:39.7,1.42E+12,5.3000283,4.738247,-6.644982,9.731241976,0,0,0,0
00:39.7,1.42E+12,5.4486694,4.962331,-6.5482826,9.858637441,0,0,0,0
00:39.7,1.42E+12,5.587431,5.1229467,-6.4571223,9.957830912,0,0,0,0
00:39.7,1.42E+12,5.798043,5.41963,-6.306386,10.1370704,0,0,0,0
00:39.8,1.42E+12,5.7055354,5.629493,-6.3249474,10.21025393,0,0,0,0
00:39.8,1.42E+12,5.7694526,5.718708,-6.224356,10.23390503,0,0,0,0
00:39.8,1.42E+12,5.7082295,5.5558467,-6.364914,10.1962467,0,0,0,0
00:39.8,1.42E+12,5.4245696,5.5916224,-6.2300444,9.975251858,0,0,0,0
00:39.8,1.42E+12,5.426216,5.5769525,-6.4575715,10.11169862,0,0,0,0
00:39.9,1.42E+12,5.4726195,5.4609437,-6.558911,10.13857898,0,0,0,0
00:39.9,1.42E+12,5.568121,5.244943,-6.65067,10.13631146,0,0,0,0
00:39.9,1.42E+12,5.808222,5.189558,-6.523285,10.15973436,0,0,0,0
00:39.9,1.42E+12,5.7651114,5.051545,-6.393205,9.981366966,0,0,0,0
