time,time_milisec,gx,gy,gz,resultant,MA_x,MA_y,MA_z,MA_R
00:39.3,1.42E+12,-0.06395155,0.1897212,-0.06075363,0.209224611,0,0,0,0
00:39.3,1.42E+12,-0.015988022,0.012789832,0.006394783,0.021449706,0,0,0,0
00:39.3,1.42E+12,0.061818894,-0.074609786,-0.003197924,0.096945462,0,0,0,0
00:39.3,1.42E+12,0.07674085,-0.092729405,-0.07887298,0.14390569,0,0,0,0
00:39.3,1.42E+12,0.06714814,-0.06608315,-0.105519235,0.141457288,0,0,0,0
00:39.4,1.42E+12,0.054358315,-0.036239497,-0.07034633,0.096003821,0,0,0,0
00:39.4,1.42E+12,0.028777853,-0.054358847,-0.002132127,0.06154344,0,0,0,0
00:39.5,1.42E+12,0.006394783,-0.08846568,0.047962997,0.100834116,0,0,0,0
00:39.5,1.42E+12,-0.013856427,-0.10978296,0.053291984,0.122818298,0,0,0,0
00:39.5,1.42E+12,-0.024514664,-0.05968783,0.02557993,0.069411372,0,0,0,0
00:39.5,1.42E+12,0.014921425,0.001065797,-0.003197924,0.015297437,0,0,0,0
00:39.5,1.42E+12,0.047962997,0.02557993,-0.011724833,0.055608035,0,0,0,0
00:39.5,1.42E+12,0.041567683,0.018119348,0,0.045345155,0,0,0,0
00:39.5,1.42E+12,0.03410684,-0.010659036,0.008526376,0.036736775,0,0,0,0
00:39.5,1.42E+12,0.036238696,-0.049029328,-0.003197924,0.061051984,0,0,0,0
00:39.6,1.42E+12,0.037304495,-0.039436888,-0.017053818,0.056901021,0,0,0,0
00:39.6,1.42E+12,0.02557993,0.002131594,-0.023448868,0.034766736,0,0,0,0
00:39.6,1.42E+12,0.001065797,0.031975243,-0.029844182,0.043751883,0,0,0,0
00:39.6,1.42E+12,-0.013856427,0.050094593,-0.024514664,0.057466839,0,0,0,0
00:39.6,1.42E+12,-0.013856427,0.054358315,-0.014922224,0.058047392,0,0,0,0
00:39.7,1.42E+12,-0.009593239,0.050094593,-0.011724833,0.052335172,0,0,0,0
00:39.7,1.42E+12,-0.015988022,0.047962997,-0.009593239,0.051459656,0,0,0,0
00:39.7,1.42E+12,-0.04263428,0.057555705,-0.01279063,0.072759475,0,0,0,0
00:39.7,1.42E+12,-0.05649044,0.052226186,-0.013856427,0.078171254,0,0,0,0
00:39.8,1.42E+12,-0.06075363,0.046897203,-0.010659036,0.077485265,0,0,0,0
00:39.8,1.42E+12,-0.061819427,0.060753096,-0.021317273,0.089258088,0,0,0,0
00:39.8,1.42E+12,-0.053292517,0.053291984,-0.027712587,0.080300158,0,0,0,0
00:39.8,1.42E+12,-0.04263428,0.05116039,-0.024514664,0.070965034,0,0,0,0
00:39.8,1.42E+12,-0.040502686,0.049028795,-0.033041574,0.071666142,0,0,0,0
00:39.8,1.42E+12,-0.007461112,0.023448335,-0.041568484,0.048305605,0,0,0,0
00:39.9,1.42E+12,0.01705302,0.013855628,-0.03837109,0.044216789,0,0,0,0
00:39.9,1.42E+12,0.020250943,0.06288496,-0.035173167,0.074844977,0,0,0,0
00:39.9,1.42E+12,0.028777853,0.06714814,-0.028778385,0.078518998,0,0,0,0
00:39.9,1.42E+12,0.015987223,0.06714814,-0.01811988,0.071363815,0,0,0,0
00:39.9,1.42E+12,-0.00106633,0.07460926,-0.005329518,0.074806968,0,0,0,0
00:40.0,1.42E+12,0.02557993,0.07354346,-0.002132127,0.077894283,0,0,0,0
00:40.0,1.42E+12,0.03943609,0.045831405,-0.00106633,0.060471976,0,0,0,0
00:40.0,1.42E+12,0.044765607,-0.008526909,-0.007461112,0.046177223,0,0,0,0
00:40.0,1.42E+12,0.053291984,-0.08953201,-0.020251475,0.106142068,0,0,0,0
00:40.1,1.42E+12,0.053291984,-0.13856082,-0.039436888,0.153604702,0,0,0,0
00:40.1,1.42E+12,0.058621503,-0.14602192,-0.07887298,0.176010877,0,0,0,0
00:40.1,1.42E+12,0.06714814,-0.099124454,-0.11937566,0.169071223,0,0,0,0
00:40.1,1.42E+12,0.056489907,-0.013856427,-0.15028511,0.161148144,0,0,0,0
00:40.1,1.42E+12,0.054358315,0.056489907,-0.16414127,0.181901876,0,0,0,0
00:40.1,1.42E+12,0.063950755,0.105518706,-0.14921932,0.193624125,0,0,0,0
00:40.2,1.42E+12,0.06608235,0.13109916,-0.11191455,0.184604261,0,0,0,0
00:40.2,1.42E+12,0.06927974,0.13856028,-0.073543996,0.171485722,0,0,0,0
00:40.2,1.42E+12,0.07887244,0.12683597,-0.033041574,0.15297049,0,0,0,0
00:40.2,1.42E+12,0.09059701,0.0948602,0.005328985,0.131280897,0,0,0,0
00:40.2,1.42E+12,0.09272861,0.0948602,0.03410684,0.136968351,0.019845812,0.017095912,-0.031016559,0.093367614
00:40.3,1.42E+12,0.07247766,0.10765083,0.04369928,0.13693553,0.022574397,0.015454505,-0.028927501,0.091921832
00:40.3,1.42E+12,0.06714814,0.09912392,0.049028795,0.129376377,0.02423712,0.017181186,-0.028074821,0.094080365
00:40.3,1.42E+12,0.060753096,0.09272861,0.037304495,0.116966487,0.024215804,0.020527954,-0.027264772,0.094480786
00:40.3,1.42E+12,0.06288496,0.07674085,0.011724034,0.099905602,0.023938686,0.023917359,-0.025452832,0.093600784
