time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
31:46.0,1.42E+12,7.4303985,-16.25844,-3.2434552,18.16776527,0,0,0,0
31:46.1,1.42E+12,6.0146427,-18.05665,-4.3436675,19.5214237,0,0,0,0
31:46.1,1.42E+12,2.1448896,-14.416969,-10.411899,17.91248691,0,0,0,0
31:46.1,1.42E+12,-1.5295193,-11.546838,-8.3217945,14.31506761,0,0,0,0
31:46.1,1.42E+12,-0.97402453,-7.944729,-6.753805,10.47288521,0,0,0,0
31:46.2,1.42E+12,1.8188677,-4.11165,-10.452314,11.37826056,0,0,0,0
31:46.2,1.42E+12,4.0002813,-1.9196081,-4.37121,6.228532941,0,0,0,0
31:46.2,1.42E+12,2.8942313,-2.1064196,0.36119887,3.597783064,0,0,0,0
31:46.3,1.42E+12,1.5690372,-1.5543677,-2.1960833,3.114597653,0,0,0,0
31:46.3,1.42E+12,-0.36119887,-4.7427373,0.44801834,4.777524689,0,0,0,0
31:46.3,1.42E+12,1.0508149,-15.440541,2.1656964,15.62705216,0,0,0,0
31:46.3,1.42E+12,-4.8966174,-19.017952,-6.1204724,20.56986978,0,0,0,0
31:46.3,1.42E+12,-7.2769675,-17.71596,-7.8794646,20.70979133,0,0,0,0
31:46.3,1.42E+12,-3.530259,-18.55766,1.0142908,18.91767055,0,0,0,0
31:46.3,1.42E+12,-3.9761815,-18.328337,6.145171,19.7357818,0,0,0,0
31:46.4,1.42E+12,1.0886861,-13.404176,3.533552,13.90478915,0,0,0,0
31:46.4,1.42E+12,3.2708483,-8.821755,1.6151413,9.546229167,0,0,0,0
31:46.4,1.42E+12,1.7265097,-4.778064,2.6273365,5.719582888,0,0,0,0
31:46.4,1.42E+12,-0.89169574,-1.459465,3.2063324,3.63396847,0,0,0,0
31:46.4,1.42E+12,-5.317692,1.3247452,4.023034,6.798352787,0,0,0,0
31:46.5,1.42E+12,-7.0964427,4.455934,3.8025427,9.201857301,0,0,0,0
31:46.5,1.42E+12,-5.9213862,5.626799,0.7006929,8.198454248,0,0,0,0
31:46.5,1.42E+12,-2.0698957,4.110003,-5.6013517,7.249257461,0,0,0,0
31:46.5,1.42E+12,3.2717464,-5.713768,-17.428408,18.63064343,0,0,0,0
31:46.5,1.42E+12,-1.2223581,-7.2625976,-8.947194,11.58843232,0,0,0,0
31:46.6,1.42E+12,-4.400549,-2.645299,12.885205,13.87050634,0,0,0,0
31:46.6,1.42E+12,-9.3277025,-16.461119,12.907958,22.90392657,0,0,0,0
31:46.6,1.42E+12,-3.8823266,-18.870808,-0.057929534,19.2661156,0,0,0,0
31:46.6,1.42E+12,0.51837206,-2.905009,1.5688875,3.342034541,0,0,0,0
31:46.6,1.42E+12,-2.3833437,-4.1082067,8.0105915,9.312747482,0,0,0,0
31:46.7,1.42E+12,-2.167343,-15.496076,14.695391,21.46579287,0,0,0,0
31:46.7,1.42E+12,-1.8679656,-19.025436,5.7404127,19.96018157,0,0,0,0
31:46.7,1.42E+12,3.3009357,-17.442778,-10.212363,20.48021091,0,0,0,0
31:46.7,1.42E+12,6.9344797,-18.958376,-8.953182,22.08317226,0,0,0,0
31:46.7,1.42E+12,4.615352,-17.343084,-5.7598724,18.84834653,0,0,0,0
31:46.8,1.42E+12,-1.5006294,-12.726235,-11.873309,17.46952811,0,0,0,0
31:46.8,1.42E+12,-0.7171587,-9.240435,-6.221812,11.16292525,0,0,0,0
31:46.8,1.42E+12,1.3786331,-6.6136966,-8.164771,10.59740994,0,0,0,0
31:46.9,1.42E+12,5.902825,-3.9766304,-8.33362,10.95929535,0,0,0,0
31:46.9,1.42E+12,5.282515,-2.8139982,0.7032376,6.026449512,0,0,0,0
31:46.9,1.42E+12,1.3819263,-2.4728577,1.4087205,3.163738129,0,0,0,0
31:46.9,1.42E+12,-1.0823991,-1.1716136,-2.2544618,2.761677796,0,0,0,0
31:46.9,1.42E+12,-2.1149518,-6.6547112,-1.3136683,7.105204197,0,0,0,0
31:46.9,1.42E+12,1.2332854,-16.629519,-2.0207977,16.79718781,0,0,0,0
31:46.9,1.42E+12,-3.8637652,-19.179615,-7.4446187,20.93343404,0,0,0,0
31:47.0,1.42E+12,-6.6060624,-18.597326,-5.942792,20.61109826,0,0,0,0
31:47.0,1.42E+12,-3.3057258,-19.33634,4.5923004,20.14723531,0,0,0,0
31:47.0,1.42E+12,-2.0228934,-18.449284,6.2617784,19.58770141,0,0,0,0
31:47.0,1.42E+12,2.3388863,-12.851376,3.3486865,13.48487877,0,0,0,0
31:47.0,1.42E+12,3.1436129,-7.894583,2.8246262,8.954622046,-0.359905552,-9.79011231,-1.400670282,13.21626962
31:47.1,1.42E+12,0.51208514,-3.4727783,3.0660741,4.660818673,-0.498271819,-9.534399076,-1.274479696,12.94613069
31:47.1,1.42E+12,-2.7777736,0.35610947,3.133883,4.202863641,-0.674120145,-9.166143887,-1.124928686,12.63975949
31:47.1,1.42E+12,-6.8472114,2.9692254,1.2296928,7.563910881,-0.853962165,-8.818419999,-0.89209685,12.43278797
31:47.1,1.42E+12,-8.283923,5.5896764,-0.003143463,9.993391437,-0.989050239,-8.475689711,-0.72572383,12.34635444
31:47.2,1.42E+12,-7.747439,3.6832407,0.9419911,8.62997221,-1.124518528,-8.243130317,-0.571807908,12.30949618
31:47.2,1.42E+12,-3.103646,-0.5402266,-2.2797592,3.888671403,-1.222968802,-8.171701849,-0.408356812,12.1597044
31:47.2,1.42E+12,4.1896377,-11.052567,-16.57129,20.35485086,-1.219181674,-8.354361027,-0.652358412,12.44223076
31:47.2,1.42E+12,4.030219,-17.159716,-14.142441,22.59883085,-1.19646192,-8.655426955,-0.942431209,12.82225171
31:47.2,1.42E+12,-2.8620484,-1.3792319,14.173427,14.52513802,-1.285083632,-8.651924239,-0.615041003,13.05046252
31:47.2,1.42E+12,-7.306456,-9.080866,12.3967705,17.01547371,-1.423988775,-8.738686813,-0.37606596,13.2952215
31:47.3,1.42E+12,-11.967913,-18.055155,9.033714,23.46971564,-1.684363333,-8.790979093,-0.238705608,13.45207477
31:47.3,1.42E+12,-4.6643004,-7.561376,7.705826,11.76052123,-1.679716993,-8.561847573,0.03782036,13.2758878
31:47.3,1.42E+12,-4.3108854,-11.147319,11.070978,16.29150109,-1.620395351,-8.430474753,0.416829212,13.187522
31:47.3,1.42E+12,-2.0540285,-18.113981,11.055261,21.32027525,-1.590870741,-8.421601173,0.617648616,13.23557409
31:47.3,1.42E+12,2.9175828,-19.381546,-7.188651,20.87662132,-1.452995455,-8.442665353,0.350972176,13.25839088
31:47.4,1.42E+12,6.5949855,-17.556242,-9.23774,20.9057721,-1.342869467,-8.525706673,0.095546336,13.39841054
31:47.4,1.42E+12,5.753735,-17.944683,-5.552404,19.64551614,-1.293211733,-8.708165233,-0.04780457,13.60039628
31:47.4,1.42E+12,4.506828,-15.862663,-8.991801,18.7826532,-1.237605367,-8.929857213,-0.28018732,13.86165769
31:47.4,1.42E+12,-0.2363585,-13.239668,-10.458451,16.87376281,-1.224498622,-9.165461273,-0.553482988,14.12645357
31:47.4,1.42E+12,-1.0280621,-8.705148,-6.3156667,10.80389556,-1.138706024,-9.366059137,-0.760257002,14.20656443
31:47.5,1.42E+12,0.59950334,-5.1471963,-6.824309,8.568793809,-0.984787103,-9.558121743,-0.972794036,14.19390316
31:47.5,1.42E+12,3.2698004,-2.4619303,-6.2150755,7.441764504,-0.800963371,-9.719896329,-1.111109404,14.17876936
31:47.5,1.42E+12,2.3345454,-1.963467,-1.8410215,3.562957346,-0.712874549,-9.841365729,-1.0359028,14.10504336
31:47.5,1.42E+12,0.67509615,-1.2844789,-2.7358608,3.096865379,-0.764807554,-9.752779947,-0.742051856,13.7943678
31:47.5,1.42E+12,-1.3388159,-2.174079,-1.5884967,3.007053255,-0.76713671,-9.651009575,-0.59487791,13.62274022
31:47.6,1.42E+12,-0.9994716,-9.26678,0.45774812,9.331756983,-0.699115162,-9.783439195,-0.843427048,13.53196523
31:47.6,1.42E+12,2.092349,-18.107395,-1.719175,18.30877496,-0.470714132,-9.816364715,-1.135969708,13.4400622
31:47.6,1.42E+12,-5.5146823,-19.380648,-7.3759117,21.45752342,-0.503361246,-9.826561515,-1.282329351,13.48389036
31:47.6,1.42E+12,-6.70845,-18.320852,-4.0926394,19.93505999,-0.647897687,-10.13487837,-1.395559889,13.81575086
31:47.6,1.42E+12,-3.290158,-19.409687,5.1361194,20.34553542,-0.666033973,-10.44090798,-1.453049331,14.03640662
31:47.7,1.42E+12,-1.1729608,-14.687457,5.8011866,15.83511908,-0.646146329,-10.4247356,-1.630933419,13.92379315
31:47.7,1.42E+12,3.15454,-9.376801,2.722838,10.26106068,-0.545696217,-10.2317629,-1.691284913,13.72981073
31:47.7,1.42E+12,3.161276,-6.249055,2.6343718,7.482263636,-0.548489411,-10.00788844,-1.434350217,13.46985178
31:47.7,1.42E+12,-0.063767396,-2.6110203,4.087999,4.851105968,-0.688454353,-9.680941327,-1.173526597,13.12521046
31:47.7,1.42E+12,-4.562213,1.2534933,4.473747,6.511485632,-0.872005653,-9.309009781,-0.968854209,12.87847324
31:47.8,1.42E+12,-7.01127,4.8428793,3.28432,9.132258471,-0.982218465,-8.957627495,-0.665701629,12.71172785
31:47.8,1.42E+12,-6.767876,5.209317,4.0124063,9.436129157,-1.103232811,-8.668632455,-0.461017263,12.67719193
31:47.8,1.42E+12,-4.4545865,2.312541,-0.75712556,5.075867007,-1.219897203,-8.490107703,-0.312864354,12.56676107
31:47.8,1.42E+12,1.6122972,-3.53445,-14.4609785,14.97370155,-1.305707759,-8.481264095,-0.435411524,12.64704919
31:47.8,1.42E+12,3.6453695,-17.293987,-18.852547,25.84161825,-1.338450669,-8.770863871,-0.826527216,13.04335257
31:47.9,1.42E+12,0.46328658,-7.5088353,6.569838,9.98799346,-1.356823464,-8.871583423,-0.723304866,13.17983767
