time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
38:09.0,1.42E+12,-1.0829041,-0.57982266,-1.6222241,2.034818576,0,0,0,0
38:09.0,1.42E+12,-1.0210847,-2.1348977,-0.6800129,2.46227937,0,0,0,0
38:09.0,1.42E+12,-0.842022,-2.1796634,-0.025580462,2.336790095,0,0,0,0
38:09.0,1.42E+12,-0.36558676,-2.568699,0.12257226,2.597478044,0,0,0,0
38:09.1,1.42E+12,0.26219887,-2.7125885,0.4252738,2.758213629,0,0,0,0
38:09.1,1.42E+12,1.0541252,-1.9281228,0.68640685,2.302171113,0,0,0,0
38:09.1,1.42E+12,2.376845,-0.7535564,0.77274096,2.610434445,0,0,0,0
38:09.1,1.42E+12,3.2678957,0.40608865,0.78553104,3.385426016,0,0,0,0
38:09.1,1.42E+12,2.8937824,1.689372,0.38690326,3.373077003,0,0,0,0
38:09.1,1.42E+12,-0.21636799,4.065151,-0.7087907,4.132148596,0,0,0,0
38:09.2,1.42E+12,-0.54145205,4.9306216,-1.4815317,5.17678818,0,0,0,0
38:09.2,1.42E+12,0.20570895,2.653966,-0.63418096,2.736427816,0,0,0,0
38:09.2,1.42E+12,-2.196717,1.7224133,0.22276224,2.800338581,0,0,0,0
38:09.2,1.42E+12,-0.6544324,0.6011391,0.68534106,1.122204238,0,0,0,0
38:09.2,1.42E+12,0.50841,-0.842022,1.3685511,1.685352749,0,0,0,0
38:09.3,1.42E+12,-0.081005104,-0.2739237,2.3800428,2.397123224,0,0,0,0
38:09.3,1.42E+12,1.3866707,-4.665226,2.2265604,5.352080014,0,0,0,0
38:09.3,1.42E+12,4.0374393,-6.9781203,1.2875465,8.164119978,0,0,0,0
38:09.4,1.42E+12,2.1881895,-0.29310885,0.64377314,2.2996804,0,0,0,0
38:09.4,1.42E+12,2.0464315,-0.14921932,0.39010063,2.088618393,0,0,0,0
38:09.4,1.42E+12,3.143191,-0.7802026,0.14495532,3.241817053,0,0,0,0
38:09.4,1.42E+12,2.914034,-0.3272162,0.06821394,2.933141275,0,0,0,0
38:09.4,1.42E+12,0.9773841,-0.08633409,0.31549138,1.030663895,0,0,0,0
38:09.4,1.42E+12,-0.24408005,-0.5084105,0.29843783,0.638060691,0,0,0,0
38:09.4,1.42E+12,-0.86440456,-0.27818742,0.3773108,0.983334594,0,0,0,0
38:09.5,1.42E+12,-1.9537033,0.94754046,0.052226186,2.171984595,0,0,0,0
38:09.5,1.42E+12,-2.7626836,0.90170854,-0.8910508,3.039649732,0,0,0,0
38:09.5,1.42E+12,-2.7147202,-0.25900173,-1.0317432,2.915695747,0,0,0,0
38:09.5,1.42E+12,-2.572962,-0.4124845,-0.62672037,2.680122262,0,0,0,0
38:09.5,1.42E+12,-3.0803068,-1.444227,-0.549979,3.446238313,0,0,0,0
38:09.6,1.42E+12,-3.1922212,-1.6456727,-0.95500183,3.716253937,0,0,0,0
38:09.6,1.42E+12,-3.200748,-1.3077983,-1.5881168,3.80489673,0,0,0,0
38:09.7,1.42E+12,-1.8833572,2.428006,-1.117011,3.269550589,0,0,0,0
38:09.7,1.42E+12,0.46577623,6.4036264,-0.8036509,6.470643966,0,0,0,0
38:09.7,1.42E+12,-0.25580436,3.0067625,-2.302236,3.795569417,0,0,0,0
38:09.7,1.42E+12,-1.3888028,-1.3141936,-2.3224874,3.008292831,0,0,0,0
38:09.7,1.42E+12,-1.26623,-2.382175,-0.81217784,2.817397556,0,0,0,0
38:09.7,1.42E+12,-1.1585792,-2.5516453,-0.14602192,2.806157854,0,0,0,0
38:09.7,1.42E+12,-0.74502945,-2.8639393,-0.033041574,2.959444026,0,0,0,0
38:09.7,1.42E+12,0.02557993,-2.8319638,0.26539627,2.844487384,0,0,0,0
38:09.8,1.42E+12,0.9656598,-1.74906,0.5478466,2.071677009,0,0,0,0
