time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
38:09.0,1.42163E+12,41,31.2,42.8,58.3,29.4,44.9,54,78.9,-1.425,-1.469,-1.459
38:09.0,1.42163E+12,44.2,36.2,39.4,61.6,27.7,31.8,52.2,71.8,-1.41,-1.444,-1.459
38:09.0,1.42163E+12,44.2,29.5,46.2,58.3,24.4,35,57.6,71.8,-1.454,-1.386,-1.444
38:09.0,1.42163E+12,28.6,37.9,37.8,59.9,21.1,33.4,48.6,64.8,-1.415,-1.464,-1.449
38:09.1,1.42163E+12,37.9,27.8,36.1,56.7,14.5,30.1,46.8,64.8,-1.425,-1.449,-1.503
38:09.1,1.42163E+12,39.5,39.6,36.1,56.7,19.4,30.1,43.2,68.3,-1.42,-1.469,-1.43
38:09.1,1.42163E+12,36.4,27.8,37.8,55,21.1,28.5,43.2,64.8,-1.4,-1.449,-1.42
38:09.2,1.42163E+12,41,27.8,39.4,56.7,19.4,26.9,37.9,63.1,-1.415,-1.454,-1.454
38:09.2,1.42163E+12,39.5,29.5,46.2,55,24.4,23.7,46.8,63.1,-1.405,-1.449,-1.469
38:09.2,1.42163E+12,34.8,31.2,48,64.9,29.4,28.5,39.7,59.6,-1.425,-1.459,-1.454
38:09.2,1.42163E+12,166.6,205.6,72.4,63.3,58.3,51.6,48.6,63.1,-1.415,-1.41,-1.469
38:09.3,1.42163E+12,146.1,182.4,77.7,86.9,95.8,91.3,95,71.8,-1.42,-1.464,-1.508
38:09.3,1.42163E+12,142.5,180.3,97.7,127.6,131.6,129.6,140.6,104.3,-1.415,-1.464,-1.425
38:09.3,1.42163E+12,122.7,172.1,110.7,146,145.2,150.5,173.9,138.3,-1.425,-1.469,-1.464
38:09.3,1.42163E+12,95,161.9,106.9,144.2,149.2,144.7,189,169.9,-1.42,-1.483,-1.454
38:09.4,1.42163E+12,63.4,89,106.9,136.7,141.3,160.2,204.4,202.9,-1.391,-1.444,-1.464
38:09.4,1.42163E+12,47.3,56.9,95.8,83.5,141.3,170,200,235.3,-1.425,-1.474,-1.449
38:09.4,1.42163E+12,22.5,49.9,79.5,83.5,123.9,154.3,189,226.5,-1.425,-1.464,-1.474
38:09.5,1.42163E+12,45.8,43,60.1,68.3,88.5,144.7,152.9,224.3,-1.43,-1.444,-1.464
38:09.5,1.42163E+12,44.2,44.8,60.1,66.6,72.4,124,146.7,220,-1.41,-1.464,-1.444
38:09.5,1.42163E+12,44.2,39.6,60.1,63.3,60.1,118.4,146.7,178,-1.425,-1.464,-1.483
38:09.6,1.42163E+12,45.8,37.9,46.2,63.3,56.6,66.8,106.6,119.2,-1.391,-1.488,-1.454
38:09.6,1.42163E+12,42.6,34.6,42.8,61.6,39.4,56.6,81.7,93.3,-1.469,-1.464,-1.439
38:09.6,1.42163E+12,27.1,32.9,41.1,61.6,34.4,49.9,68.7,95.1,-1.425,-1.478,-1.454
38:09.6,1.42163E+12,11.9,29.5,39.4,66.6,29.4,40,65,78.9,-1.425,-1.469,-1.464
38:09.6,1.42163E+12,39.5,31.2,34.4,56.7,24.4,40,57.6,68.3,-1.43,-1.508,-1.464
38:09.6,1.42163E+12,37.9,24.5,34.4,58.3,8,46.6,55.8,71.8,-1.415,-1.459,-1.483
38:09.7,1.42163E+12,37.9,21.2,29.4,61.6,22.7,35,50.4,68.3,-1.42,-1.464,-1.483
38:09.7,1.42163E+12,44.2,29.5,36.1,58.3,21.1,33.4,55.8,66.6,-1.415,-1.488,-1.449
38:09.8,1.42163E+12,37.9,27.8,34.4,48.5,31,25.3,46.8,66.6,-1.449,-1.459,-1.435
38:09.8,1.42163E+12,27.1,26.2,36.1,61.6,26,31.8,54,64.8,-1.444,-1.478,-1.454
38:09.8,1.42163E+12,36.4,27.8,34.4,53.4,19.4,26.9,45,64.8,-1.425,-1.464,-1.454
38:09.8,1.42163E+12,36.4,32.9,32.7,45.2,17.8,30.1,54,68.3,-1.425,-1.469,-1.435
38:09.9,1.42163E+12,28.6,24.5,34.4,55,21.1,28.5,41.4,68.3,-1.415,-1.454,-1.483
38:09.9,1.42163E+12,34.8,29.5,46.2,55,22.7,25.3,41.4,61.3,-1.42,-1.459,-1.483
38:09.9,1.42163E+12,28.6,37.9,36.1,55,22.7,18.9,43.2,66.6,-1.42,-1.464,-1.459
38:09.9,1.42163E+12,103.5,101.9,70.6,53.4,49.7,40,41.4,61.3,-1.444,-1.464,-1.459
38:09.9,1.42163E+12,217.3,231.7,79.5,81.8,90.4,66.8,59.5,63.1,-1.493,-1.478,-1.454
38:10.0,1.42163E+12,203.3,209.9,94,113.2,118.2,96.6,102.8,73.6,-1.42,-1.469,-1.464
38:10.0,1.42163E+12,179.9,201.3,106.9,142.3,143.3,135.2,155,123,-1.425,-1.469,-1.449
38:10.1,1.42163E+12,140.7,180.3,105.1,147.9,149.2,148.5,176.1,148,-1.415,-1.449,-1.415
38:10.1,1.42163E+12,96.7,147.9,116.3,142.3,149.2,156.3,191.2,188.3,-1.42,-1.464,-1.469
38:10.1,1.42163E+12,66.6,81.7,105.1,131.2,145.2,160.2,202.2,228.7,-1.41,-1.464,-1.464
38:10.1,1.42163E+12,60.1,60.4,90.4,106.1,143.3,164.1,197.8,253.1,-1.444,-1.474,-1.459
38:10.2,1.42163E+12,52.1,49.9,74.2,78.4,120.1,158.2,182.5,246.3,-1.4,-1.488,-1.459
38:10.2,1.42163E+12,61.8,46.5,65.3,64.9,90.4,129.6,159.2,239.7,-1.42,-1.469,-1.459
38:10.2,1.42163E+12,50.5,43,58.3,66.6,63.6,158.2,200,415.6,-1.415,-1.464,-1.449
38:10.2,1.42163E+12,47.3,36.2,48,64.9,51.4,77.2,130.4,155.9,-1.415,-1.464,-1.483
38:10.2,1.42163E+12,48.9,44.8,46.2,63.3,46.2,63.4,98.9,117.3,-1.415,-1.503,-1.483
38:10.3,1.42163E+12,47.3,36.2,41.1,61.6,34.4,49.9,78,95.1,-1.4,-1.459,-1.454
38:10.3,1.42163E+12,47.3,36.2,39.4,59.9,31,49.9,70.5,89.7,-1.41,-1.464,-1.454
38:10.3,1.42163E+12,45.8,32.9,37.8,61.6,32.7,41.6,63.1,82.5,-1.42,-1.469,-1.459
38:10.4,1.42163E+12,39.5,34.6,39.4,64.9,26,38.3,57.6,78.9,-1.425,-1.435,-1.449
38:10.4,1.42163E+12,45.8,32.9,36.1,53.4,27.7,36.7,61.3,80.7,-1.42,-1.474,-1.464
38:10.4,1.42163E+12,45.8,31.2,36.1,58.3,22.7,33.4,54,66.6,-1.42,-1.435,-1.43
38:10.5,1.42163E+12,45.8,37.9,32.7,56.7,22.7,33.4,50.4,80.7,-1.41,-1.478,-1.469
38:10.5,1.42163E+12,42.6,31.2,27.7,56.7,21.1,31.8,48.6,73.6,-1.41,-1.464,-1.459
38:10.5,1.42163E+12,44.2,31.2,48,56.7,19.4,33.4,48.6,71.8,-1.444,-1.464,-1.459
38:10.5,1.42163E+12,42.6,27.8,34.4,56.7,19.4,28.5,45,68.3,-1.439,-1.469,-1.454
38:10.6,1.42163E+12,47.3,29.5,34.4,56.7,27.7,28.5,41.4,64.8,-1.415,-1.562,-1.425
38:10.6,1.42163E+12,45.8,27.8,36.1,53.4,29.4,26.9,48.6,64.8,-1.43,-1.464,-1.459
38:10.6,1.42163E+12,39.5,16.2,37.8,55,26,25.3,43.2,64.8,-1.425,-1.459,-1.513
38:10.6,1.42163E+12,44.2,49.9,46.2,55,32.7,28.5,43.2,66.6,-1.42,-1.425,-1.474
38:10.7,1.42163E+12,235.7,247.3,63.6,59.9,68.8,40,41.4,59.6,-1.42,-1.464,-1.464
38:10.7,1.42163E+12,207.2,227.3,81.3,97.3,97.7,93,95,80.7,-1.444,-1.498,-1.464
38:10.7,1.42163E+12,191.5,209.9,103.2,140.4,131.6,127.7,144.6,121.1,-1.43,-1.469,-1.454
