time,time_milisec,ax,ay,az,resultant
49:23.0,1.42163E+12,1.4498849,-16.089891,-10.011631,19.0057758
49:23.0,1.42163E+12,0.060623933,-11.991714,-9.92062,15.5635337
49:23.0,1.42163E+12,-1.1987072,-7.5934095,-5.0181646,9.180345459
49:23.0,1.42163E+12,0.7247928,-3.4914894,-8.958421,9.642050075
49:23.0,1.42163E+12,3.7824843,-2.3430777,-6.187383,7.621083189
49:23.1,1.42163E+12,2.097588,-1.499881,0.12753479,2.581817878
49:23.1,1.42163E+12,-0.92028624,-0.52885026,0.7747888,1.314118353
49:23.1,1.42163E+12,-1.4019846,-1.7353413,0.52226394,2.291228899
49:23.1,1.42163E+12,-0.88451064,-10.596314,-0.97462326,10.67773946
49:23.1,1.42163E+12,-0.35116974,-18.353483,-1.5690372,18.42377638
49:23.2,1.42163E+12,-9.274115,-19.368973,-5.7857685,22.24053599
49:23.2,1.42163E+12,-10.766361,-17.054035,-2.9786558,20.38693281
49:23.2,1.42163E+12,-7.2212834,-19.133062,-3.1585817,20.69293681
49:23.2,1.42163E+12,-4.3400745,-19.035465,6.71803,20.64744782
49:23.2,1.42163E+12,-0.34338593,-15.108831,4.887636,15.88344024
49:23.3,1.42163E+12,1.488804,-8.991502,2.6708958,9.497227487
49:23.3,1.42163E+12,-0.92043597,-5.5281544,4.2170305,7.013632417
49:23.4,1.42163E+12,-3.7094362,-1.126707,3.5762131,5.274342208
49:23.4,1.42163E+12,-6.206843,2.9870384,2.223177,7.238080851
49:23.4,1.42163E+12,-7.3265142,6.4420037,1.4745836,9.866692393
49:23.4,1.42163E+12,-6.5379543,5.8932447,1.2618759,8.891991358
49:23.4,1.42163E+12,-4.6375065,2.8614495,-1.4488372,5.63857154
49:23.4,1.42163E+12,2.7303224,-5.234914,-11.178155,12.64160331
49:23.4,1.42163E+12,3.2576756,-17.397123,-17.578396,24.94538725
49:23.4,1.42163E+12,2.5750952,-15.026503,-11.871663,19.32261085
