time,time_milisec,gx,gy,gz,resultant
49:23.0,1.42163E+12,1.4793996,-0.43593284,0.23981579,1.560824215
49:23.0,1.42163E+12,0.6181927,-1.1894891,0.14495532,1.348354026
49:23.0,1.42163E+12,-0.35492826,-0.89744616,0.34640083,1.025366868
49:23.0,1.42163E+12,-1.0210847,-0.7386344,0.51054186,1.359723403
49:23.0,1.42163E+12,-2.112515,0.2280915,-0.21103847,2.135247666
49:23.1,1.42163E+12,-2.6070693,-0.0842025,-0.9144997,2.764092997
49:23.1,1.42163E+12,-2.4621136,-0.5382547,-0.85587764,2.661625074
49:23.1,1.42163E+12,-2.5143404,-1.0818381,-0.6043373,2.803124131
49:23.1,1.42163E+12,-3.057924,-2.2031124,-0.82177055,3.857448674
49:23.1,1.42163E+12,-3.3467693,-2.7498934,-1.5145732,4.588759139
49:23.2,1.42163E+12,-2.9087048,-0.031975776,-1.3685519,3.214734883
49:23.2,1.42163E+12,-1.5881168,2.6305175,-0.5766252,3.126377122
49:23.2,1.42163E+12,-0.1300339,6.1883245,-0.5478474,6.213888131
49:23.2,1.42163E+12,0.046897203,3.2114058,-2.1455564,3.862478327
49:23.2,1.42163E+12,-1.0829041,-2.323553,-2.3640556,3.487167721
49:23.3,1.42163E+12,-0.98697734,-2.1135807,-1.080772,2.570878403
49:23.3,1.42163E+12,-0.8281656,-3.0003679,-0.43166965,3.142356518
49:23.4,1.42163E+12,-0.44019657,-3.3382423,0.002131594,3.367141104
49:23.4,1.42163E+12,0.2931083,-2.7339053,0.2451453,2.760479466
49:23.4,1.42163E+12,1.7639815,-0.9283556,0.38903484,2.030966016
49:23.4,1.42163E+12,3.215669,0.29524016,0.381574,3.251659974
49:23.4,1.42163E+12,3.5332925,1.531626,0.6171269,3.900112781
49:23.4,1.42163E+12,2.1029217,2.4024253,0.07247766,3.193615507
49:23.4,1.42163E+12,-1.7607846,4.125905,-1.1809623,4.638763459
49:23.4,1.42163E+12,0.2824498,5.1864257,-1.6307508,5.444091991
49:23.5,1.42163E+12,-0.75142473,1.9505053,-0.40075967,2.128313502
49:23.5,1.42163E+12,-1.0583895,2.0400364,0.77167517,2.424338965
49:23.5,1.42163E+12,0.6608264,-0.7279759,1.2267932,1.572152027
49:23.5,1.42163E+12,0.4369981,-0.4529864,1.4058559,1.540322963
49:23.5,1.42163E+12,-0.30909687,-0.38370612,2.3619232,2.41276863
49:23.6,1.42163E+12,1.4367653,-4.5490484,2.0538924,5.193901218
49:23.6,1.42163E+12,3.797623,-4.817642,1.531626,6.322775743
49:23.6,1.42163E+12,3.1815617,0.023448335,0.884655,3.30234752
49:23.7,1.42163E+12,3.2476444,1.8428545,-0.010659036,3.734088975
49:23.7,1.42163E+12,3.273225,1.331246,-0.5478474,3.575801251
49:23.7,1.42163E+12,2.2095068,1.1713691,-0.020251475,2.500887041
49:23.7,1.42163E+12,-0.12577072,-1.0818381,0.088465154,1.092711321
49:23.7,1.42163E+12,-0.5670325,-0.75462216,0.22169644,0.969602894
49:23.7,1.42163E+12,-1.2363864,0.70772415,0.18545748,1.436634706
49:23.7,1.42163E+12,-2.5601718,0.38050818,-0.6928027,2.6794107
49:23.8,1.42163E+12,-2.9055073,-0.95073867,-0.9901748,3.213459635
49:23.8,1.42163E+12,-2.7189837,-1.4474243,-0.74396366,3.168815456
49:23.8,1.42163E+12,-3.0024996,-1.4730048,-0.42207694,3.370889487
49:23.8,1.42163E+12,-3.263633,-2.4770358,-0.7098565,4.158233154
49:23.8,1.42163E+12,-3.179431,-2.8277001,-1.5060464,4.513628817
49:23.9,1.42163E+12,-2.7701442,0.8878529,-1.4250418,3.23924772
49:23.9,1.42163E+12,-1.3717493,4.6332493,-0.61179817,4.870625444
49:23.9,1.42163E+12,0.46790782,5.4294395,-1.0221505,5.544595806
49:23.9,1.42163E+12,-0.43806496,0.9368817,-2.408821,2.621462729
