time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
12:17.0,1.42E+12,0.39877075,-2.1957839,-9.32396,9.58732054,0,0,0,0
12:17.0,1.42E+12,0.45071274,-2.2056632,-9.350156,9.617354592,0,0,0,0
12:17.0,1.42E+12,0.2996768,-2.1278253,-9.364975,9.608340306,0,0,0,0
12:17.0,1.42E+12,0.2773732,-2.1395009,-9.327105,9.573363446,0,0,0,0
12:17.0,1.42E+12,0.28605515,-2.1845572,-9.242829,9.501789602,0,0,0,0
12:17.1,1.42E+12,0.29054582,-2.1369562,-9.2890835,9.536145497,0,0,0,0
12:17.1,1.42E+12,0.2811154,-2.1338127,-9.220077,9.467946049,0,0,0,0
12:17.1,1.42E+12,0.37242553,-2.0576212,-9.291179,9.523576691,0,0,0,0
12:17.1,1.42E+12,0.37018022,-2.1261785,-9.262738,9.510835067,0,0,0,0
12:17.1,1.42E+12,0.4631369,-2.0832179,-9.284443,9.526551025,0,0,0,0
12:17.2,1.42E+12,0.54786074,-2.0857627,-9.308244,9.55478748,0,0,0,0
12:17.2,1.42E+12,0.57225996,-2.0294797,-9.352402,9.587162901,0,0,0,0
12:17.2,1.42E+12,0.5122348,-2.1127067,-9.443861,9.69084231,0,0,0,0
12:17.2,1.42E+12,0.7041357,-2.0754342,-9.442365,9.693373561,0,0,0,0
12:17.2,1.42E+12,0.68916684,-2.1770728,-9.342522,9.617552403,0,0,0,0
12:17.3,1.42E+12,0.7164102,-2.1258793,-9.360485,9.625553792,0,0,0,0
12:17.3,1.42E+12,0.7164102,-2.2441332,-9.402397,9.6930102,0,0,0,0
12:17.3,1.42E+12,0.67704207,-2.1936882,-9.342073,9.62003024,0,0,0,0
12:17.3,1.42E+12,0.7089258,-2.1071682,-9.265732,9.528720959,0,0,0,0
12:17.3,1.42E+12,0.80248123,-2.1146526,-9.386531,9.655190105,0,0,0,0
12:17.4,1.42E+12,0.8002359,-2.052382,-9.414073,9.668372139,0,0,0,0
12:17.4,1.42E+12,0.79769117,-2.1796174,-9.229058,9.516436034,0,0,0,0
12:17.4,1.42E+12,0.8346643,-2.158212,-9.305249,9.588649669,0,0,0,0
12:17.4,1.42E+12,0.7538324,-2.0865111,-9.272018,9.533735346,0,0,0,0
12:17.4,1.42E+12,0.6834787,-2.1754262,-9.321116,9.595979667,0,0,0,0
12:17.5,1.42E+12,0.5980064,-2.0978875,-9.3856325,9.635810347,0,0,0,0
12:17.5,1.42E+12,0.7104227,-2.1157005,-9.326805,9.590108473,0,0,0,0
12:17.6,1.42E+12,0.7301816,-2.0667522,-9.275311,9.53079346,0,0,0,0
12:17.6,1.42E+12,0.67584455,-2.1215382,-9.310339,9.572883708,0,0,0,0
12:17.6,1.42E+12,0.574655,-2.0664527,-9.358988,9.601620255,0,0,0,0
12:17.6,1.42E+12,0.5559439,-2.0944445,-9.3679695,9.615332752,0,0,0,0
12:17.6,1.42E+12,0.56432647,-2.1576133,-9.3083935,9.57183102,0,0,0,0
12:17.6,1.42E+12,0.4936734,-2.1526735,-9.214838,9.475808989,0,0,0,0
12:17.6,1.42E+12,0.38844222,-2.0624113,-9.281599,9.51590814,0,0,0,0
12:17.6,1.42E+12,0.47675857,-2.1369562,-9.2537565,9.509252857,0,0,0,0
12:17.7,1.42E+12,0.5641768,-2.192341,-9.333541,9.604147131,0,0,0,0
12:17.7,1.42E+12,0.46643007,-2.1436923,-9.329799,9.584264347,0,0,0,0
12:17.7,1.42E+12,0.50864226,-2.2508693,-9.205856,9.490675121,0,0,0,0
12:17.7,1.42E+12,0.54696256,-2.2499712,-9.289982,9.574199915,0,0,0,0
12:17.7,1.42E+12,0.59890455,-2.2385948,-9.328152,9.611681074,0,0,0,0
12:17.8,1.42E+12,0.47421387,-2.11585,-9.331744,9.580352086,0,0,0,0
12:17.8,1.42E+12,0.40386018,-2.082769,-9.336235,9.574252646,0,0,0,0
12:17.8,1.42E+12,0.49427214,-2.1318667,-9.296119,9.550235025,0,0,0,0
12:17.9,1.42E+12,0.53049684,-2.1556673,-9.258846,9.5212687,0,0,0,0
12:17.9,1.42E+12,0.60040146,-2.2646406,-9.235944,9.52847,0,0,0,0
12:17.9,1.42E+12,0.531844,-2.1481829,-9.367371,9.625236998,0,0,0,0
12:17.9,1.42E+12,0.54606444,-2.1897962,-9.288784,9.559022019,0,0,0,0
12:17.9,1.42E+12,0.619861,-2.109563,-9.234746,9.492892994,0,0,0,0
12:17.9,1.42E+12,0.6394702,-2.0526814,-9.278904,9.524730049,0,0,0,0
12:17.9,1.42E+12,0.6399193,-2.0832179,-9.304651,9.55645456,0.55881194,-2.135827536,-9.31297955,9.572397046
12:18.0,1.42E+12,0.6306386,-2.237547,-9.278605,9.565397659,0.563449297,-2.136662798,-9.31207245,9.571958588
12:18.0,1.42E+12,0.685724,-2.0930974,-9.24268,9.501495025,0.568149522,-2.134411482,-9.30992293,9.569641397
12:18.0,1.42E+12,0.5987549,-2.2282662,-9.220975,9.505264733,0.574131084,-2.1364203,-9.30704293,9.567579885
12:18.0,1.42E+12,0.667462,-2.1992266,-9.401799,9.678632527,0.58193286,-2.137614814,-9.30853681,9.569685267
12:18.0,1.42E+12,0.64919996,-2.127376,-9.270223,9.533321756,0.589195756,-2.13647119,-9.30908469,9.57031591
12:18.1,1.42E+12,0.67359924,-2.113904,-9.351204,9.610793011,0.596856825,-2.136010146,-9.3103271,9.57180886
12:18.1,1.42E+12,0.54322034,-2.0948937,-9.414672,9.660213084,0.602098924,-2.135231766,-9.314219,9.575654201
12:18.1,1.42E+12,0.6442602,-2.1402493,-9.258697,9.524663165,0.607535617,-2.136884328,-9.31356936,9.57567593
12:18.2,1.42E+12,0.61252624,-2.1574636,-9.387728,9.651905231,0.612382537,-2.13751003,-9.31606916,9.578497334
12:18.2,1.42E+12,0.57794815,-2.1528232,-9.270073,9.534302556,0.614678762,-2.138902136,-9.31578176,9.578652364
12:18.2,1.42E+12,0.5680687,-2.069746,-9.270073,9.515293163,0.615082922,-2.138581802,-9.31501834,9.577862478
12:18.2,1.42E+12,0.7402107,-2.1534219,-9.398506,9.670421542,0.618441936,-2.141060646,-9.31594042,9.579527651
12:18.2,1.42E+12,0.5255571,-2.0887563,-9.245673,9.493238771,0.618708382,-2.140581638,-9.31197666,9.57557558
12:18.2,1.42E+12,0.4674779,-2.1803658,-9.419013,9.679376865,0.613975226,-2.14268027,-9.31150962,9.575295646
12:18.2,1.42E+12,0.47765672,-2.0826192,-9.395362,9.635262622,0.609745024,-2.140791198,-9.31256642,9.575649851
12:18.3,1.42E+12,0.506846,-2.1960833,-9.362281,9.629744558,0.60555374,-2.142195278,-9.31260234,9.575733666
12:18.3,1.42E+12,0.62450135,-2.2357507,-9.391769,9.674394455,0.603715563,-2.142027628,-9.31238978,9.575361351
12:18.3,1.42E+12,0.5933661,-2.1251307,-9.323811,9.581321171,0.602042044,-2.140656478,-9.31202454,9.57458717
12:18.3,1.42E+12,0.63018954,-2.1426444,-9.180559,9.448318762,0.600467318,-2.141366002,-9.31032108,9.572979126
12:18.3,1.42E+12,0.51941985,-2.2544618,-9.358389,9.640116164,0.594806091,-2.144162186,-9.30975824,9.572677647
12:18.4,1.42E+12,0.58438474,-2.1859045,-9.318123,9.58890506,0.590489068,-2.146832636,-9.30783924,9.571088305
12:18.4,1.42E+12,0.6117778,-2.0666025,-9.363778,9.608613657,0.5867708,-2.144572338,-9.31053364,9.572931858
12:18.4,1.42E+12,0.5828879,-2.09669,-9.298064,9.549338271,0.581735272,-2.143341898,-9.31038994,9.57214563
12:18.4,1.42E+12,0.56687117,-2.1547692,-9.315429,9.578183057,0.577996048,-2.14470706,-9.31125816,9.573034584
12:18.4,1.42E+12,0.5800438,-2.0419037,-9.279353,9.519044786,0.57592735,-2.14203661,-9.3104229,9.571495886
12:18.5,1.42E+12,0.49981064,-2.1679418,-9.392967,9.65285509,0.573963434,-2.143437696,-9.31056959,9.571836781
12:18.5,1.42E+12,0.62959075,-2.0655546,-9.263187,9.511547388,0.572346795,-2.142434778,-9.30929723,9.57026556
12:18.5,1.42E+12,0.5578899,-2.252965,-9.28624,9.571903978,0.568900961,-2.146159034,-9.30951581,9.57108777
12:18.5,1.42E+12,0.49546966,-2.3126907,-9.28624,9.582707436,0.565293464,-2.149982084,-9.30903383,9.571284244
12:18.5,1.42E+12,0.5842351,-2.3465204,-9.431288,9.736358764,0.565485066,-2.155583438,-9.31047983,9.573979015
12:18.6,1.42E+12,0.5730084,-2.2658381,-9.396709,9.683000617,0.565826356,-2.15901131,-9.31105462,9.575332372
12:18.6,1.42E+12,0.67868865,-2.1294718,-9.246122,9.51241507,0.568113599,-2.15844848,-9.30980919,9.574144053
12:18.6,1.42E+12,0.63527894,-2.0618124,-9.31947,9.56593805,0.57094571,-2.156631258,-9.31190183,9.575946634
12:18.6,1.42E+12,0.6774911,-2.1110601,-9.421258,9.678619284,0.576726688,-2.157604234,-9.31469501,9.579200857
12:18.6,1.42E+12,0.7240443,-2.1809647,-9.368717,9.646434854,0.581672402,-2.158484404,-9.31699422,9.581944497
12:18.7,1.42E+12,0.60773623,-2.0450473,-9.363329,9.603306292,0.582543591,-2.15553853,-9.31758998,9.58192768
12:18.7,1.42E+12,0.5783972,-2.1094134,-9.261091,9.515880134,0.584782933,-2.154852952,-9.31621582,9.580559996
12:18.7,1.42E+12,0.6456075,-2.2002745,-9.282348,9.561380722,0.587522238,-2.153841056,-9.31774566,9.581974108
12:18.7,1.42E+12,0.59261763,-2.1785696,-9.334439,9.60359894,0.58843534,-2.152413024,-9.3186348,9.582562088
12:18.7,1.42E+12,0.59501266,-2.0282822,-9.408834,9.643346203,0.588357502,-2.148206772,-9.32024844,9.583195391
12:18.8,1.42E+12,0.5548961,-2.1246817,-9.3012085,9.556916949,0.589971146,-2.148383406,-9.31963773,9.582726688
12:18.8,1.42E+12,0.4697232,-2.3002665,-9.316476,9.607735993,0.591288407,-2.152733356,-9.31924255,9.583396355
12:18.8,1.42E+12,0.49142808,-2.068249,-9.364227,9.602494613,0.591231526,-2.151461002,-9.32060471,9.584441547
12:18.8,1.42E+12,0.4843927,-2.0835173,-9.282946,9.526214729,0.590309443,-2.150018002,-9.32108671,9.584540468
12:18.8,1.42E+12,0.37062928,-2.176923,-9.334439,9.592085866,0.585713999,-2.14826365,-9.32305661,9.585812785
12:18.9,1.42E+12,0.51043856,-2.069746,-9.368717,9.608186835,0.58528589,-2.146694912,-9.32308353,9.585471782
12:18.9,1.42E+12,0.51822233,-2.0556753,-9.378747,9.61536534,0.584729048,-2.144012494,-9.32488279,9.586598648
12:18.9,1.42E+12,0.45295808,-2.0525317,-9.30974,9.544072311,0.58139099,-2.142871868,-9.32638267,9.587622234
12:18.9,1.42E+12,0.49082932,-2.1113594,-9.432186,9.678062031,0.578418172,-2.144045428,-9.32944831,9.590688874
12:18.9,1.42E+12,0.5616321,-2.1790187,-9.291328,9.559933531,0.576852428,-2.145961444,-9.32918185,9.590758453
12:19.0,1.42E+12,0.60519147,-2.1131556,-9.234147,9.492162774,0.576343486,-2.143473616,-9.32829269,9.589293756
12:19.0,1.42E+12,0.55414766,-2.0902534,-9.154663,9.406598405,0.573711959,-2.143416736,-9.32653235,9.587395823
12:19.0,1.42E+12,0.6316864,-2.2589524,-9.242081,9.535090711,0.574370589,-2.14403046,-9.32695447,9.587992343
12:19.0,1.42E+12,0.55010605,-2.119293,-9.245523,9.501248077,0.57202347,-2.142431788,-9.32382895,9.584444654
12:19.0,1.42E+12,0.57914567,-2.0667522,-9.382938,9.625299989,0.570622384,-2.141219312,-9.32608325,9.586284219
12:19.1,1.42E+12,0.60998154,-2.0592678,-9.407337,9.649386031,0.56935003,-2.140126588,-9.32720591,9.587056079
12:19.1,1.42E+12,0.68677187,-2.0767813,-9.344169,9.596779172,0.572221061,-2.13976434,-9.32579585,9.585787401
12:19.1,1.42E+12,0.60354495,-2.143243,-9.394315,9.654579814,0.571406756,-2.139824214,-9.32850821,9.588385734
12:19.1,1.42E+12,0.63632673,-2.194287,-9.2537565,9.531621924,0.571882765,-2.140560682,-9.32582878,9.585980068
12:19.1,1.42E+12,0.5990543,-2.1868026,-9.267229,9.540571524,0.572304888,-2.14124027,-9.3257719,9.586105447
12:19.2,1.42E+12,0.54726195,-2.1541703,-9.265133,9.527992172,0.571888753,-2.142928756,-9.3256731,9.586359427
12:19.2,1.42E+12,0.6012996,-2.1739292,-9.389075,9.656203122,0.569110531,-2.143338902,-9.32548448,9.586075059
12:19.2,1.42E+12,0.705932,-2.1634512,-9.352701,9.625584506,0.572718029,-2.1448328,-9.32762504,9.588721973
12:19.2,1.42E+12,0.542921,-2.1833596,-9.386381,9.652252102,0.574226891,-2.144892676,-9.3269724,9.588179478
12:19.2,1.42E+12,0.6126759,-2.1818628,-9.379645,9.649540785,0.576927275,-2.146877548,-9.32665806,9.588465041
12:19.3,1.42E+12,0.5736072,-2.0309765,-9.270971,9.508143565,0.578262499,-2.143575412,-9.32483186,9.586033022
12:19.3,1.42E+12,0.5980064,-2.1450393,-9.355994,9.617350414,0.5777326,-2.141761184,-9.32411636,9.584892141
12:19.3,1.42E+12,0.68243086,-2.1068687,-9.437574,9.693936796,0.579513895,-2.141395944,-9.32639162,9.587144453
12:19.3,1.42E+12,0.5604346,-2.1318667,-9.323063,9.580106798,0.578118796,-2.14118039,-9.3292417,9.589780214
12:19.3,1.42E+12,0.5204677,-2.2317092,-9.264085,9.543305689,0.578139753,-2.140725338,-9.32735562,9.587844004
12:19.4,1.42E+12,0.5641768,-2.086062,-9.361233,9.607425951,0.577735595,-2.138728488,-9.32821782,9.588214422
12:19.4,1.42E+12,0.63617706,-2.1980293,-9.399254,9.673780534,0.57822358,-2.141357024,-9.32892734,9.58951776
12:19.4,1.42E+12,0.46687913,-2.192341,-9.366023,9.630509956,0.575903404,-2.143270044,-9.33028652,9.591141193
12:19.4,1.42E+12,0.65878004,-2.2016218,-9.313333,9.592669142,0.577741582,-2.144207096,-9.3302446,9.591430915
12:19.5,1.42E+12,0.58977354,-2.2097049,-9.344169,9.619985596,0.577936177,-2.14756312,-9.33154092,9.593449731
12:19.5,1.42E+12,0.6210585,-2.2475762,-9.297466,9.585415299,0.580361134,-2.149155808,-9.3296309,9.592100936
12:19.5,1.42E+12,0.51807266,-2.1097128,-9.388926,9.636971454,0.578130772,-2.150038972,-9.33214568,9.594609417
12:19.5,1.42E+12,0.4538562,-2.2974224,-9.267229,9.558539034,0.576050098,-2.15092812,-9.33176546,9.594342118
12:19.5,1.42E+12,0.5269043,-2.1911435,-9.346264,9.614124439,0.576678791,-2.148497176,-9.33296594,9.594970458
12:19.5,1.42E+12,0.5110373,-2.2421873,-9.270971,9.551935212,0.575214835,-2.146410514,-9.3297596,9.591281987
