time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
12:17.0,1.42E+12,0.002131594,-0.008526909,-0.014922224,0.017318332,0,0,0,0
12:17.0,1.42E+12,0,0.004263188,-0.01811988,0.01861464,0,0,0,0
12:17.0,1.42E+12,-0.002132127,0.018119348,-0.019185679,0.026475404,0,0,0,0
12:17.0,1.42E+12,-0.003197924,0.023448335,-0.02238307,0.032573808,0,0,0,0
12:17.0,1.42E+12,-0.006395315,0.014921425,-0.029844182,0.033973875,0,0,0,0
12:17.1,1.42E+12,-0.007461112,0.015987223,-0.034107372,0.03840016,0,0,0,0
12:17.1,1.42E+12,-0.006395315,0.027712055,-0.036239497,0.046066899,0,0,0,0
12:17.1,1.42E+12,-0.006395315,0.03943609,-0.039436888,0.056137095,0,0,0,0
12:17.1,1.42E+12,-0.006395315,0.047962997,-0.043700077,0.065200045,0,0,0,0
12:17.1,1.42E+12,-0.006395315,0.045831405,-0.04476614,0.064384975,0,0,0,0
12:17.2,1.42E+12,-0.00106633,0.040501885,-0.046897735,0.061975296,0,0,0,0
12:17.2,1.42E+12,-0.00106633,0.04369928,-0.046897735,0.064110543,0,0,0,0
12:17.2,1.42E+12,-0.003197924,0.044765607,-0.039436888,0.059744911,0,0,0,0
12:17.2,1.42E+12,-0.005329518,0.040501885,-0.026646258,0.048773246,0,0,0,0
12:17.2,1.42E+12,-0.003197924,0.037304495,-0.01811988,0.041595458,0,0,0,0
12:17.3,1.42E+12,-0.002132127,0.036238696,-0.017053818,0.040107627,0,0,0,0
12:17.3,1.42E+12,-0.004263721,0.035172634,-0.014922224,0.038444327,0,0,0,0
12:17.3,1.42E+12,-0.004263721,0.022382537,-0.014922224,0.027236557,0,0,0,0
12:17.3,1.42E+12,-0.00106633,0.004263188,-0.01279063,0.013524498,0,0,0,0
12:17.3,1.42E+12,0,0.001065797,-0.008526909,0.008593259,0,0,0,0
12:17.4,1.42E+12,0.001065797,0.008526376,-0.009593239,0.012878868,0,0,0,0
12:17.4,1.42E+12,0.001065797,0.006394783,-0.010659036,0.012475745,0,0,0,0
12:17.4,1.42E+12,0.003197391,-0.010659036,-0.009593239,0.014692467,0,0,0,0
12:17.4,1.42E+12,0,-0.02238307,-0.004263721,0.022785547,0,0,0,0
12:17.4,1.42E+12,0.001065797,-0.02238307,-0.00106633,0.022433787,0,0,0,0
12:17.5,1.42E+12,0.002131594,-0.01811988,0.004263188,0.018736289,0,0,0,0
12:17.5,1.42E+12,0.003197391,-0.020251475,0.005328985,0.02118357,0,0,0,0
12:17.6,1.42E+12,0.004263188,-0.025580462,0.008526376,0.027298972,0,0,0,0
12:17.6,1.42E+12,0.004263188,-0.027712587,0.00959244,0.029634054,0,0,0,0
12:17.6,1.42E+12,0.005328985,-0.026646258,0.00959244,0.028817287,0,0,0,0
12:17.6,1.42E+12,0.005328985,-0.026646258,0.013855628,0.030502452,0,0,0,0
12:17.6,1.42E+12,0.004263188,-0.02238307,0.01705302,0.028460184,0,0,0,0
12:17.6,1.42E+12,0.001065797,-0.017053818,0.018119348,0.024905409,0,0,0,0
12:17.6,1.42E+12,0.003197391,-0.011724833,0.01705302,0.020940404,0,0,0,0
12:17.6,1.42E+12,0.004263188,-0.013856427,0.013855628,0.020053772,0,0,0,0
12:17.7,1.42E+12,0.004263188,-0.013856427,0.012789832,0.019332748,0,0,0,0
12:17.7,1.42E+12,0.003197391,-0.009593239,0.01705302,0.019825717,0,0,0,0
12:17.7,1.42E+12,0,-0.005329518,0.012789832,0.013855813,0,0,0,0
12:17.7,1.42E+12,-0.003197924,-0.005329518,0.008526376,0.010551283,0,0,0,0
12:17.7,1.42E+12,-0.002132127,-0.007461112,0.002131594,0.008047226,0,0,0,0
12:17.8,1.42E+12,0.001065797,-0.006395315,-0.003197924,0.007229294,0,0,0,0
12:17.8,1.42E+12,0.002131594,0,-0.006395315,0.006741198,0,0,0,0
12:17.8,1.42E+12,0.002131594,0.001065797,-0.009593239,0.009884829,0,0,0,0
12:17.9,1.42E+12,0.001065797,0.007460579,-0.011724833,0.013938001,0,0,0,0
12:17.9,1.42E+12,0.001065797,0.00959244,-0.011724833,0.015186261,0,0,0,0
12:17.9,1.42E+12,-0.003197924,0.010658237,-0.011724833,0.016164666,0,0,0,0
12:17.9,1.42E+12,-0.00106633,0.010658237,-0.009593239,0.014379336,0,0,0,0
12:17.9,1.42E+12,-0.005329518,0.011724034,-0.010659036,0.01671741,0,0,0,0
12:17.9,1.42E+12,-0.005329518,0.013855628,-0.008526909,0.017119882,0,0,0,0
12:17.9,1.42E+12,-0.004263721,0.013855628,-0.005329518,0.015445436,-0.000682366,0.006309551,-0.010040677,0.026869377
12:18.0,1.42E+12,-0.002132127,0.014921425,-0.005329518,0.015987453,-0.00076764,0.006778517,-0.009848822,0.02684276
12:18.0,1.42E+12,-0.002132127,0.012789832,-0.007461112,0.014959745,-0.000810283,0.00694905,-0.009635647,0.026769662
12:18.0,1.42E+12,-0.002132127,0.010658237,-0.005329518,0.012105691,-0.000810283,0.006799828,-0.009358524,0.026482268
12:18.0,1.42E+12,-0.004263721,0.006394783,-0.003197924,0.008324619,-0.000831599,0.006458757,-0.008974821,0.025997284
12:18.0,1.42E+12,-0.004263721,0.008526376,-0.002132127,0.00976854,-0.000788967,0.006330856,-0.00842058,0.025513177
12:18.1,1.42E+12,-0.003197924,0.007460579,-0.003197924,0.008724315,-0.000703703,0.006160323,-0.007802391,0.02491966
12:18.1,1.42E+12,-0.004263721,0.002131594,-0.005329518,0.007150299,-0.000661071,0.005648714,-0.007184191,0.024141328
12:18.1,1.42E+12,-0.00106633,-0.002132127,-0.005329518,0.005838389,-0.000554492,0.004817349,-0.006502044,0.023135354
12:18.2,1.42E+12,-0.00106633,-0.003197924,-0.003197924,0.004646557,-0.000447912,0.003794131,-0.005692001,0.021924284
12:18.2,1.42E+12,-0.003197924,0.001065797,-0.002132127,0.003988559,-0.000383964,0.002898819,-0.004839321,0.020716356
12:18.2,1.42E+12,-0.002132127,0.001065797,0,0.002383671,-0.00040528,0.002110097,-0.003901366,0.019524523
12:18.2,1.42E+12,-0.002132127,-0.002132127,-0.00106633,0.003198279,-0.000426596,0.001193469,-0.002984738,0.018306278
12:18.2,1.42E+12,0.001065797,-0.004263721,-0.003197924,0.005435251,-0.000341322,0.000212882,-0.002259958,0.017220085
12:18.2,1.42E+12,0.001065797,0.001065797,-0.004263721,0.004522296,-0.000213415,-0.000575839,-0.001812308,0.016335066
12:18.2,1.42E+12,0.003197391,0.003197391,-0.005329518,0.006989305,-8.55089E-05,-0.001257981,-0.001556501,0.015642943
12:18.3,1.42E+12,0.003197391,-0.002132127,-0.003197924,0.004999599,2.10814E-05,-0.002025398,-0.001279383,0.014940782
12:18.3,1.42E+12,0.001065797,-0.006395315,0.001065797,0.006570533,0.000127672,-0.002856757,-0.000959622,0.014303306
12:18.3,1.42E+12,0.001065797,-0.003197924,0.006394783,0.007228824,0.000234262,-0.003368366,-0.000533282,0.013903152
12:18.3,1.42E+12,-0.003197924,0.002131594,0.004263188,0.005739789,0.00019163,-0.003410998,-0.000192206,0.013747458
12:18.3,1.42E+12,-0.004263721,-0.004263721,0.003197391,0.006825097,0.000106356,-0.003517588,4.22803E-05,0.013712094
12:18.4,1.42E+12,-0.003197924,-0.010659036,0.003197391,0.011578647,2.10814E-05,-0.003901297,0.000298093,0.01368609
12:18.4,1.42E+12,0,-0.008526909,0.002131594,0.008789304,-2.3452E-07,-0.00419973,0.000553906,0.013612361
12:18.4,1.42E+12,0.003197391,-0.00106633,-0.00106633,0.00353517,-2.3452E-07,-0.004007876,0.000724444,0.013389215
12:18.4,1.42E+12,0.003197391,0.005328985,-0.004263721,0.007536624,6.37133E-05,-0.003453635,0.000724444,0.013084237
12:18.4,1.42E+12,0.005328985,-0.004263721,-0.003197924,0.007536851,0.000148977,-0.003091248,0.000681812,0.012786298
12:18.5,1.42E+12,0.003197391,-0.004263721,-0.00106633,0.005435042,0.000170293,-0.002814125,0.000575221,0.012520273
12:18.5,1.42E+12,0,0.001065797,-0.00106633,0.001507642,0.000106345,-0.00238778,0.000447315,0.012126755
12:18.5,1.42E+12,0.001065797,0.001065797,-0.00106633,0.001846322,4.23974E-05,-0.001854854,0.000255461,0.011617702
12:18.5,1.42E+12,-0.00106633,0.005328985,-0.002132127,0.005837903,-6.4193E-05,-0.001194023,2.09697E-05,0.011141778
12:18.5,1.42E+12,-0.003197924,0.004263188,-0.00106633,0.005434938,-0.000234731,-0.000575834,-0.000192206,0.010674132
12:18.6,1.42E+12,-0.00106633,0.003197391,-0.003197924,0.004646191,-0.000362637,2.10389E-05,-0.000533277,0.010157006
12:18.6,1.42E+12,-0.002132127,0.002131594,-0.004263721,0.00522197,-0.000490544,0.000511332,-0.000959612,0.009692242
12:18.6,1.42E+12,-0.006395315,0,-0.005329518,0.008324891,-0.000639766,0.000852409,-0.001428589,0.009360632
12:18.6,1.42E+12,-0.005329518,-0.002132127,-0.006395315,0.00859359,-0.000810304,0.001044263,-0.001897556,0.009113695
12:18.6,1.42E+12,0,-0.006395315,-0.004263721,0.007686311,-0.000895568,0.001193485,-0.002259943,0.008866346
12:18.7,1.42E+12,0.003197391,-0.004263721,-0.002132127,0.005740086,-0.000916884,0.001385339,-0.002558382,0.008594493
12:18.7,1.42E+12,-0.00106633,-0.005329518,0.002131594,0.005838194,-0.001002158,0.001470613,-0.00285681,0.008314742
12:18.7,1.42E+12,-0.002132127,-0.009593239,0.004263188,0.010712188,-0.001044801,0.001385339,-0.003027343,0.00825187
12:18.7,1.42E+12,-0.003197924,-0.014922224,0.006394783,0.016546684,-0.001044801,0.001193485,-0.003069975,0.008371778
12:18.7,1.42E+12,-0.003197924,-0.014922224,0.005328985,0.016164701,-0.001066117,0.001044263,-0.003006027,0.008534127
12:18.8,1.42E+12,-0.00106633,-0.008526909,0.003197391,0.00916889,-0.001108759,0.001001631,-0.002878121,0.008572919
12:18.8,1.42E+12,0.003197391,-0.004263721,-0.00106633,0.005435042,-0.001087443,0.000916356,-0.002771541,0.008546796
12:18.8,1.42E+12,0.004263188,-0.002132127,-0.004263721,0.006395315,-0.001044812,0.000852398,-0.002664951,0.008477006
12:18.8,1.42E+12,0.003197391,-0.002132127,-0.005329518,0.006570619,-0.00100218,0.000660544,-0.002537045,0.008329658
12:18.8,1.42E+12,0.002131594,0,-0.003197924,0.003843229,-0.000980864,0.000468695,-0.002366506,0.008102798
12:18.9,1.42E+12,0.001065797,0,-0.003197924,0.003370852,-0.000895589,0.00025553,-0.002195968,0.007846921
12:18.9,1.42E+12,0.001065797,0,-0.006395315,0.006483516,-0.000852947,4.23655E-05,-0.00213201,0.007689005
12:18.9,1.42E+12,0,0.006394783,-0.006395315,0.009043965,-0.000746356,-6.42195E-05,-0.002046735,0.007535536
