time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
12:17.0,1.42E+12,34.9,44.4,51,34.4,12.1,47.8,106.6,44.5,0.398,0.662,0.159
12:17.0,1.42E+12,25.2,39.3,51,52.3,42.8,49.4,48.8,41.4,0.652,0.55,0.007
12:17.0,1.42E+12,51.4,41,30.5,53.8,44.2,47.8,77.9,44.5,0.159,0.814,0.354
12:17.1,1.42E+12,18.8,37.6,32,52.3,66.1,49.4,56.3,44.5,0.227,0.291,-0.144
12:17.1,1.42E+12,33.3,42.7,24.2,49.3,55.8,52.7,47.3,46,0.345,0.481,0.022
12:17.2,1.42E+12,33.3,35.9,51,50.8,32.8,46.2,93.7,58.5,0.374,0.53,0.002
12:17.2,1.42E+12,59.8,37.6,51,50.8,42.8,49.4,37,43,0.677,0.594,0.012
12:17.2,1.42E+12,17.2,32.6,74,52.3,42.8,49.4,68.5,46,0.178,0.677,0.335
12:17.2,1.42E+12,15.6,35.9,36.7,53.8,42.8,49.4,56.3,44.5,0.222,0.286,-0.144
12:17.3,1.42E+12,31.6,35.9,30.5,47.8,79.5,54.3,45.8,47.6,0.335,0.477,0.002
12:17.3,1.42E+12,33.3,37.6,51,50.8,35.7,44.6,93.7,71.2,0.349,0.579,0.002
12:17.3,1.42E+12,66.6,35.9,51,50.8,48.5,47.8,0,41.4,0.692,0.55,0.032
12:17.3,1.42E+12,18.8,37.6,60.8,52.3,42.8,47.8,65.5,46,0.188,0.643,0.252
12:17.3,1.42E+12,15.6,34.3,74,75.4,32.8,84,54.8,44.5,0.359,0.477,0.022
12:17.4,1.42E+12,33.3,35.9,36.7,49.3,42.8,49.4,57.8,44.5,0.633,1.004,0.413
12:17.4,1.42E+12,25.2,34.3,127.7,49.3,44.2,44.6,56.3,27.8,0.472,0.648,0.203
12:17.4,1.42E+12,31.6,19.4,35.1,52.3,90.2,43,56.3,43,0.56,0.824,0.193
12:17.5,1.42E+12,76.9,63.4,36.7,80.2,42.8,47.8,56.3,44.5,0.354,0.692,0.335
12:17.5,1.42E+12,25.2,34.3,51,52.3,24.5,36.7,45.8,46,0.305,0.609,-0.071
12:17.5,1.42E+12,33.3,35.9,43,49.3,42.8,28.9,56.3,46,0.335,0.477,0.007
12:17.5,1.42E+12,23.6,86.5,47.8,52.3,27.2,46.2,68.5,71.2,0.247,0.648,-0.061
12:17.5,1.42E+12,36.5,37.6,51,50.8,42.8,49.4,34.1,32.3,0.696,0.594,0.042
12:17.6,1.42E+12,68.3,41,39.9,53.8,42.8,49.4,54.8,55.4,0.164,0.623,0.335
12:17.6,1.42E+12,25.2,34.3,60.8,40.3,42.8,49.4,45.8,44.5,0.369,0.652,-0.071
12:17.6,1.42E+12,30,35.9,33.6,52.3,42.8,30.5,57.8,35.4,0.315,0.477,-0.012
12:17.7,1.42E+12,31.6,35.9,51,49.3,10.7,39.9,56.3,79.2,0.359,0.481,0.154
12:17.7,1.42E+12,25.2,72.1,49.4,50.8,42.8,51,57.8,17.4,0.672,0.701,0.32
12:17.7,1.42E+12,76.9,44.4,51,88.1,44.2,85.7,54.8,44.5,0.325,0.687,0.315
12:17.8,1.42E+12,25.2,32.6,74,78.6,10.7,57.5,56.3,44.5,0.33,0.477,-0.002
12:17.8,1.42E+12,31.6,34.3,24.2,49.3,54.3,60.8,45.8,77.6,0.359,0.477,0.022
12:17.8,1.42E+12,31.6,35.9,60.8,53.8,44.2,33.6,56.3,84.1,0.462,0.481,0.193
12:17.8,1.42E+12,30,32.6,24.2,50.8,42.8,33.6,56.3,23.3,0.599,0.843,0.022
12:17.9,1.42E+12,33.3,21,51,50.8,38.5,49.4,70.1,74.4,0.257,0.677,0.252
12:17.9,1.42E+12,12.5,34.3,51,40.3,44.2,36.7,57.8,44.5,0.349,0.472,0.012
12:17.9,1.42E+12,33.3,58.1,44.6,47.8,42.8,52.7,56.3,46,0.569,0.926,0.369
12:17.9,1.42E+12,31.6,34.3,49.4,52.3,32.8,27.3,54.8,84.1,0.472,0.477,0.149
12:17.9,1.42E+12,33.3,58.1,51,50.8,42.8,49.4,56.3,35.4,0.652,0.784,0.139
12:18.0,1.42E+12,49.7,58.1,24.2,63,42.8,47.8,68.5,46,0.188,0.271,0.335
12:18.0,1.42E+12,0,32.6,60.8,35.9,44.2,47.8,60.9,35.4,0.33,0.477,-0.012
12:18.1,1.42E+12,31.6,34.3,24.2,37.3,42.8,24.2,56.3,44.5,0.418,0.481,0.12
12:18.1,1.42E+12,31.6,35.9,52.7,52.3,44.2,24.2,53.3,79.2,0.364,0.545,0.037
12:18.1,1.42E+12,1.5,41,51,50.8,66.1,47.8,56.3,0,0.687,0.804,0.154
12:18.1,1.42E+12,33.3,32.6,67.3,50.8,42.8,49.4,54.8,44.5,0.286,0.525,0.203
12:18.2,1.42E+12,0,25.9,51,83.3,51.4,24.2,63.9,44.5,0.286,0.477,-0.042
12:18.2,1.42E+12,31.6,34.3,49.4,31.4,41.3,49.4,59.4,46,0.374,0.472,0.032
12:18.2,1.42E+12,31.6,35.9,72.3,52.3,42.8,36.7,51.8,79.2,0.437,0.501,0.09
12:18.2,1.42E+12,31.6,30.9,52.7,50.8,44.2,47.8,53.3,33.8,0.667,0.824,0.1
12:18.2,1.42E+12,36.5,30.9,49.4,84.9,41.3,47.8,54.8,44.5,0.364,0.481,0.261
12:18.3,1.42E+12,25.2,22.6,49.4,40.3,44.2,38.3,57.8,44.5,0.379,0.477,0.032
12:18.3,1.42E+12,49.7,35.9,51,40.3,38.5,75.6,60.9,35.4,0.384,0.477,0.032
12:18.4,1.42E+12,31.6,34.3,49.4,52.3,42.8,43,51.8,97.3,0.437,0.481,0.144
12:18.4,1.42E+12,33.3,35.9,54.3,44.8,44.2,47.8,57.8,29.3,0.657,0.877,0.169
12:18.4,1.42E+12,33.3,0,51,50.8,57.2,24.2,59.4,46,0.315,0.481,0.159
12:18.5,1.42E+12,25.2,20.8,47.8,64.5,41.3,49.4,100.1,11.6,0.349,0.472,-0.032
12:18.5,1.42E+12,31.6,40.6,49.4,40.3,38.5,94.3,65.5,29.3,0.34,0.477,-0.002
12:18.5,1.42E+12,31.6,40.6,51,63,45.6,0,54.8,71.2,0.511,0.481,0.193
12:18.5,1.42E+12,25.2,71.4,49.4,50.8,42.8,47.8,56.3,13,0.652,0.824,0.051
12:18.5,1.42E+12,31.6,25.7,52.7,63,44.2,47.8,54.8,50.7,0.217,0.266,0.159
12:18.5,1.42E+12,28.4,12.7,46.2,83.3,47.1,36.7,57.8,44.5,0.34,0.477,0.002
12:18.6,1.42E+12,30,40.6,51,46.3,39.9,94.3,68.5,17.4,0.389,0.472,0.012
12:18.7,1.42E+12,31.6,40.6,60.8,53.8,44.2,0,53.3,46,0.501,0.481,0.193
12:18.7,1.42E+12,33.3,64.5,51,50.8,42.8,46.2,56.3,11.6,0.613,0.814,0.149
12:18.7,1.42E+12,31.6,38.9,52.7,44.8,44.2,47.8,56.3,46,0.359,0.477,0.183
12:18.7,1.42E+12,33.3,25.7,46.2,86.5,51.4,30.5,59.4,44.5,0.384,0.462,-0.11
12:18.7,1.42E+12,31.6,42.3,101.2,40.3,39.9,47.8,41.4,44.5,0.452,0.78,0.359
12:18.8,1.42E+12,18.8,32.3,51,52.3,66.1,41.5,53.3,46,0.623,0.789,0.046
12:18.9,1.42E+12,31.6,40.6,27.3,19.8,42.8,36.7,59.4,11.6,0.594,0.872,0.261
