time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
12:17.0,1.42E+12,13.9,0,11.4,22.7,11,23.9,18,25.3,-1.469,-1.41,-1.317
12:17.0,1.42E+12,13.9,8.3,11.4,19.6,9.4,27,14.7,23.7,-1.469,-1.405,-1.351
12:17.0,1.42E+12,13.9,6.6,11.4,19.6,9.4,25.5,16.4,25.3,-1.522,-1.43,-1.366
12:17.0,1.42E+12,6.1,8.3,16.4,21.2,9.4,23.9,26.4,23.7,-1.522,-1.366,-1.332
12:17.1,1.42E+12,20.2,8.3,13.1,16.6,6.3,22.4,11.4,25.3,-1.474,-1.405,-1.332
12:17.1,1.42E+12,12.3,6.6,14.7,15,15.8,23.9,24.7,23.7,-1.474,-1.405,-1.351
12:17.1,1.42E+12,6.1,0,13.1,19.6,9.4,22.4,16.4,23.7,-1.469,-1.405,-1.371
12:17.2,1.42E+12,13.9,1.6,13.1,22.7,9.4,23.9,18,26.9,-1.464,-1.41,-1.312
12:17.2,1.42E+12,17,1.6,11.4,19.6,15.8,16.4,18,23.7,-1.474,-1.405,-1.347
12:17.2,1.42E+12,12.3,8.3,11.4,18.1,9.4,23.9,16.4,33.4,-1.42,-1.415,-1.332
12:17.2,1.42E+12,9.2,6.6,13.1,19.6,7.9,23.9,13,20.5,-1.527,-1.376,-1.337
12:17.3,1.42E+12,17,8.3,13.1,7.5,9.4,23.9,18,23.7,-1.469,-1.41,-1.347
12:17.3,1.42E+12,12.3,8.3,13.1,15,12.6,23.9,26.4,25.3,-1.469,-1.405,-1.327
12:17.3,1.42E+12,21.8,6.6,13.1,18.1,7.9,22.4,13,23.7,-1.469,-1.41,-1.356
12:17.3,1.42E+12,10.8,0,14.7,18.1,9.4,22.4,16.4,25.3,-1.469,-1.41,-1.322
12:17.3,1.42E+12,12.3,14.8,6.5,19.6,9.4,16.4,18,23.7,-1.469,-1.41,-1.347
12:17.4,1.42E+12,12.3,14.8,13.1,19.6,9.4,23.9,18,33.4,-1.464,-1.425,-1.307
12:17.4,1.42E+12,10.8,13.1,4.9,21.2,7.9,33.2,19.7,20.5,-1.488,-1.391,-1.337
12:17.4,1.42E+12,17,14.8,16.4,32,3.1,27,14.7,23.7,-1.464,-1.41,-1.347
12:17.5,1.42E+12,12.3,14.8,8.1,6,12.6,25.5,16.4,18.9,-1.483,-1.386,-1.351
12:17.5,1.42E+12,9.2,6.5,13.1,18.1,9.4,23.9,13,23.7,-1.464,-1.391,-1.327
12:17.5,1.42E+12,12.3,24.9,9.8,19.6,9.4,13.4,16.4,0,-1.464,-1.405,-1.327
12:17.5,1.42E+12,12.3,11.5,9.8,19.6,12.6,34.7,16.4,25.3,-1.474,-1.415,-1.347
12:17.6,1.42E+12,10.8,21.5,11.4,19.6,7.9,23.9,16.4,31.8,-1.469,-1.405,-1.337
12:17.6,1.42E+12,10.8,13.1,6.5,19.6,7.9,23.9,16.4,23.7,-1.435,-1.395,-1.342
12:17.6,1.42E+12,21.8,14.8,18.1,28.9,9.4,22.4,14.7,23.7,-1.474,-1.405,-1.347
12:17.7,1.42E+12,12.3,11.5,11.4,9,7.9,23.9,13,18.9,-1.488,-1.405,-1.351
