time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
41:37.0,1.42E+12,-2.0362158,-8.274942,-2.76505,8.959148475,0,0,0,0
41:37.0,1.42E+12,-2.2574556,-8.1126795,-0.14160553,8.422097517,0,0,0,0
41:37.0,1.42E+12,-2.3754103,-7.3313046,1.3988411,7.832455404,0,0,0,0
41:37.0,1.42E+12,-1.0611434,-7.6790314,-0.2802173,7.75706583,0,0,0,0
41:37.0,1.42E+12,-0.98480207,-9.818083,-1.9161654,10.05168039,0,0,0,0
41:37.0,1.42E+12,-1.4675483,-10.789264,-1.1729608,10.95160959,0,0,0,0
41:37.0,1.42E+12,-1.4208454,-9.642797,-1.3817766,9.844371092,0,0,0,0
41:37.1,1.42E+12,-1.4852115,-9.147926,-0.9836046,9.319757578,0,0,0,0
41:37.1,1.42E+12,-1.1506572,-9.139395,-0.87687653,9.25318677,0,0,0,0
41:37.1,1.42E+12,-0.6821315,-10.072404,-1.145418,10.16024646,0,0,0,0
41:37.1,1.42E+12,-0.46388534,-10.820549,-2.656825,11.1516003,0,0,0,0
41:37.1,1.42E+12,-0.5849835,-12.97412,-4.6945376,13.80973131,0,0,0,0
41:37.2,1.42E+12,-1.9959494,-16.632813,-5.0771422,17.50461811,0,0,0,0
41:37.2,1.42E+12,-5.317692,-18.397192,-5.4097505,19.89974679,0,0,0,0
41:37.2,1.42E+12,-6.529272,-15.842156,-4.402495,17.69144601,0,0,0,0
41:37.2,1.42E+12,-7.130422,-12.73342,-2.7518775,14.8511189,0,0,0,0
41:37.2,1.42E+12,-5.3711305,-10.314751,-2.1993763,11.83555606,0,0,0,0
41:37.3,1.42E+12,-3.9487884,-9.6356125,-2.4822881,10.70512551,0,0,0,0
41:37.3,1.42E+12,-4.0285726,-10.553354,-3.8966968,11.94934826,0,0,0,0
41:37.3,1.42E+12,-4.101471,-10.839559,-3.4173934,12.08290865,0,0,0,0
41:37.3,1.42E+12,-3.771108,-9.148974,-2.2350023,10.14496013,0,0,0,0
41:37.4,1.42E+12,-2.8000772,-7.4039035,-1.898951,8.140284655,0,0,0,0
41:37.4,1.42E+12,-2.0155587,-5.5682707,-2.6921515,6.505059197,0,0,0,0
41:37.4,1.42E+12,-1.8859282,-4.135151,-2.9398866,5.41286728,0,0,0,0
41:37.4,1.42E+12,-2.7499316,-3.5075061,-2.5277934,5.123910842,0,0,0,0
41:37.4,1.42E+12,-3.5534606,-3.1066396,-1.7242644,5.02507508,0,0,0,0
41:37.5,1.42E+12,-3.4967284,-3.392695,-1.2241544,5.023548831,0,0,0,0
41:37.5,1.42E+12,-2.9627888,-3.7064424,-0.814606,4.814500563,0,0,0,0
41:37.5,1.42E+12,-2.1459374,-3.7401223,-0.80502594,4.386528115,0,0,0,0
41:37.5,1.42E+12,-1.6759149,-3.5030155,-0.58992326,3.927826091,0,0,0,0
41:37.5,1.42E+12,-1.7004639,-3.1382241,-0.8580158,3.670997016,0,0,0,0
41:37.5,1.42E+12,-1.2985497,-3.2368689,-1.3953983,3.756419574,0,0,0,0
41:37.6,1.42E+12,-0.63108766,-4.8609915,-2.3228695,5.42431864,0,0,0,0
41:37.6,1.42E+12,0,-8.097711,-2.5008495,8.475091248,0,0,0,0
41:37.6,1.42E+12,0.8282277,-12.518168,-1.7031583,12.66061765,0,0,0,0
41:37.6,1.42E+12,1.5992743,-14.048137,-2.0398083,14.28525986,0,0,0,0
41:37.7,1.42E+12,1.9378701,-13.565391,-6.3204565,15.09050509,0,0,0,0
41:37.7,1.42E+12,1.926943,-12.10847,-8.33886,14.8278367,0,0,0,0
41:37.7,1.42E+12,-1.2699591,-9.260044,-5.600903,10.89639048,0,0,0,0
41:37.7,1.42E+12,-3.80853,-8.240214,-2.0838168,9.313877817,0,0,0,0
41:37.7,1.42E+12,-6.3852715,-7.2524185,-0.80787003,9.696490098,0,0,0,0
41:37.7,1.42E+12,-6.9248996,-7.02085,-2.0796254,10.07826428,0,0,0,0
41:37.8,1.42E+12,-5.2362614,-7.3131924,-3.85194,9.784613344,0,0,0,0
41:37.8,1.42E+12,-2.6747878,-8.734786,-4.5036845,10.18499633,0,0,0,0
41:37.8,1.42E+12,-1.8300943,-10.604847,-4.871769,11.81296568,0,0,0,0
41:37.8,1.42E+12,-2.477947,-12.356654,-4.3580375,13.33490196,0,0,0,0
41:37.8,1.42E+12,-1.9157163,-13.646971,1.8720071,13.90734328,0,0,0,0
41:37.9,1.42E+12,-3.239713,-17.68692,-1.0963202,18.01457181,0,0,0,0
41:37.9,1.42E+12,-0.39083725,-19.323467,-14.931001,24.42302032,0,0,0,0
41:37.9,1.42E+12,-2.689158,-10.645113,6.1050544,12.56271033,-2.35263966,-9.39247023,-2.50784594,10.49477143
41:37.9,1.42E+12,-5.094955,-7.402706,8.132588,12.12013243,-2.413814444,-9.37502551,-2.28989318,10.55799111
41:38.0,1.42E+12,-4.4596763,-7.9011693,5.307214,10.51112313,-2.457858858,-9.370795306,-2.180916789,10.59977162
41:38.0,1.42E+12,-3.7275486,-9.595047,1.8700612,10.46215439,-2.484901624,-9.416070154,-2.171492387,10.6523656
41:38.0,1.42E+12,-4.648733,-14.250965,-2.5345294,15.20278136,-2.556653416,-9.547508826,-2.216578629,10.80127991
41:38.0,1.42E+12,-1.367107,-12.680282,-3.1527438,13.13766823,-2.564299515,-9.604752806,-2.241310197,10.86299966
41:38.0,1.42E+12,-0.6304889,-9.672735,1.5230827,9.812191373,-2.547558327,-9.582422226,-2.187389327,10.8402113
41:38.0,1.42E+12,-0.6345305,-7.907007,1.8226099,8.139121298,-2.531832029,-9.547706426,-2.123301597,10.8061063
41:38.1,1.42E+12,-1.2732522,-8.152048,-0.2296225,8.254076826,-2.527592843,-9.527788866,-2.108221955,10.78479269
41:38.1,1.42E+12,-1.9309845,-9.178164,-1.1235635,9.446152153,-2.543199389,-9.528564246,-2.113155695,10.788652
41:38.1,1.42E+12,-2.0960913,-9.150472,-1.2148737,9.465762234,-2.571478585,-9.510125606,-2.114544809,10.77476231
41:38.1,1.42E+12,-1.6459771,-8.801098,-1.6269667,9.100306987,-2.59512042,-9.469736586,-2.093947643,10.73373645
41:38.1,1.42E+12,-1.4418018,-8.786578,-1.6230748,9.050807543,-2.612256786,-9.385985746,-2.032518387,10.63855797
41:38.2,1.42E+12,-1.2561878,-8.716075,-1.8250049,8.993253809,-2.597461554,-9.227650986,-1.967475641,10.46833068
41:38.2,1.42E+12,-1.2237053,-8.543933,-2.305356,8.933695319,-2.51558182,-9.030585806,-1.905387751,10.24900966
41:38.2,1.42E+12,-0.9397458,-7.9727206,-2.9243188,8.543947353,-2.403791296,-8.873197098,-1.875824227,10.06605968
41:38.2,1.42E+12,-0.33530274,-8.258925,-4.251459,9.295008,-2.267888911,-8.783707198,-1.905815857,9.954937464
41:38.2,1.42E+12,-0.15687378,-8.590935,-3.9860609,9.471929849,-2.163603777,-8.749230878,-1.941549549,9.90766494
41:38.3,1.42E+12,-0.7048842,-8.599168,-2.258803,8.918785961,-2.098725693,-8.728501988,-1.937079847,9.871938149
41:38.3,1.42E+12,-1.432072,-7.6702,-0.780477,7.841679833,-2.046795681,-8.670838908,-1.874755451,9.78978478
41:38.3,1.42E+12,-1.7889299,-7.7248363,-0.9812096,7.989752082,-2.000544859,-8.608544454,-1.826031775,9.707921649
41:38.3,1.42E+12,-1.7669257,-8.662187,-1.8130298,9.024554676,-1.960461213,-8.598808714,-1.817592325,9.68551354
41:38.3,1.42E+12,-1.4187497,-8.731643,-1.1135345,8.915963171,-1.932834663,-8.625363504,-1.801883995,9.70102711
41:38.4,1.42E+12,-1.2154725,-8.572224,-1.1852353,8.738717321,-1.916832939,-8.68544257,-1.771745671,9.745700273
41:38.4,1.42E+12,-1.5670912,-8.749605,-0.8866063,8.932940905,-1.910456199,-8.77773165,-1.730680065,9.816101745
41:38.4,1.42E+12,-1.7699194,-8.615185,-1.1470647,8.869598903,-1.890855955,-8.879885228,-1.703065491,9.891015506
41:38.4,1.42E+12,-2.003883,-8.757988,-1.6847465,9.140911971,-1.859864403,-8.992912196,-1.702275133,9.973332244
41:38.4,1.42E+12,-2.0719912,-9.267379,-2.1733305,9.741705524,-1.831369659,-9.110405876,-1.721258655,10.06769538
41:38.5,1.42E+12,-2.0496876,-9.085656,-0.8437953,9.352131025,-1.813107635,-9.217990148,-1.721842441,10.15844799
41:38.5,1.42E+12,-1.8983524,-8.14606,-0.5016069,8.379358259,-1.808155935,-9.306108902,-1.71577406,10.23830459
41:38.5,1.42E+12,-1.2596306,-8.294402,-0.71790713,8.420164157,-1.799830249,-9.401936632,-1.718333737,10.32815135
41:38.5,1.42E+12,-0.9380992,-9.244776,-0.5721103,9.309845519,-1.784582955,-9.52406767,-1.712615627,10.44092832
