time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
41:37.0,1.42E+12,-0.69173694,0.5265293,-0.20357762,0.892847661,0,0,0,0
41:37.0,1.42E+12,-0.6064689,0.31122765,-0.1396266,0.695818054,0,0,0,0
41:37.0,1.42E+12,-0.5148058,0.15135011,-0.058622036,0.539785523,0,0,0,0
41:37.0,1.42E+12,-0.29417464,0.16200915,-0.05968783,0.341098696,0,0,0,0
41:37.0,1.42E+12,-0.21210428,0.37624475,-0.09699259,0.442669064,0,0,0,0
41:37.0,1.42E+12,-0.23661894,0.23235469,-0.11404615,0.350690389,0,0,0,0
41:37.0,1.42E+12,-0.28671405,0.31549138,-0.029844182,0.42735282,0,0,0,0
41:37.1,1.42E+12,-0.36985022,0.07993824,0.050094593,0.381691991,0,0,0,0
41:37.1,1.42E+12,-0.53079355,-0.20890687,0.12150646,0.583221821,0,0,0,0
41:37.1,1.42E+12,-0.60540307,-0.45405218,0.13109916,0.768025552,0,0,0,0
41:37.1,1.42E+12,-0.7748731,-0.4199451,0.002131594,0.881355066,0,0,0,0
41:37.1,1.42E+12,-1.1916208,-0.34959927,-0.3240188,1.283420416,0,0,0,0
41:37.2,1.42E+12,-1.716019,-0.5180032,-0.76208323,1.947772926,0,0,0,0
41:37.2,1.42E+12,-1.8055502,-0.42953807,-1.0818381,2.148229074,0,0,0,0
41:37.2,1.42E+12,-1.6723189,0.3133598,-1.1212745,2.037670575,0,0,0,0
41:37.2,1.42E+12,-1.6861749,0.20784055,-0.93794805,1.940651961,0,0,0,0
41:37.2,1.42E+12,-1.487927,0.21210374,-0.65869564,1.640973705,0,0,0,0
41:37.3,1.42E+12,-1.190555,-0.051160924,-0.49135694,1.28898033,0,0,0,0
41:37.3,1.42E+12,-1.0136236,0.06927974,-0.45405218,1.112832362,0,0,0,0
41:37.3,1.42E+12,-1.0072286,0.13216496,-0.5126742,1.137898003,0,0,0,0
41:37.3,1.42E+12,-0.9123681,0.004263188,-0.5489132,1.064772006,0,0,0,0
41:37.4,1.42E+12,-0.7695441,-0.33147994,-0.47430366,0.962829702,0,0,0,0
41:37.4,1.42E+12,-0.6501687,-0.54145205,-0.29737255,0.896838946,0,0,0,0
41:37.4,1.42E+12,-0.4167477,-0.4689744,-0.12577072,0.639870227,0,0,0,0
