time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:37.0,1.42171E+12,65,132.2,98.8,46.8,107.1,96.7,112.4,30.5,-1.405,-1.508,-1.562
41:37.0,1.42171E+12,58.5,115.2,96.9,46.8,108.9,107.4,128.1,34,-1.391,-1.483,-1.586
41:37.0,1.42171E+12,63.4,109.6,104.3,53.2,117.9,109.2,130.1,53.5,-1.405,-1.513,-1.557
41:37.1,1.42171E+12,56.9,107.7,108,54.9,121.5,120,148.1,71.6,-1.391,-1.508,-1.562
41:37.1,1.42171E+12,48.9,105.9,96.9,46.8,123.3,134.7,166.6,86.5,-1.4,-1.503,-1.566
41:37.1,1.42171E+12,47.3,98.5,98.8,53.2,123.3,142.2,179.2,105.6,-1.391,-1.513,-1.557
41:37.2,1.42171E+12,52.1,87.7,98.8,50,123.3,146,175,117.2,-1.391,-1.537,-1.566
41:37.2,1.42171E+12,39.5,82.3,104.3,45.1,110.7,149.7,170.8,129.1,-1.391,-1.513,-1.562
41:37.2,1.42171E+12,42.6,73.4,104.3,45.1,125.2,149.7,168.7,137.1,-1.4,-1.508,-1.562
41:37.2,1.42171E+12,37.9,71.7,86.1,32.4,107.1,132.9,148.1,125.1,-1.4,-1.508,-1.542
41:37.2,1.42171E+12,42.6,68.2,102.4,40.3,100,123.6,132,109.4,-1.4,-1.508,-1.557
41:37.3,1.42171E+12,37.9,62.9,82.5,34,94.7,105.6,118.3,80.9,-1.4,-1.513,-1.552
41:37.3,1.42171E+12,34.8,61.2,78.9,35.5,91.2,105.6,97.1,71.6,-1.391,-1.542,-1.557
41:37.3,1.42171E+12,36.4,62.9,77.1,32.4,84.3,75.9,97.1,58.9,-1.4,-1.527,-1.566
41:37.3,1.42171E+12,34.8,57.7,75.4,45.1,96.5,64,82.1,57.1,-1.391,-1.513,-1.562
41:37.4,1.42171E+12,34.8,56,75.4,34,53.9,62.3,72.9,64.3,-1.395,-1.508,-1.566
41:37.4,1.42171E+12,34.8,68.2,70.1,34,74,59,71.1,53.5,-1.4,-1.508,-1.542
41:37.5,1.42171E+12,37.9,56,78.9,32.4,72.3,57.3,65.6,51.7,-1.391,-1.522,-1.562
41:37.5,1.42171E+12,33.2,52.6,68.3,35.5,68.9,57.3,69.3,53.5,-1.391,-1.508,-1.527
