time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
45:27.0,1.42E+12,1.8205142,-9.46362,-0.9789642,9.686730427,0,0,0,0
45:27.0,1.42E+12,1.1160791,-9.638157,-0.69290906,9.727272273,0,0,0,0
45:27.0,1.42E+12,-0.55923706,-9.841734,-1.4747332,9.967312187,0,0,0,0
45:27.0,1.42E+12,-1.1464659,-9.831705,-1.7838405,10.0577778,0,0,0,0
45:27.0,1.42E+12,-0.5752537,-9.783505,-1.2337345,9.877752159,0,0,0,0
45:27.0,1.42E+12,-0.56627244,-10.023605,-0.85756665,10.07614719,0,0,0,0
45:27.1,1.42E+12,-1.5277231,-10.019265,-0.527054,10.14876322,0,0,0,0
45:27.1,1.42E+12,-2.2535636,-9.09853,-0.4472699,9.384127419,0,0,0,0
45:27.1,1.42E+12,-0.73946226,-8.938811,-0.18291962,8.971209847,0,0,0,0
45:27.1,1.42E+12,0.545316,-9.100625,-0.25686586,9.120566046,0,0,0,0
45:27.2,1.42E+12,0.07574249,-9.100775,-0.41598496,9.110591968,0,0,0,0
45:27.2,1.42E+12,-1.0457253,-8.89166,-0.4673282,8.965129927,0,0,0,0
45:27.2,1.42E+12,-1.282982,-9.196725,-0.023201752,9.285813473,0,0,0,0
45:27.2,1.42E+12,-1.2479548,-9.475595,1.0545571,9.615424196,0,0,0,0
45:27.2,1.42E+12,-0.9142987,-10.405312,1.2054433,10.51473031,0,0,0,0
45:27.2,1.42E+12,-0.47690827,-11.409124,1.1798465,11.4798776,0,0,0,0
45:27.3,1.42E+12,-0.9048683,-11.8355875,1.2871733,11.93971244,0,0,0,0
45:27.3,1.42E+12,-1.5301181,-11.842323,1.187331,11.99965126,0,0,0,0
45:27.3,1.42E+12,-2.2565575,-12.885205,0.8508307,13.10894628,0,0,0,0
45:27.3,1.42E+12,-2.32257,-14.333144,0.62285477,14.53345439,0,0,0,0
45:27.3,1.42E+12,-2.4188201,-14.595099,-0.082628176,14.79440546,0,0,0,0
45:27.4,1.42E+12,-2.8997698,-14.303206,-1.1075468,14.63615478,0,0,0,0
45:27.4,1.42E+12,-3.3144076,-13.429922,-2.4126828,14.04169295,0,0,0,0
45:27.4,1.42E+12,-3.1055918,-12.24798,-3.6784506,13.16011829,0,0,0,0
45:27.4,1.42E+12,-2.329905,-12.030183,-4.4867697,13.04932422,0,0,0,0
45:27.4,1.42E+12,-1.5120058,-12.730277,-5.6324873,14.00253646,0,0,0,0
45:27.5,1.42E+12,-1.6137941,-12.927567,-6.403384,14.51653012,0,0,0,0
45:27.5,1.42E+12,-2.4146287,-13.577815,-2.8858488,14.08955696,0,0,0,0
45:27.5,1.42E+12,-2.0097208,-12.585528,5.1904564,13.76137095,0,0,0,0
45:27.5,1.42E+12,-1.7461189,-13.722713,3.6982095,14.31916676,0,0,0,0
45:27.6,1.42E+12,-4.1200323,-11.622581,-1.6991167,12.44773284,0,0,0,0
45:27.6,1.42E+12,-4.8124924,-10.501712,-0.28830048,11.55548161,0,0,0,0
45:27.6,1.42E+12,-1.7633331,-11.146122,1.6607964,11.40629756,0,0,0,0
45:27.6,1.42E+12,0.45265868,-11.351495,-0.21151017,11.36248543,0,0,0,0
45:27.6,1.42E+12,0.71191955,-9.70911,-0.008681946,9.735179598,0,0,0,0
45:27.6,1.42E+12,-0.07933502,-8.026159,-1.3895603,8.145943786,0,0,0,0
45:27.7,1.42E+12,-1.0318043,-6.8052983,-1.171464,6.982050771,0,0,0,0
45:27.7,1.42E+12,-2.1035757,-5.9481807,0.043858796,6.30934291,0,0,0,0
45:27.7,1.42E+12,-2.1029768,-5.26081,-1.0582993,5.763560591,0,0,0,0
45:27.7,1.42E+12,-2.101929,-3.9014869,-2.7553203,5.218380545,0,0,0,0
45:27.7,1.42E+12,-2.4728577,-3.2169602,-3.1144235,5.115026087,0,0,0,0
45:27.8,1.42E+12,-3.0365853,-2.8029213,-2.417922,4.787855981,0,0,0,0
45:27.8,1.42E+12,-2.9556038,-3.1476545,-2.119293,4.809857118,0,0,0,0
45:27.8,1.42E+12,-2.193838,-2.9193792,-3.0014086,4.726960299,0,0,0,0
45:27.8,1.42E+12,-1.5395485,-2.9151878,-5.6627245,6.552478787,0,0,0,0
45:27.8,1.42E+12,-0.73407346,-2.762655,-6.409521,7.018054285,0,0,0,0
45:27.9,1.42E+12,0.20776795,-3.5134935,-5.4640875,6.499542776,0,0,0,0
45:27.9,1.42E+12,1.0671309,-4.3373804,-4.65008,6.447858644,0,0,0,0
45:27.9,1.42E+12,0.6036946,-4.4825783,-5.1139655,6.827195509,0,0,0,0
45:27.9,1.42E+12,-0.29608428,-4.3333387,-6.350544,7.693822151,-1.349159396,-9.119396026,-1.418740712,9.946939093
45:27.9,1.42E+12,-1.1027569,-3.722459,-7.837252,8.74615874,-1.407624818,-9.004572806,-1.555906468,9.928127659
45:28.0,1.42E+12,-1.0800041,-5.7814274,-10.418934,11.96434275,-1.451546482,-8.927438214,-1.750426967,9.972869069
45:28.0,1.42E+12,-1.5290703,-11.09867,-12.091556,16.48406073,-1.470943147,-8.952576934,-1.962763423,10.10320404
45:28.0,1.42E+12,-2.0026853,-13.154196,-8.8846245,15.9993804,-1.488067535,-9.019026754,-2.104779103,10.22203609
45:28.0,1.42E+12,-1.7637821,-10.667716,-5.484595,12.12402055,-1.511838103,-9.036710974,-2.189796313,10.26696146
45:28.0,1.42E+12,-4.297713,-4.963678,-3.1966026,7.302513574,-1.586466914,-8.935512434,-2.236577032,10.21148879
45:28.1,1.42E+12,-3.8931043,-4.54919,-4.652176,7.582488528,-1.633774538,-8.826110934,-2.319079472,10.16016329
45:28.1,1.42E+12,-3.1720536,-7.8362045,-5.520819,10.09690385,-1.652144338,-8.800864424,-2.420550454,10.17441882
45:28.1,1.42E+12,-3.8740938,-10.628049,-4.4384203,12.15169137,-1.714836969,-8.834649184,-2.505660468,10.23802845
45:28.2,1.42E+12,-3.8356237,-11.794872,-4.24143,13.10804116,-1.802455763,-8.888534124,-2.58535175,10.31777795
45:28.2,1.42E+12,-2.5391698,-10.980566,-3.576812,11.82428844,-1.854754009,-8.926129944,-2.648568291,10.37205188
45:28.2,1.42E+12,-1.7956659,-9.451795,-2.171684,9.862913167,-1.869752821,-8.937332644,-2.682655407,10.39000755
45:28.2,1.42E+12,-1.8791922,-8.674911,-1.2840298,8.968510284,-1.881677025,-8.926896364,-2.707871968,10.38366148
45:28.2,1.42E+12,-1.7238153,-8.668175,-0.631387,8.860442797,-1.891194235,-8.910747964,-2.74159085,10.36856186
45:28.2,1.42E+12,-1.0105486,-9.292077,-0.067359924,9.347108687,-1.893119233,-8.888483264,-2.767046915,10.34520942
45:28.2,1.42E+12,0.0809816,-10.637479,0.36164796,10.64393286,-1.881961436,-8.873050364,-2.783410885,10.32849053
45:28.3,1.42E+12,0.221689,-11.590847,-0.33171022,11.59771149,-1.85943029,-8.868155554,-2.815788556,10.32165051
45:28.3,1.42E+12,0.05733078,-11.84921,-0.33694932,11.85413849,-1.827681312,-8.868293294,-2.846274162,10.31874026
45:28.3,1.42E+12,0.0291893,-10.741962,0.1790277,10.7434934,-1.781966376,-8.825428434,-2.859710222,10.2714312
45:28.3,1.42E+12,-0.050894164,-9.654024,0.027542725,9.65419744,-1.736532859,-8.731846034,-2.871616463,10.17384606
45:28.3,1.42E+12,0.021255799,-9.021589,-0.50519943,9.035748246,-1.687731341,-8.620375834,-2.880067888,10.05867291
45:28.4,1.42E+12,0.086969145,-9.492809,-1.2533437,9.575586498,-1.627996562,-8.524167894,-2.882983826,9.957461549
45:28.4,1.42E+12,0.032482453,-9.737102,-1.1729608,9.807550536,-1.561058761,-8.450311494,-2.858189386,9.872778701
45:28.4,1.42E+12,1.50E-04,-9.166937,-0.4459227,9.177776476,-1.498943925,-8.388690634,-2.793538828,9.793131864
45:28.4,1.42E+12,0.5945636,-9.006321,0.21270767,9.028431114,-1.440454553,-8.328213394,-2.699549281,9.712714002
45:28.5,1.42E+12,0.7908055,-9.298813,-0.068407744,9.332629649,-1.394398327,-8.259584114,-2.58826769,9.619315866
45:28.5,1.42E+12,0.17543519,-9.433982,-1.6028668,9.57078763,-1.358613742,-8.189712414,-2.492257346,9.520401016
45:28.5,1.42E+12,-0.68467623,-9.084458,-2.0077748,9.328843355,-1.324014692,-8.099845274,-2.474695866,9.425186744
45:28.5,1.42E+12,-1.3082794,-9.527088,-2.329007,9.894507282,-1.309985864,-8.038676474,-2.625085134,9.347849471
45:28.5,1.42E+12,-0.7873627,-9.385932,-0.63617706,9.440359145,-1.29081074,-7.951940854,-2.711772865,9.250273318
45:28.5,1.42E+12,-0.9836046,-9.149573,-0.15283218,9.203560277,-1.228082186,-7.902480694,-2.680847174,9.185389867
45:28.6,1.42E+12,-1.5365547,-9.289682,-0.5119354,9.42980752,-1.162563432,-7.878240094,-2.685319873,9.142876385
45:28.6,1.42E+12,-1.9327807,-9.273815,-0.011226654,9.473088827,-1.165952384,-7.840793954,-2.718760334,9.104212211
45:28.6,1.42E+12,-1.0829979,-8.944799,-0.8608598,9.051154247,-1.196665516,-7.792660034,-2.731747327,9.057985587
45:28.6,1.42E+12,0.003442841,-9.023985,-1.9043399,9.222734279,-1.21083505,-7.778957534,-2.769660486,9.047736681
45:28.6,1.42E+12,0.45280838,-8.8829775,-1.0120454,8.951902624,-1.200192182,-7.796093904,-2.762110188,9.063855857
45:28.7,1.42E+12,-0.29488677,-8.848699,-0.50355285,8.86791958,-1.185453831,-7.836961918,-2.748751965,9.101573234
45:28.7,1.42E+12,-0.8273296,-9.135952,-0.28740233,9.177837072,-1.159928909,-7.900717344,-2.755377187,9.158943117
45:28.7,1.42E+12,-0.8143066,-9.82901,0.1194516,9.863407195,-1.134155505,-7.992081344,-2.731822169,9.240940049
45:28.7,1.42E+12,-0.547711,-10.10339,0.4219725,10.12702017,-1.103071145,-8.116119406,-2.668276313,9.339112841
45:28.7,1.42E+12,-0.5888754,-10.852732,0.77329195,10.89617119,-1.065391499,-8.268834842,-2.590522004,9.454735743
45:28.8,1.42E+12,-0.52076703,-11.685599,1.6557069,11.8137965,-1.015075134,-8.446488396,-2.509049426,9.595254554
45:28.8,1.42E+12,-0.33739838,-12.713662,2.8961773,13.04372961,-0.962711026,-8.637808546,-2.40874002,9.759932004
45:28.8,1.42E+12,-0.72075117,-13.441598,2.1731808,13.63520274,-0.933249289,-8.848252922,-2.305248232,9.938096852
45:28.8,1.42E+12,-1.5287709,-13.692027,0.79679304,13.80013127,-0.933033737,-9.063789706,-2.176057881,10.0830499
45:28.8,1.42E+12,-2.878065,-14.206657,0.26584718,14.49769071,-0.975913568,-9.292669746,-2.042550518,10.23264263
45:28.9,1.42E+12,-3.6001635,-14.2237215,-0.9476793,14.70284077,-1.052072197,-9.506874306,-1.952222354,10.39670859
45:28.9,1.42E+12,-3.3422499,-13.585599,-2.4719596,14.20738255,-1.140259813,-9.691838678,-1.908659946,10.55189907
45:28.9,1.42E+12,-3.1799872,-12.851376,-3.1660662,13.61227971,-1.215933449,-9.859214632,-1.86970196,10.68760075
45:28.9,1.42E+12,-2.958448,-12.225227,-3.4284704,13.03698581,-1.269180723,-10.0170524,-1.811260488,10.79446403
45:29.0,1.42E+12,-1.9538869,-12.369976,-3.9871087,13.14271722,-1.286203323,-10.19000274,-1.734257622,10.8823952
45:29.0,1.42E+12,-0.9183403,-12.290043,-5.9049206,13.6658916,-1.282970047,-10.32017505,-1.643977354,10.91642617
45:29.0,1.42E+12,-1.0340496,-12.524605,-6.660549,14.2231467,-1.273069633,-10.34869375,-1.535357214,10.87120789
45:29.0,1.42E+12,-0.8464897,-13.049264,-0.9168434,13.10879238,-1.249945721,-10.34659511,-1.376001592,10.81339613
45:29.0,1.42E+12,-1.044977,-13.043575,6.397247,14.56542464,-1.235569619,-10.39411229,-1.138364752,10.86222421
45:29.0,1.42E+12,-1.5838563,-13.444442,1.6796571,13.6412195,-1.181292485,-10.56372757,-1.040839558,10.98899833
45:29.1,1.42E+12,-4.2739124,-10.315648,-1.491199,11.26510521,-1.188908647,-10.67905673,-0.977620018,11.06265067
45:29.1,1.42E+12,-3.9224432,-10.375673,-0.66536635,11.11228434,-1.203916439,-10.7298461,-0.880510965,11.08295828
45:29.1,1.42E+12,-2.0618124,-10.855426,0.8690927,11.08362153,-1.167670811,-10.73439364,-0.774360705,11.06159688
45:29.1,1.42E+12,-1.3407619,-9.784553,-1.2802876,9.958627226,-1.117773575,-10.69418726,-0.715137857,10.9986086
45:29.1,1.42E+12,-0.39173537,-8.332422,-1.7317488,8.519487478,-1.074824887,-10.64122438,-0.678236593,10.93251258
45:29.2,1.42E+12,-0.57705003,-7.613767,-1.1229647,7.717738295,-1.050452569,-10.60446382,-0.657262207,10.88960908
45:29.2,1.42E+12,-1.4102174,-6.940168,-1.6959732,7.282236612,-1.041073073,-10.56976896,-0.665501075,10.85588361
45:29.2,1.42E+12,-1.4188994,-6.2893214,-0.80487627,6.497435262,-1.034974755,-10.52219189,-0.66897086,10.80862346
45:29.2,1.42E+12,-1.529669,-5.536387,-1.2888199,5.886639534,-1.045357163,-10.44707809,-0.69340006,10.73941408
45:29.3,1.42E+12,-2.060166,-4.7794113,-2.366429,5.717258306,-1.088180115,-10.32991673,-0.747961599,10.64088058
45:29.3,1.42E+12,-2.9621902,-3.7748501,-3.357069,5.856105901,-1.151857699,-10.1735968,-0.808468774,10.52604847
45:29.3,1.42E+12,-3.142565,-3.453169,-3.1530433,5.633983757,-1.215855615,-10.00567598,-0.864790654,10.40164538
45:29.3,1.42E+12,-2.7244844,-3.095413,-3.2389646,5.243595004,-1.270929089,-9.852744996,-0.9331505,10.29164741
45:29.3,1.42E+12,-2.1219873,-2.55354,-3.8318815,5.070178741,-1.312350951,-9.710735316,-1.010338985,10.19996704
45:29.3,1.42E+12,-2.2257216,-2.1615052,-4.9061975,5.804887189,-1.357290499,-9.57353364,-1.098358946,10.13534982
45:29.4,1.42E+12,-1.7368382,-2.4466622,-4.8603926,5.711933042,-1.393766646,-9.432610704,-1.170499924,10.05807675
45:29.4,1.42E+12,-0.825683,-2.8131,-4.8422804,5.660650448,-1.410929955,-9.294130664,-1.243886316,9.975138744
45:29.5,1.42E+12,0.07334747,-3.11607,-5.6833816,6.481982606,-1.409466006,-9.173113324,-1.348635494,9.921222867
45:29.5,1.42E+12,0.44113266,-3.1570847,-6.3843737,7.135965903,-1.412534625,-9.056128598,-1.480577121,9.883373563
45:29.5,1.42E+12,0.1594185,-3.204087,-8.016879,8.6349254,-1.425162365,-8.934234078,-1.639546546,9.869419478
45:29.5,1.42E+12,0.3966751,-5.25602,-11.749367,12.8775278,-1.420737567,-8.850674838,-1.84247655,9.935554281
45:29.5,1.42E+12,-0.9979747,-7.2724767,-11.531121,13.66936803,-1.427003536,-8.814435212,-2.032943474,10.02236477
45:29.5,1.42E+12,-2.6006918,-8.776549,-8.721165,12.64318509,-1.452851784,-8.799424432,-2.160786634,10.07733833
45:29.5,1.42E+12,-2.7521768,-10.313104,-5.5747075,12.04209097,-1.492148066,-8.817967872,-2.259557243,10.12937297
45:29.5,1.42E+12,-5.3561616,-6.810687,-4.282594,9.665119547,-1.579599206,-8.771190152,-2.34215248,10.13860415
45:29.6,1.42E+12,-2.8551626,-7.2250257,-5.905669,9.758579619,-1.605971364,-8.729897026,-2.450027152,10.14517959
45:29.6,1.42E+12,-3.0871801,-7.8704834,-5.4986653,10.08516286,-1.629059352,-8.701830394,-2.559775925,10.15742108
45:29.6,1.42E+12,-4.4045906,-9.540112,-4.2299037,11.32723447,-1.695491206,-8.713736654,-2.627156803,10.20294268
45:29.6,1.42E+12,-4.0180945,-10.38705,-3.9258862,11.80883032,-1.775921953,-8.740997954,-2.667587729,10.2546646
45:29.6,1.42E+12,-3.1808853,-10.212812,-3.4805622,11.24872764,-1.848595826,-8.767594644,-2.716958065,10.3006011
45:29.7,1.42E+12,-2.657873,-9.871971,-2.599195,10.54873997,-1.895855551,-8.788060084,-2.758870908,10.33421751
45:29.7,1.42E+12,-2.2757177,-9.605375,-1.6579523,10.00954174,-1.924823313,-8.797448544,-2.786281907,10.3508516
45:29.7,1.42E+12,-2.1109104,-9.392518,-0.9610016,9.674650442,-1.950755389,-8.788718704,-2.807890971,10.34707647
45:29.7,1.42E+12,-1.7381854,-9.686058,-0.73332506,9.868068388,-1.974564877,-8.780372064,-2.830996922,10.34189743
45:29.8,1.42E+12,-0.99587905,-10.322535,0.07349716,10.37072349,-1.98270495,-8.769768124,-2.844992818,10.33138848
45:29.8,1.42E+12,-0.0981958,-11.103161,0.24563919,11.10631195,-1.974253525,-8.758119364,-2.873194172,10.31723879
