time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
45:27.0,1.42E+12,0.84735024,0.06288496,-0.16733865,0.866001831,0,0,0,0
45:27.0,1.42E+12,0.7876629,0.011724034,-0.2696605,0.832626616,0,0,0,0
45:27.0,1.42E+12,0.5020152,0.09912392,-0.2611336,0.574487223,0,0,0,0
45:27.0,1.42E+12,0.39223224,0.3719813,-0.28991145,0.613404325,0,0,0,0
45:27.0,1.42E+12,0.6171269,0.94007933,-0.44232816,1.208407613,0,0,0,0
45:27.1,1.42E+12,0.70878994,0.9347501,-0.40289178,1.24034782,0,0,0,0
45:27.1,1.42E+12,0.39116642,0.31868878,-0.05222672,0.507248792,0,0,0,0
45:27.1,1.42E+12,0.21530166,-0.18332642,0.22276224,0.359981106,0,0,0,0
45:27.1,1.42E+12,0.32082036,-0.17906323,0.24834271,0.443467525,0,0,0,0
45:27.2,1.42E+12,0.31016186,0.13323076,0.22702569,0.406806439,0,0,0,0
45:27.2,1.42E+12,0.3485324,0.16414073,0.2824498,0.477697501,0,0,0,0
45:27.2,1.42E+12,0.38583744,0.32295248,0.31655717,0.594455445,0,0,0,0
45:27.2,1.42E+12,0.47643474,0.24834271,0.35386193,0.643336948,0,0,0,0
45:27.2,1.42E+12,0.47110522,-0.03837109,0.4284712,0.637965546,0,0,0,0
45:27.2,1.42E+12,0.39329857,-0.11511194,0.43912998,0.600641044,0,0,0,0
45:27.3,1.42E+12,0.3687839,0.04369928,0.3783766,0.530169825,0,0,0,0
45:27.3,1.42E+12,0.4796321,-0.011724833,0.32188642,0.577750197,0,0,0,0
45:27.3,1.42E+12,0.42420802,-0.19291912,0.4135495,0.623051699,0,0,0,0
45:27.3,1.42E+12,0.112979814,-0.38477245,0.44339314,0.597839237,0,0,0,0
45:27.3,1.42E+12,-0.25687015,-0.56063724,0.4146153,0.743103113,0,0,0,0
45:27.4,1.42E+12,-0.63098353,-0.7972562,0.32934728,1.068750342,0,0,0,0
