time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
45:27.0,1.42171E+12,52.4,71.4,70.9,55.4,134.9,105.3,72.8,99,0.648,0.868,0.516
45:27.0,1.42171E+12,57.6,85.6,61.2,94,58.7,85.7,72.8,102.3,0.423,0.525,0.819
45:27.0,1.42171E+12,52.4,57.6,69.3,97.3,58.7,83.9,49.1,69.6,0.916,1.043,0.96
45:27.1,1.42171E+12,45.6,85.6,67.7,29.3,57.2,105.3,69.6,100.7,0.623,0.76,0.78
45:27.1,1.42171E+12,52.4,69.7,70.9,56.9,58.7,78.7,69.6,104,0.731,0.525,0.261
45:27.1,1.42171E+12,38.9,92.8,69.3,55.4,58.7,82.2,72.8,76,1.024,0.912,0.281
45:27.2,1.42171E+12,47.3,78.5,53.2,56.9,58.7,85.7,61.6,100.7,0.599,0.521,-0.125
45:27.2,1.42171E+12,59.3,52.4,50.1,55.4,90.2,80.4,69.6,76,0.99,1.039,-0.105
45:27.2,1.42171E+12,49,69.7,70.9,50.7,44.2,76.9,97.3,122.8,0.819,0.706,-0.213
45:27.2,1.42171E+12,50.7,69.7,85.8,55.4,60.1,82.2,66.4,94,1.195,0.833,0.032
45:27.3,1.42171E+12,52.4,67.9,72.6,53.8,55.8,92.7,71.2,152.9,0.384,0.843,0.301
45:27.3,1.42171E+12,38.9,67.9,107.8,69.6,27.2,119.9,74.4,97.3,0.291,0.33,-0.125
45:27.3,1.42171E+12,47.3,66.2,61.2,39.9,63.1,165.6,105.7,85.8,0.657,0.516,0.061
45:27.3,1.42171E+12,45.6,67.9,87.4,84.1,66.1,144.3,90.7,584.4,0.623,0.696,0.056
45:27.4,1.42171E+12,15.9,78.5,82.4,61.6,72,179.5,109.1,281.2,0.696,0.794,0.046
45:27.4,1.42171E+12,47.3,71.4,74.2,68,58.7,187.6,115.9,545.1,0.364,0.325,-0.213
45:27.4,1.42171E+12,38.9,73.2,54.8,63.2,76.5,208.2,152.9,136.8,0.496,0.53,-0.1
45:27.4,1.42171E+12,49,69.7,94.1,69.6,78,167.6,114.2,138.5,0.467,0.53,-0.046
45:27.5,1.42171E+12,45.6,69.7,87.4,47.6,81.1,177.5,138.5,126.3,0.54,0.863,0.159
45:27.5,1.42171E+12,45.6,78.5,106.1,79.2,90.2,195.8,124.5,133.3,0.442,0.521,0.071
45:27.5,1.42171E+12,45.6,55.8,104.3,82.5,67.5,193.7,122.8,152.9,0.437,0.516,-0.017
45:27.6,1.42171E+12,45.6,76.7,106.1,60.1,67.5,189.6,100.7,135,0.628,0.521,-0.022
45:27.6,1.42171E+12,47.3,45.6,69.3,80.9,58.7,191.7,99,502.7,0.672,0.833,0.017
45:27.6,1.42171E+12,64.5,92.8,100.9,97.3,79.5,183.6,119.3,174.9,0.276,0.623,0.261
45:27.6,1.42171E+12,45.6,66.2,100.9,121.1,76.5,181.5,152.9,1593,0.579,0.521,-0.061
45:27.7,1.42171E+12,45.6,66.2,102.6,61.6,78,179.5,99,121.1,0.579,0.819,0.291
45:27.7,1.42171E+12,52.4,66.2,102.6,97.3,78,167.6,105.7,119.3,0.682,0.696,0.139
45:27.7,1.42171E+12,0,67.9,99.2,90.7,45.6,179.5,112.5,115.9,0.418,0.77,0.271
45:27.7,1.42171E+12,22.2,64.5,141.3,97.3,67.5,206.1,109.1,112.5,0.442,0.516,-0.007
45:27.8,1.42171E+12,51.9,66.2,87.4,69.6,128.3,181.5,82.5,117.6,0.379,0.516,-0.037
