time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
35:49.0,1.42E+12,-3.1240036,-9.354347,0.30401778,9.866895819,0,0,0,0
35:49.0,1.42E+12,-3.0262568,-9.430389,0.24983047,9.907213643,0,0,0,0
35:49.0,1.42E+12,-3.0253587,-9.360036,0.25970992,9.840249917,0,0,0,0
35:49.0,1.42E+12,-3.020868,-9.356593,0.30102402,9.836772413,0,0,0,0
35:49.0,1.42E+12,-2.9292586,-9.358239,0.29009673,9.810267542,0,0,0,0
35:49.1,1.42E+12,-2.9512627,-9.457034,0.2830614,9.91088126,0,0,0,0
35:49.1,1.42E+12,-2.946772,-9.36258,0.20582199,9.817521692,0,0,0,0
35:49.1,1.42E+12,-3.0111382,-9.3536,0.2959346,9.830786515,0,0,0,0
35:49.1,1.42E+12,-2.972818,-9.313482,0.29907808,9.781004116,0,0,0,0
35:49.1,1.42E+12,-3.0509555,-9.250164,0.366438,9.747211924,0,0,0,0
35:49.2,1.42E+12,-3.1775923,-9.221873,0.41837996,9.762944036,0,0,0,0
35:49.2,1.42E+12,-3.0505064,-9.288185,0.4872368,9.788430395,0,0,0,0
35:49.2,1.42E+12,-3.1578333,-9.353898,0.40820113,9.880989177,0,0,0,0
35:49.2,1.42E+12,-3.0657747,-9.3613825,0.5376819,9.865270328,0,0,0,0
35:49.2,1.42E+12,-3.0653257,-9.293873,0.4349954,9.795994997,0,0,0,0
35:49.3,1.42E+12,-3.1063404,-9.272917,0.4340973,9.789013272,0,0,0,0
35:49.3,1.42E+12,-3.0258079,-9.386531,0.41927812,9.871082605,0,0,0,0
35:49.3,1.42E+12,-3.035837,-9.427546,0.40954834,9.912752378,0,0,0,0
35:49.3,1.42E+12,-3.0115874,-9.32396,0.35416353,9.804658105,0,0,0,0
35:49.3,1.42E+12,-3.031496,-9.448202,0.16375946,9.92397633,0,0,0,0
35:49.4,1.42E+12,-2.9753628,-9.370514,0.3293152,9.837060786,0,0,0,0
35:49.4,1.42E+12,-3.099754,-9.270822,0.3435356,9.781341019,0,0,0,0
35:49.4,1.42E+12,-3.0223649,-9.273366,0.26779312,9.75713686,0,0,0,0
35:49.4,1.42E+12,-3.0581405,-9.268576,0.40670425,9.768527665,0,0,0,0
35:49.4,1.42E+12,-3.1014006,-9.282048,0.32317793,9.791810084,0,0,0,0
35:49.5,1.42E+12,-2.9936247,-9.199719,0.22737716,9.677206151,0,0,0,0
35:49.5,1.42E+12,-2.9413834,-9.337732,0.22947282,9.792733683,0,0,0,0
35:49.5,1.42E+12,-2.9984148,-9.346115,0.42930725,9.824696515,0,0,0,0
35:49.5,1.42E+12,-3.1341825,-9.273815,0.4619394,9.800006766,0,0,0,0
35:49.5,1.42E+12,-3.0133836,-9.311088,0.41643402,9.795420244,0,0,0,0
35:49.6,1.42E+12,-3.1130762,-9.222173,0.24863297,9.736608066,0,0,0,0
35:49.6,1.42E+12,-2.9184809,-9.2730665,0.3186873,9.726708316,0,0,0,0
35:49.6,1.42E+12,-3.0225146,-9.272018,0.29803026,9.756778891,0,0,0,0
35:49.6,1.42E+12,-3.0076954,-9.437125,0.30311966,9.909462216,0,0,0,0
35:49.6,1.42E+12,-2.9602442,-9.411978,0.33635056,9.872259483,0,0,0,0
35:49.7,1.42E+12,-3.0427227,-9.308693,0.45340714,9.80385153,0,0,0,0
35:49.7,1.42E+12,-2.9879365,-9.478739,0.31000534,9.943357626,0,0,0,0
35:49.7,1.42E+12,-3.0572424,-9.330098,0.32721955,9.823672043,0,0,0,0
35:49.7,1.42E+12,-3.102748,-9.307795,0.45056304,9.821664827,0,0,0,0
35:49.7,1.42E+12,-3.0184731,-9.150921,0.32467484,9.64136654,0,0,0,0
35:49.8,1.42E+12,-2.9529095,-9.215735,0.3625461,9.684053169,0,0,0,0
35:49.8,1.42E+12,-2.965184,-9.345067,0.42257127,9.813315437,0,0,0,0
35:49.8,1.42E+12,-3.0190718,-9.364227,0.4552034,9.849403636,0,0,0,0
35:49.9,1.42E+12,-3.0885274,-9.272468,0.32078293,9.77857689,0,0,0,0
35:49.9,1.42E+12,-3.0207183,-9.27636,0.3251239,9.761214036,0,0,0,0
35:49.9,1.42E+12,-3.0308971,-9.26663,0.26899064,9.753416056,0,0,0,0
