time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
35:49.0,1.42E+12,0.019185146,-0.008526909,0.00959244,0.023082307,0,0,0,0
35:49.0,1.42E+12,0.018119348,0.011724034,0.004263188,0.021998603,0,0,0,0
35:49.0,1.42E+12,0.008526376,0.012789832,0.002131594,0.015518459,0,0,0,0
35:49.0,1.42E+12,0.003197391,-0.00106633,0.006394783,0.007228666,0,0,0,0
35:49.0,1.42E+12,0.001065797,-0.011724833,0.008526376,0.014536393,0,0,0,0
35:49.1,1.42E+12,0.001065797,-0.021317273,0.006394783,0.022281277,0,0,0,0
35:49.1,1.42E+12,-0.003197924,-0.029844182,0.005328985,0.030484422,0,0,0,0
35:49.1,1.42E+12,-0.010659036,-0.021317273,0.005328985,0.024422106,0,0,0,0
35:49.1,1.42E+12,-0.007461112,-0.010659036,0.003197391,0.013398006,0,0,0,0
35:49.1,1.42E+12,0.004263188,-0.00106633,-0.003197924,0.005434938,0,0,0,0
35:49.2,1.42E+12,0.015987223,0.005328985,-0.007461112,0.018429801,0,0,0,0
35:49.2,1.42E+12,0.007460579,0.020250943,-0.007461112,0.022834823,0,0,0,0
35:49.2,1.42E+12,-0.00106633,0.03410684,-0.005329518,0.034537188,0,0,0,0
35:49.2,1.42E+12,0.004263188,0.03304104,-0.004263721,0.03358667,0,0,0,0
35:49.2,1.42E+12,0.008526376,0.019185146,-0.003197924,0.021236658,0,0,0,0
35:49.3,1.42E+12,0.005328985,0.011724034,0.001065797,0.012922344,0,0,0,0
35:49.3,1.42E+12,0.011724034,0.010658237,0.001065797,0.015880394,0,0,0,0
35:49.3,1.42E+12,0.018119348,0.018119348,0.003197391,0.025823339,0,0,0,0
35:49.3,1.42E+12,0.018119348,0.007460579,0.003197391,0.019854328,0,0,0,0
35:49.3,1.42E+12,0.015987223,0.007460579,0.001065797,0.017674486,0,0,0,0
35:49.4,1.42E+12,0.010658237,0.010658237,-0.002132127,0.015223074,0,0,0,0
35:49.4,1.42E+12,0.005328985,0.00959244,-0.006395315,0.012700907,0,0,0,0
35:49.4,1.42E+12,-0.00106633,0.015987223,-0.004263721,0.01658034,0,0,0,0
35:49.4,1.42E+12,-0.006395315,0.007460579,0.004263188,0.010711446,0,0,0,0
35:49.4,1.42E+12,-0.010659036,-0.014922224,0.005328985,0.019096751,0,0,0,0
35:49.5,1.42E+12,-0.010659036,-0.020251475,0.004263188,0.023279005,0,0,0,0
35:49.5,1.42E+12,-0.019185679,-0.01811988,0.006394783,0.027153519,0,0,0,0
35:49.5,1.42E+12,-0.019185679,0.001065797,0.003197391,0.019479464,0,0,0,0
35:49.5,1.42E+12,0.001065797,-0.006395315,0,0.006483516,0,0,0,0
35:49.5,1.42E+12,0.008526376,-0.013856427,-0.004263721,0.016819006,0,0,0,0
35:49.6,1.42E+12,0.007460579,-0.002132127,-0.004263721,0.00885356,0,0,0,0
35:49.6,1.42E+12,0.008526376,0.007460579,-0.003197924,0.011772258,0,0,0,0
35:49.6,1.42E+12,0.005328985,0.008526376,-0.00106633,0.010111095,0,0,0,0
35:49.6,1.42E+12,0.001065797,-0.002132127,0,0.002383671,0,0,0,0
35:49.6,1.42E+12,-0.004263721,-0.002132127,0.001065797,0.004884793,0,0,0,0
35:49.7,1.42E+12,-0.007461112,-0.004263721,0.003197391,0.009169014,0,0,0,0
