time,time_milisec,ax,ay,az,resultant,MA_x,Ma_y,Ma_z,Ma_R,,,
55:27.0,1.42E+12,-5.29943,-7.2726264,-1.9411633,9.205605251,0,0,0,0,,,
55:27.0,1.42E+12,-6.5138545,-6.248905,-1.5085629,9.151769019,0,0,0,0,,,
55:27.0,1.42E+12,-7.133566,-9.30974,-3.2528856,12.17128947,0,0,0,0,,,
55:27.0,1.42E+12,-6.3271923,-13.904435,2.4945626,15.47867945,0,0,0,0,,,
55:27.0,1.42E+12,-6.0576034,-12.739708,0.83571213,14.13128209,0,0,0,0,,,
55:27.1,1.42E+12,-5.206024,-6.0058107,2.0508852,8.208445538,0,0,0,0,,,
55:27.1,1.42E+12,-4.8084507,-3.4655933,4.2556505,7.296718182,0,0,0,0,,,
55:27.1,1.42E+12,-4.7969246,-3.8880148,5.392686,8.198061173,0,0,0,0,,,
55:27.1,1.42E+12,-4.355193,-7.572902,5.430108,10.28604023,0,0,0,0,,,
55:27.1,1.42E+12,-2.1859045,-12.797038,2.9183314,13.30635255,0,0,0,0,,,
55:27.2,1.42E+12,-0.22094055,-13.490846,-0.30880782,13.49618845,0,0,0,0,,,
55:27.2,1.42E+12,-1.4386582,-11.097921,0.11136841,11.19133553,0,0,0,0,,,
55:27.2,1.42E+12,-2.7632537,-8.770861,1.0499167,9.255587435,0,0,0,0,,,
55:27.3,1.42E+12,-3.630251,-7.940837,1.2723541,8.82351968,0,0,0,0,,,
55:27.3,1.42E+12,-3.9484892,-8.243657,0.49472123,9.153862397,0,0,0,0,,,
55:27.3,1.42E+12,-3.4121544,-8.353828,0.56058425,9.041210904,0,0,0,0,,,
55:27.3,1.42E+12,-3.044519,-8.825797,0.040415954,9.336242396,0,0,0,0,,,
55:27.3,1.42E+12,-2.4968078,-8.863369,0.41658372,9.217749249,0,0,0,0,,,
55:27.3,1.42E+12,-2.149081,-8.514594,1.0071057,8.839181072,0,0,0,0,,,
55:27.3,1.42E+12,-2.2670357,-8.844508,1.1117381,9.197865743,0,0,0,0,,,
55:27.4,1.42E+12,-3.046465,-8.8951025,0.6727011,9.426363257,0,0,0,0,,,
55:27.4,1.42E+12,-3.4621503,-9.751322,0.305365,10.35219847,0,0,0,0,,,
55:27.4,1.42E+12,-3.1813345,-9.682915,-0.2945874,10.1963971,0,0,0,0,,,
55:27.4,1.42E+12,-2.0275338,-10.46429,-1.2865746,10.73627183,0,0,0,0,,,
55:27.4,1.42E+12,-0.29264146,-11.437566,-1.5100598,11.54053013,0,0,0,0,,,
55:27.5,1.42E+12,-0.9500743,-11.878998,-0.8705896,11.94868867,0,0,0,0,,,
55:27.5,1.42E+12,-3.4100587,-11.391911,-0.8339159,11.92055168,0,0,0,0,,,
55:27.5,1.42E+12,-3.960614,-11.6369505,-2.0965402,12.46998641,0,0,0,0,,,
55:27.5,1.42E+12,-2.8960276,-12.358899,-2.6997857,12.97760391,0,0,0,0,,,
55:27.6,1.42E+12,-2.8357031,-13.255086,-3.206931,13.92921115,0,0,0,0,,,
55:27.6,1.42E+12,-2.7870543,-13.493091,-4.6545706,14.54290906,0,0,0,0,,,
55:27.6,1.42E+12,-1.502276,-14.03676,-2.828069,14.39741083,0,0,0,0,,,
55:27.6,1.42E+12,-1.9597248,-14.477294,3.7752993,15.08924941,0,0,0,0,,,
55:27.6,1.42E+12,-4.151467,-12.376713,5.8026834,14.28596646,0,0,0,0,,,
55:27.6,1.42E+12,-5.86196,-11.713891,3.6278558,13.59187828,0,0,0,0,,,
55:27.7,1.42E+12,-9.0374565,-12.076736,0.9193881,15.11186444,0,0,0,0,,,
55:27.7,1.42E+12,-9.850865,-11.711495,-2.8674371,15.56987,0,0,0,0,,,
55:27.7,1.42E+12,-7.0898566,-11.145523,-0.43319917,13.21652038,0,0,0,0,,,
55:27.7,1.42E+12,-3.5793567,-9.515712,1.5447876,10.28333302,0,0,0,0,,,
55:27.7,1.42E+12,-3.138673,-8.336763,0.77419007,8.941602529,0,0,0,0,,,
55:27.8,1.42E+12,-3.1292427,-7.499405,0.89139634,8.174828602,0,0,0,0,,,
55:27.8,1.42E+12,-2.9747639,-6.7162337,2.05822,7.628452329,0,0,0,0,,,
55:27.8,1.42E+12,-3.1037955,-5.461992,2.6382637,6.813760963,0,0,0,0,,,
55:27.8,1.42E+12,-3.410508,-4.218378,2.298171,5.891338364,0,0,0,0,,,
55:27.9,1.42E+12,-3.8106258,-3.3232393,1.6510665,5.318910511,0,0,0,0,,,
55:27.9,1.42E+12,-3.7943096,-2.2719755,1.4739848,4.661683087,0,0,0,0,,,
55:27.9,1.42E+12,-3.1018496,-1.8182689,1.4437478,3.874529706,0,0,0,0,,,
55:27.9,1.42E+12,-2.6057813,-1.7197738,0.9565109,3.265368464,0,0,0,0,,,
55:27.9,1.42E+12,-2.3815475,-2.9994626,-0.2906955,3.840969703,-3.701817349,-9.016668122,0.599836331,10.30582111,,-3.701817349,-9.142026571
55:27.9,1.42E+12,-3.2352223,-5.174589,-2.1891975,6.483488285,-3.659690661,-8.973851033,0.594774408,10.25026771,,,
55:28.0,1.42E+12,-4.998705,-10.29559,-8.174352,14.06436119,-3.628769243,-9.056436441,0.458737896,10.35052469,,,
55:28.0,1.42E+12,-5.96779,-18.213675,-17.229471,25.77221654,-3.604977896,-9.2381494,0.173501459,10.62809463,,,
55:28.0,1.42E+12,-3.1263986,-16.061451,-12.172088,20.39373195,-3.539655576,-9.282170135,-0.125817941,10.72840182,,,
55:28.0,1.42E+12,-3.8511915,-9.818532,-6.818321,12.55885138,-3.494626761,-9.222554298,-0.282022698,10.6963114,,,
55:28.0,1.42E+12,-6.1728635,-8.20414,-3.1278956,10.73293473,-3.51435818,-9.267418161,-0.387712102,10.74783159,,,
55:28.1,1.42E+12,-8.127499,-7.536827,-1.9875668,11.26101341,-3.582093859,-9.350504563,-0.5151247,10.82873557,,,
55:28.1,1.42E+12,-8.523575,-9.862391,-2.290836,13.23502991,-3.658147949,-9.472430608,-0.671931272,10.93153085,,,
55:28.1,1.42E+12,-7.9933777,-10.919642,4.1426353,14.15252966,-3.732396617,-9.540731424,-0.698206225,11.0104388,,,
55:28.1,1.42E+12,-6.718928,-7.8294687,3.1130762,10.77663292,-3.8249073,-9.439352459,-0.694231841,10.95881187,,,
55:28.1,1.42E+12,-3.6290534,-5.5812936,3.5119967,7.526950754,-3.894460624,-9.277933022,-0.616256239,10.83699069,,,
55:28.2,1.42E+12,-2.5891657,-6.4464946,4.9552956,8.533230697,-3.917940369,-9.183005953,-0.517400582,10.78274365,,,
55:28.2,1.42E+12,-2.2926323,-8.188422,6.1593914,10.49973905,-3.90833585,-9.171119443,-0.413125588,10.8081345,,,
55:28.2,1.42E+12,-1.9907103,-10.519075,4.1641903,11.48713834,-3.874875836,-9.223736545,-0.354108523,10.86249407,,,
55:28.2,1.42E+12,-1.409469,-11.91657,-0.36449203,12.00516963,-3.823059097,-9.298693953,-0.371643487,10.92068401,,,
55:28.2,1.42E+12,-1.8739531,-11.077115,0.35087037,11.23998607,-3.791667234,-9.354271239,-0.375923362,10.96555697,,,
55:28.3,1.42E+12,-2.9255164,-9.3453665,0.8725355,9.83137017,-3.789238609,-9.364874698,-0.358941331,10.97566162,,,
55:28.3,1.42E+12,-3.5125954,-8.169561,0.7586224,8.924996433,-3.809968969,-9.350715351,-0.351960949,10.96968708,,,
55:28.3,1.42E+12,-3.585494,-8.080946,0.23575974,8.843813552,-3.83928352,-9.341865392,-0.367702704,10.96978162,,,
55:28.3,1.42E+12,-3.6260595,-8.469089,-0.13501923,9.213685809,-3.867018699,-9.33420378,-0.393146731,10.97010447,,,
55:28.3,1.42E+12,-3.1572344,-8.720416,0.17318985,9.2759786,-3.869279299,-9.330638749,-0.403340838,10.9670354,,,
55:28.4,1.42E+12,-2.6951454,-8.766071,0.042212218,9.171128141,-3.853626138,-9.310531586,-0.408711303,10.94293192,,,
55:28.4,1.42E+12,-2.3080504,-8.848549,0.104782104,9.145211607,-3.835804013,-9.293503708,-0.400560905,10.92147916,,,
55:28.4,1.42E+12,-2.0483406,-8.741222,0.7997868,9.013563124,-3.836228642,-9.258339055,-0.357982101,10.88632184,,,
55:28.4,1.42E+12,-2.1570144,-8.883277,0.9316626,9.18876034,-3.874277069,-9.206210708,-0.308151031,10.83832654,,,
55:28.4,1.42E+12,-2.444866,-9.128168,0.51013917,9.463670681,-3.904783022,-9.15007132,-0.279972893,10.78761188,,,
55:28.5,1.42E+12,-3.016677,-9.912836,0.013022918,10.36170002,-3.896754824,-9.119886116,-0.262688428,10.75579858,,,
55:28.5,1.42E+12,-3.1925611,-9.425599,-1.1573932,10.01867865,-3.881080276,-9.074756494,-0.243522162,10.70577189,,,
55:28.5,1.42E+12,-2.5777895,-9.980346,-2.1299207,10.52562906,-3.87458562,-9.026214596,-0.231892264,10.65573159,,,
55:28.6,1.42E+12,-1.598975,-11.066338,-0.47047165,11.19115282,-3.849346271,-8.981546269,-0.176046155,10.59985285,,,
55:28.6,1.42E+12,-1.2765454,-11.451487,0.20701951,11.52427784,-3.818519559,-8.939880882,-0.07683003,10.53824813,,,
55:28.6,1.42E+12,-2.743495,-11.540252,-0.13591737,11.86265799,-3.843850559,-8.888931739,-0.02188816,10.48651848,,,
55:28.6,1.42E+12,-3.1855257,-12.255015,-1.3015435,12.72898197,-3.868866904,-8.843579106,-0.125497197,10.43834976,,,
55:28.6,1.42E+12,-2.2674847,-13.759537,-1.1054512,13.98886585,-3.830418286,-8.871800004,-0.266479536,10.43228648,,,
55:28.6,1.42E+12,-2.738106,-14.798527,-3.0011091,15.34601843,-3.766666163,-8.934751759,-0.401764534,10.46808526,,,
55:28.6,1.42E+12,-2.5692573,-14.838044,-3.7507503,15.51891622,-3.634662098,-8.991104984,-0.497073481,10.47639244,,,
55:28.7,1.42E+12,-2.564018,-14.286441,-0.9942325,14.54871414,-3.485950935,-9.043654902,-0.458844816,10.45555252,,,
55:28.7,1.42E+12,-4.3575883,-11.700269,1.0978171,12.53355787,-3.430190357,-9.054976249,-0.427599586,10.44161451,,,
55:28.7,1.42E+12,-5.6794896,-9.979747,3.2894096,11.94454553,-3.473050212,-9.064446351,-0.391995055,10.47551681,,,
55:28.7,1.42E+12,-6.4532304,-10.138567,3.2828233,12.45839686,-3.540694241,-9.101217861,-0.340798458,10.54728812,,,
55:28.7,1.42E+12,-9.055569,-11.012898,1.1985576,14.30817223,-3.661639676,-9.1729218,-0.334529861,10.6724584,,,
55:28.8,1.42E+12,-9.298364,-11.51705,-2.417323,14.99818203,-3.790692739,-9.270897643,-0.425867473,10.82286105,,,
55:28.8,1.42E+12,-6.800359,-10.554552,-0.09834549,12.55599945,-3.86613281,-9.374827439,-0.481716641,10.94004959,,,
55:28.8,1.42E+12,-3.0894256,-10.359058,2.3625371,11.06508991,-3.859580108,-9.500147439,-0.480403047,11.04563635,,,
55:28.8,1.42E+12,-2.9967682,-9.717193,0.12933105,10.16962074,-3.842970769,-9.63063629,-0.511458872,11.14463044,,,
55:28.9,1.42E+12,-3.2241454,-7.43459,1.2099339,8.193423098,-3.831334765,-9.735995769,-0.516847666,11.21670677,,,
55:28.9,1.42E+12,-3.275339,-5.3808603,2.012565,6.613011493,-3.834875365,-9.808701716,-0.505239152,11.27259415,,,
55:28.9,1.42E+12,-3.5875895,-3.9939945,2.7942393,6.052318874,-3.854912267,-9.855114384,-0.467734491,11.32947069,,,
55:29.1,1.42E+12,-3.7323387,-3.2507899,2.5087829,5.549052062,-3.882479435,-9.860243512,-0.410602278,11.36432951,,,
55:29.1,1.42E+12,-3.6579432,-3.0808933,1.8401234,5.124305427,-3.891106392,-9.817515029,-0.32837124,11.33659109,,,
55:29.1,1.42E+12,-3.8112245,-2.5071363,0.9565109,4.661124083,-3.866872096,-9.658566994,-0.142027099,11.14468829,,,
55:29.1,1.42E+12,-3.3673975,-1.3820759,0.8981323,3.749152083,-3.813802861,-9.315064971,0.227923989,10.69523799,,,
55:29.1,1.42E+12,-3.309468,-1.355581,0.06256989,3.57688318,-3.817538971,-9.014945176,0.477610885,10.352037,,,
55:29.1,1.42E+12,-3.0894256,-3.1343322,-0.47825545,4.426885717,-3.801992729,-8.878532935,0.606999978,10.18607852,,,
55:29.1,1.42E+12,-3.794609,-7.148684,-4.1426353,9.091983701,-3.753456922,-8.856993016,0.586291004,10.15258972,,,
55:29.1,1.42E+12,-5.533094,-16.510666,-14.36832,22.57577996,-3.700509882,-9.040132588,0.333622571,10.38350332,,,
55:29.1,1.42E+12,-4.534371,-19.103275,-17.226328,26.11976287,-3.619097555,-9.228722057,0.028816612,10.64645706,,,
55:29.1,1.42E+12,-3.6992574,-9.847572,-10.029444,14.53440493,-3.531462447,-9.206843078,-0.260409496,10.65425043,,,
55:29.1,1.42E+12,-6.18424,-7.242539,-4.509822,10.53744229,-3.520550447,-9.19486492,-0.415978847,10.64936899,,,
55:29.1,1.42E+12,-7.9338017,-5.1105227,-0.16795075,9.438795428,-3.608402453,-9.185257351,-0.491079815,10.68838623,,,
55:29.1,1.42E+12,-7.36214,-6.484665,-0.9568103,9.857356212,-3.705810092,-9.186036339,-0.611735038,10.7154092,,,
55:29.2,1.42E+12,-7.417226,-10.56488,2.920876,13.23493285,-3.810393637,-9.234535482,-0.677827189,10.77122948,,,
55:29.2,1.42E+12,-9.756711,-13.507462,1.7089962,16.75009275,-3.968883447,-9.295522971,-0.727933191,10.87863671,,,
55:29.2,1.42E+12,-3.1870224,-10.654694,1.4691948,11.21776044,-4.005160047,-9.2697704,-0.690511011,10.86256713,,,
