time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
55:27.0,1.42E+12,-0.07141213,-0.8164416,-0.16307548,0.835625628,0,0,0,0
55:27.0,1.42E+12,0.14495532,-0.13749501,0.050094593,0.205976675,0,0,0,0
55:27.0,1.42E+12,0.35919118,0.5563735,0.34213763,0.745404543,0,0,0,0
55:27.0,1.42E+12,0.7556874,2.1764653,0.003197391,2.303925969,0,0,0,0
55:27.0,1.42E+12,1.1884223,2.0123246,-0.47750106,2.385331239,0,0,0,0
55:27.1,1.42E+12,1.0093594,1.1607102,-0.31442612,1.570005844,0,0,0,0
55:27.1,1.42E+12,1.3088635,1.0317425,0.23342101,1.682884909,0,0,0,0
55:27.1,1.42E+12,1.8343276,0.83775777,0.7226458,2.142151437,0,0,0,0
55:27.1,1.42E+12,2.0826707,0.7333046,0.9656598,2.409927744,0,0,0,0
55:27.1,1.42E+12,2.0048637,0.4124837,0.84948236,2.216132112,0,0,0,0
55:27.2,1.42E+12,1.5699966,0.5414515,0.4199443,1.713012629,0,0,0,0
55:27.2,1.42E+12,1.4751362,0.40822026,0.39329857,1.580301982,0,0,0,0
55:27.2,1.42E+12,1.362156,0.17160158,0.26433045,1.398136852,0,0,0,0
55:27.3,1.42E+12,1.1628422,-0.13749501,0.26539627,1.200642345,0,0,0,0
55:27.3,1.42E+12,1.3301803,0.20890635,0.20464262,1.361947171,0,0,0,0
55:27.3,1.42E+12,1.2864804,0.25793514,0.26433045,1.338444225,0,0,0,0
55:27.3,1.42E+12,1.3227197,0.3581254,0.23981579,1.391169587,0,0,0,0
55:27.3,1.42E+12,1.1329982,0.609666,0.21210374,1.303980655,0,0,0,0
55:27.3,1.42E+12,1.064784,0.5904806,0.25686935,1.244352912,0,0,0,0
55:27.3,1.42E+12,1.2097396,0.39223224,0.2845814,1.303189396,0,0,0,0
55:27.4,1.42E+12,1.2822173,0.29204252,0.3336107,1.356711516,0,0,0,0
55:27.4,1.42E+12,1.2875465,0.28777933,0.3783766,1.372502016,0,0,0,0
55:27.4,1.42E+12,1.362156,0.2909767,0.4135495,1.452983,0,0,0,0
55:27.4,1.42E+12,1.3227197,0.26006725,0.47430313,1.429050677,0,0,0,0
55:27.4,1.42E+12,0.82923084,0.40075913,0.39649594,1.002716658,0,0,0,0
55:27.5,1.42E+12,0.4369981,0.5798218,0.2472769,0.767011424,0,0,0,0
55:27.5,1.42E+12,0.23022309,0.3250841,0.16520654,0.431248819,0,0,0,0
55:27.5,1.42E+12,-0.30696526,0.19505018,0.21849905,0.42428066,0,0,0,0
55:27.5,1.42E+12,-0.75675374,0.4369981,0.15348223,0.887243122,0,0,0,0
55:27.6,1.42E+12,-1.3003374,0.26752785,0.08420196,1.330240006,0,0,0,0
