time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
55:27.0,1.42E+12,90.8,107.4,61.3,58.5,54.3,186.2,142.1,267.7,0.037,0.198,-0.193
55:27.0,1.42E+12,99.4,80.3,44.6,52.2,57.2,20.8,151.1,256.7,0.066,0.188,-0.242
55:27.0,1.42E+12,92.6,73.2,54.6,49.1,58.7,0,133.3,395.1,0.1,0.437,-0.12
55:27.0,1.42E+12,122.3,80.3,46.3,43,27.2,0,126.3,403.2,-0.061,0.32,-0.105
55:27.1,1.42E+12,89.1,73.2,47.9,60.1,55.8,0,129.7,281.2,0.002,0.178,-0.516
55:27.1,1.42E+12,90.8,74.9,44.6,79.2,44.2,4.1,124.5,258.9,0.037,0.33,-0.315
55:27.1,1.42E+12,82.4,73.2,41.3,56.9,48.5,6.2,115.9,164.2,0.198,0.457,-0.467
55:27.1,1.42E+12,92.6,71.4,23.5,53.8,38.5,0,109.1,139.5,-0.002,0.066,-1
55:27.1,1.42E+12,82.4,69.7,21.9,50.7,52.8,16.6,94,112.1,0.237,0.408,-0.227
55:27.2,1.42E+12,80.7,64.5,43,50.7,47.1,0,92.3,101.4,0.521,0.305,-0.276
55:27.2,1.42E+12,109.9,62.7,33.2,35.4,21.7,2,72.8,106.7,0.516,0.33,0.868
55:27.2,1.42E+12,82.4,54.1,34.8,53.8,51.4,0,84.1,96.1,0.657,0.198,0.506
55:27.3,1.42E+12,85.7,61,41.3,46,21.7,0,84.1,73.7,0.477,0.237,0.169
55:27.3,1.42E+12,87.4,61,39.7,46,90.2,15.5,77.6,82.3,0.545,0.472,0.174
55:27.3,1.42E+12,77.3,67.9,21.9,50.7,38.5,3.1,79.2,84,0.261,0.193,-0.071
55:27.3,1.42E+12,82.4,62.7,26.7,52.2,54.3,0,79.2,82.3,0.193,0.198,-0.227
55:27.4,1.42E+12,84,66.2,51.3,41.4,48.5,0,72.8,89.2,0.266,0.291,-0.408
55:27.4,1.42E+12,101.2,59.3,34.8,47.6,48.5,0,79.2,63.6,0.384,0.462,-0.941
55:27.4,1.42E+12,77.3,64.5,36.4,29.3,44.2,0,77.6,117.5,0.056,0.198,-1.483
55:27.4,1.42E+12,75.6,42.3,26.7,43,78,17.6,52.2,97.9,-0.31,0.188,-1.469
55:27.5,1.42E+12,85.7,59.3,38.1,71.2,47.1,0,77.6,80.5,-0.12,0.276,-1.464
55:27.5,1.42E+12,65.7,59.3,33.2,47.6,48.5,1,74.4,82.3,0.164,0.349,-1.361
55:27.6,1.42E+12,69,61,34.8,66.4,42.8,427.6,53.8,50.4,-0.584,0.266,-0.941
55:27.6,1.42E+12,111.7,122.3,36.4,47.6,28.6,442.8,77.6,82.3,0.125,0.198,1.029
55:27.6,1.42E+12,191.8,195.7,41.3,41.4,47.1,442.8,74.4,63.6,-0.252,0.457,-0.462
55:27.7,1.42E+12,240.8,236.4,52.9,53.8,45.6,2,72.8,117.5,0.384,0.198,-0.213
55:27.7,1.42E+12,230.3,214.7,52.9,50.7,66.1,21.9,50.7,87.4,0.12,0.208,-0.193
55:27.7,1.42E+12,230.3,204.1,66.4,61.6,49.9,0,76,70.3,0.31,0.315,-0.046
55:27.7,1.42E+12,207.8,208.3,59.7,55.4,55.8,0,82.5,77.1,0.1,0.325,0.154
55:27.7,1.42E+12,176.2,204.1,82,52.2,47.1,15.5,79.2,63.6,0.144,0.193,-0.066
55:27.8,1.42E+12,218,187.4,73.3,47.6,47.1,2,110.8,77.1,0.188,0.325,0.017
55:27.8,1.42E+12,176.2,208.3,76.7,56.9,49.9,0,97.3,63.6,0.389,0.467,-0.032
55:27.8,1.42E+12,178.2,202,92.5,60.1,66.1,0,74.4,80.5,0.154,0.178,-0.115
55:27.8,1.42E+12,153.4,163.1,54.6,60.1,90.2,3.1,84.1,78.8,0.095,0.276,-0.095
