time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
55:27.0,1.42136E+12,48.7,56.4,39.2,24.3,49.1,49.3,35.4,57.9,-1.439,-1.483,-1.542
55:27.0,1.42136E+12,50.3,58,39.2,30.6,55.7,41.3,32,56.2,-1.405,-1.503,-1.503
55:27.0,1.42136E+12,71.2,101.5,54.4,25.9,55.7,49.3,26.8,57.9,-1.43,-1.459,-1.542
55:27.0,1.42136E+12,175.2,230.8,64.8,36.9,64,68.8,33.7,54.4,-1.449,-1.478,-1.527
55:27.1,1.42136E+12,206.2,245.9,70.1,30.6,93.2,65.5,40.6,56.2,-1.439,-1.449,-1.522
55:27.1,1.42136E+12,204.2,237.2,77.1,30.6,102,82.1,56.5,57.9,-1.444,-1.483,-1.606
55:27.1,1.42136E+12,192.5,230.8,84.3,35.3,110.9,107.7,49.4,57.9,-1.43,-1.483,-1.508
55:27.2,1.42136E+12,186.6,224.4,80.7,36.9,123.6,97.4,58.3,57.9,-1.439,-1.483,-1.581
55:27.2,1.42136E+12,182.8,215.9,80.7,48,127.3,109.5,58.3,52.7,-1.435,-1.493,-1.542
55:27.2,1.42136E+12,160.1,207.6,98.8,43.2,129.2,113,63.7,61.3,-1.43,-1.459,-1.542
55:27.3,1.42136E+12,147.2,183.1,96.9,35.3,125.5,120.1,70.9,64.8,-1.444,-1.483,-1.532
55:27.3,1.42136E+12,109.9,147.8,98.8,43.2,147.9,123.6,76.4,64.8,-1.444,-1.488,-1.542
55:27.3,1.42136E+12,91.1,119.6,100.6,40,138.4,130.8,80.1,64.8,-1.435,-1.508,-1.542
55:27.3,1.42136E+12,74.5,101.5,98.8,36.9,142.2,134.4,91.2,80.7,-1.435,-1.488,-1.508
55:27.4,1.42136E+12,67.9,89,86.1,35.3,147.9,139.9,95,86.1,-1.444,-1.493,-1.542
55:27.4,1.42136E+12,63.1,82,93.3,38.5,144.1,147.2,98.8,89.7,-1.435,-1.493,-1.537
55:27.4,1.42136E+12,59.9,76.8,96.9,27.5,140.3,152.8,114.1,117.3,-1.444,-1.527,-1.566
55:27.4,1.42136E+12,67.9,71.6,95.1,25.9,134.7,164,95,140.2,-1.444,-1.488,-1.532
55:27.5,1.42136E+12,55.1,68.2,93.3,25.9,144.1,171.6,129.7,161.9,-1.43,-1.488,-1.542
55:27.5,1.42136E+12,56.7,69.9,95.1,32.1,140.3,175.4,125.8,182.1,-1.439,-1.488,-1.542
55:27.5,1.42136E+12,53.5,64.8,86.1,27.5,140.3,167.8,119.9,194.5,-1.43,-1.483,-1.503
55:27.5,1.42136E+12,55.1,64.8,68.3,30.6,132.9,173.5,123.8,213.6,-1.439,-1.483,-1.542
55:27.6,1.42136E+12,51.9,63.1,78.9,32.1,121.8,167.8,116,209.3,-1.449,-1.518,-1.532
55:27.6,1.42136E+12,45.6,63.1,75.4,30.6,114.6,154.6,108.3,205,-1.483,-1.513,-1.537
55:27.6,1.42136E+12,61.5,63.1,66.6,38.5,109.2,152.8,108.3,184.2,-1.464,-1.425,-1.532
55:27.6,1.42136E+12,50.3,61.4,66.6,25.9,96.7,145.4,108.3,136.4,-1.439,-1.488,-1.542
55:27.7,1.42136E+12,51.9,43,59.6,30.6,84.5,107.7,81.9,102.4,-1.435,-1.488,-1.518
55:27.7,1.42136E+12,48.7,58,52.7,30.6,74.2,87.1,72.7,89.7,-1.43,-1.483,-1.596
55:27.7,1.42136E+12,50.3,63.1,56.2,22.8,69.1,78.7,61.9,82.5,-1.449,-1.488,-1.532
55:27.8,1.42136E+12,48.7,58,51,30.6,64,68.8,51.2,71.8,-1.488,-1.498,-1.537
55:27.8,1.42136E+12,47.1,59.7,45.9,36.9,60.7,62.2,54.7,75.4,-1.42,-1.474,-1.542
55:27.8,1.42136E+12,36.2,56.4,44.2,29,57.3,65.5,42.4,71.8,-1.435,-1.464,-1.532
55:27.8,1.42136E+12,44,54.7,45.9,25.9,54,68.8,52.9,70.1,-1.439,-1.464,-1.527
55:27.8,1.42136E+12,47.1,54.7,40.8,27.5,50.7,62.2,49.4,68.3,-1.444,-1.464,-1.557
55:27.9,1.42136E+12,45.6,54.7,42.5,27.5,52.4,70.4,49.4,64.8,-1.43,-1.483,-1.542
55:27.9,1.42136E+12,47.1,64.8,40.8,27.5,49.1,63.8,49.4,66.6,-1.439,-1.488,-1.562
55:27.9,1.42136E+12,45.6,54.7,47.6,27.5,52.4,55.7,40.6,61.3,-1.488,-1.498,-1.537
55:28.0,1.42136E+12,48.7,59.7,42.5,27.5,54,57.3,49.4,64.8,-1.405,-1.483,-1.542
55:28.0,1.42136E+12,48.7,54.7,40.8,24.3,42.5,57.3,33.7,51,-1.444,-1.503,-1.532
55:28.0,1.42136E+12,48.7,51.3,42.5,32.1,60.7,57.3,52.9,61.3,-1.439,-1.483,-1.562
55:28.1,1.42136E+12,48.7,54.7,17.7,27.5,50.7,55.7,40.6,64.8,-1.439,-1.483,-1.513
55:28.1,1.42136E+12,47.1,68.2,49.3,27.5,50.7,55.7,40.6,64.8,-1.435,-1.483,-1.562
55:28.1,1.42136E+12,150.9,209.7,52.7,21.3,50.7,57.3,40.6,59.6,-1.435,-1.488,-1.562
