No alteration,,,,,,,,,,,,,,Activity,Max,Average,Difference
0.837209302,0.875,0.8,0.711111111,0.849056604,0.814814815,0.806451613,0.825,0.739130435,0.87755102,0.784313725,0.754385965,0.822222222,,Cycling,87.76%,80.74%,-
0.609302326,0.535545024,0.610837438,0.647668394,0.626436782,0.559585492,0.602094241,0.653409091,0.7,0.561111111,0.607142857,0.591549296,0.555555556,,Driving,70.00%,60.46%,-
0.962962963,0.966292135,0.973333333,0.962025316,1,0.967032967,0.942528736,0.941860465,0.975903614,0.987654321,0.967391304,0.978021978,0.965116279,,Running,100.00%,96.85%,-
0.565217391,0.597014925,0.723684211,0.656716418,0.551724138,0.652173913,0.576923077,0.682539683,0.517241379,0.590909091,0.75,0.542168675,0.492307692,,Sitting,75.00%,60.76%,-
0.566037736,0.736111111,0.696969697,0.666666667,0.639344262,0.596774194,0.661538462,0.696428571,0.711864407,0.666666667,0.68852459,0.684210526,0.75,,Standing,75.00%,67.39%,-
0.395833333,0.541666667,0.810810811,0.657142857,0.519230769,0.611111111,0.609756098,0.675675676,0.673913043,0.568627451,0.75,0.745098039,0.756097561,,Stairs Up,81.08%,63.96%,-
0.805194805,0.705882353,0.697916667,0.701754386,0.739130435,0.7,0.747126437,0.676767677,0.771428571,0.726315789,0.723809524,0.72826087,0.857142857,,Stairs Down,85.71%,73.70%,-
0.909090909,0.954545455,0.907407407,0.9375,0.810344828,0.918367347,0.9,0.921568627,0.914285714,0.94,0.9375,0.936170213,0.875,,Walking,95.45%,91.24%,-
,,,,,,,,,,,,,,,,74.39%,
Last activity,,,,,,,,,,,,,,Activity,Max,Average,Difference
0.795454545,0.894736842,0.840909091,0.811320755,0.875,0.765957447,,,,,,,,,Cycling,92.50%,83.06%,
1,0.988235294,0.964705882,0.934065934,0.96,0.988235294,,,,,,,,,Running,96.00%,97.25%,
0.812,0.82078853,0.834532374,0.800724638,0.84063745,0.80075188,,,,,,,,,Sitting,75.41%,81.82%,
0.736842105,0.651162791,0.660714286,0.625,0.683333333,0.716981132,,,,,,,,,Standing,73.58%,67.90%,
0.66,0.522727273,0.666666667,0.696969697,0.526315789,0.594594595,,,,,,,,,Stairs Up,77.42%,61.12%,
0.847058824,0.75,0.8125,0.721649485,0.698924731,0.825581395,,,,,,,,,Stairs Down,80.00%,77.60%,
0.934782609,0.888888889,0.928571429,0.911764706,0.976744186,0.97826087,,,,,,,,,Walking,100.00%,93.65%,
,,,,,,,,,,,,,,,,80.34%,
,,,,,,,,,,,,,,Activity,Max,Average,Difference
,0.772727273,0.791666667,0.891304348,0.853658537,0.955555556,,,,,,,,,Cycling,,85.30%,4.56%
,0.977777778,0.963414634,0.964705882,0.988095238,0.934210526,,,,,,,,,Running,,96.56%,-0.29%
